# generated_by,scripts/271_v1_0_publication_snapshot.py,generated_at,2026-04-17T08:01:04.269224+00:00
table_name,row_count,parquet_bytes,sha256,exported_at
note_entities_llm_vascular_invasion,11037,459572,fbbe54372d0b20330e580b18d3295ee83d70f0a4d3647633faa7fb02f94611be,2026-04-17T08:01:44.794716+00:00
note_entities_medications,7501,167908,4ca8b8e37bc191d57201c915f1966c26a4d7c079e7ee679ff712f1260e2fb179,2026-04-17T08:01:45.147627+00:00
note_entities_operative_detail,12151,507577,937181b8b83cc99e778f5cef77c0b288dda3ba38daad2f87799ed2bd2e9276bb,2026-04-17T08:01:45.794337+00:00
note_entities_problem_list,11579,293433,a559490757f5e618089e571b95c75bde178b8aae6a0114854891650f5ff6d796,2026-04-17T08:01:46.267242+00:00
note_entities_procedures,21942,486706,70bd46cf72deb8fa734a294c72553bd5e4878aa00c368d9d8e580f6721083070,2026-04-17T08:01:46.784093+00:00
note_entities_staging,3807,100035,e9aa40b49ff2069807f31a0e3498b45228cb875cf66e6f55d3c615a0d95d688b,2026-04-17T08:01:47.075731+00:00
nsqip_enrichment,1275,97294,f6d1a83ec795983d9a25eee60dcc051ac1392368c80447bf046ed7cdad701724,2026-04-17T08:01:47.214591+00:00
nsqip_patient_summary,1261,96387,3c70be459b1b890eae0a8756ac31d3a30aedc30665c6d069c1e19c172f9bea87,2026-04-17T08:01:47.353732+00:00
nuclear_med,2220,802224,a73e24f3dcc0455bbcb454f028b92432b872cc69c1a01d003029d2a4d19aff35,2026-04-17T08:01:48.014916+00:00
operative_episode_detail_v2,9371,159673,ed20e630d1694d53c6610882f4a8d51dca6ecb29a002067b428f2c80af38b387,2026-04-17T08:01:48.605997+00:00
path_outcome_classification_v1,10871,470875,057ce131b4843c2756e7995b486197a4722b582aca3600fb0d7f8a80e9e68a0b,2026-04-17T08:01:48.996793+00:00
path_size_adjudication_v241,96,2843,61afd444eeeedde815fc85425700740ee3fdc02fae4b0e0446500a30dd51511f,2026-04-17T08:01:49.077735+00:00
path_synoptics,11688,6710306,9efb1e51a104650f7823977239a1da075b8ee6a405fb5fb407a1a18a90c40afa,2026-04-17T08:01:53.076510+00:00
patient_analysis_resolved_v1,10871,380490,bc2c9dd8cec3b10f7fee6f5416cec66a4254d744b3bdffa5cc3aa5252c51a358,2026-04-17T08:01:53.763486+00:00
patient_completion_oed_path_linkage_v1,11506,81472,09c56ebd987c0d527a42b2fe80399ec23cec174823ea87e513997bc5ccbf3224,2026-04-17T08:01:54.042406+00:00
patient_cross_domain_timeline_v2,61055,194820,f342bcb78596081efb8020c55d50fe411e5263e208b2b6a3ffc2679d2838b333,2026-04-17T08:01:54.382413+00:00
patient_tumor_rollup_v1,8422,153147,64b8361bc611200e15599c410373be094d298572523d5de8eb7ef23aaf14ee74,2026-04-17T08:01:54.624768+00:00
rai_treatment_episode_v2,1857,51457,6d1f35e75955ef206468f6120ce7a53e8ee81636c97465c506f3041b0d7431bc,2026-04-17T08:01:54.868558+00:00
recurrence_event_clean_v1,1946,9606,60430d18d76867fb07f87e611a1744e872601b4b23f61a5b67b4029c8cefe1a5,2026-04-17T08:01:55.013640+00:00
ret_note_entity_adjudication_v226,177,54030,9dd999bf237c26f78fd60db5bf75e6bcba2e892842b5081c782f71c9eda99d1d,2026-04-17T08:01:55.102706+00:00
ret_patient_adjudicated_v226,66,2487,ca59d9b5ef85580c58a0d780c8f93648d17c4b90736b0e11ad09ceaa459da357,2026-04-17T08:01:55.168986+00:00
serial_imaging_us,4162,130697,7f2f94c336fc49b29dbfa3e9cc453e704eedfb495fbff9ec30d27ba8c7507c07,2026-04-17T08:01:55.325192+00:00
specimen_genomic_assay_v1,10370,444859,100b064d802bc998e109611325688c52e4c740b5d9e2d1646cbe8827988c96e8,2026-04-17T08:01:55.675316+00:00
specimen_master_v1,10139,907652,8f8e4831e535df5149b1b80f8d924729f8e4cdd03d50652ce3bde3a869858520,2026-04-17T08:01:56.333999+00:00
specimen_source_xref_v1,11273,1241892,9e3123e885dd9ea77fd230564a4c7ec03888d0a31c465427273dccf2b030615b,2026-04-17T08:01:57.154376+00:00
specimen_tumor_focus_v1,11103,2123155,1b68ab3760f1df155106114de8aeb9015174d8f83f0f1c1e7bef1f9af8bb6a42,2026-04-17T08:01:58.149470+00:00
survival_cohort_enriched,61134,154695,1eb9116497d2a6f5d46289698e7fe67a1883797a5f064395d7df5e57d411956e,2026-04-17T08:01:58.686746+00:00
synoptic_tumor_long_v1,11103,151043,3314d5c450ea3fdb14d7c25e63c7b61300c6cbd944daed87bbf0b160df1fc891,2026-04-17T08:01:58.893762+00:00
tg_postop_surveillance_windows_v1,16184,298749,53aa19edb994bb18e1a89bc5df6b2506bd6c0e03798ed1ce43964e8a237c64ab,2026-04-17T08:01:59.244806+00:00
tg_timeline_patient_summary_v1,3258,88274,68f7b67e589cac9f4b189e990dc81bd6ea68900b79306e9345f5a947b9e71e6b,2026-04-17T08:01:59.347809+00:00
thyroglobulin_lab_canonical_v1,74258,653348,1ee1ff0ed891ada5aa11b62e5a845536aa08e22055bc01e838971b4c06103b27,2026-04-17T08:02:00.084239+00:00
thyroid_sizes,11675,1137170,7aa9e6f6ee58d1651a2aa276b10a3a670fd8a7b53ff353399827707c66d85ab2,2026-04-17T08:02:00.709580+00:00
thyroid_weights,10001,106964,4592694dabbd75fe56c9fdddf66c5a1d9b4dece56d40ea6fd59ed04c298f7956,2026-04-17T08:02:00.839225+00:00
thyroseq_molecular_enrichment,10861,411814,6e86dc943704d3328fb05d92d6e7689c7cdb20e052313ca9010dda45d9ea467f,2026-04-17T08:02:01.209812+00:00
tirads_llm_extracted_v2,5636,162427,6510472628aac39141ff60a328d24d8c7e6558d6082bed0daf5c34e03e9895c0,2026-04-17T08:02:01.413590+00:00
tirads_llm_validation_v2,1225,43922,480ccda8647e18ab0e9fa938c7fc3dd4cf3f072dd552b31ee156128604ee9155,2026-04-17T08:02:01.503687+00:00
tumor_episode_master_v2,11691,140717,5c116c5d164c591f8efebcf045d2c8fcec742bd3ca65e65b97da2200a3225202,2026-04-17T08:02:01.742563+00:00
tumor_pathology,4290,908950,b74b390f16160f88abeacebbac91e92500d5ff81722f6aaa30e83c3668a10c11,2026-04-17T08:02:02.570907+00:00
ultrasound_reports,6793,1607992,62e24d71b4c2f5396d8054f504bd9614ba99c29a6a1f8714b5944b4d7b3784eb,2026-04-17T08:02:03.828110+00:00
us_nodules_tirads,10862,961480,ec3d459049e98070108ea00b1e0f68fba02f0d766146c16756d6f9eab84544d4,2026-04-17T08:02:04.551635+00:00
us_nodules_tirads_vs_inm_v1_discordance_v1,1722,23556,eb9fb68d75d352731a4da81286a08181afef044eb942673b5b9f87dfe1a18c42,2026-04-17T08:02:04.628373+00:00
