surgery_year,surgery_extent_bucket,histology_bucket,central_lnd_yes_no,n_specimens,n_examined_ok,n_positive_ok,n_both_ok,n_both_unresolved,pct_examined,pct_positive,pct_both
2002,other_or_mixed,unknown_histology,1,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2002,total_or_near_total,FTC_family,0,3,3.0,0.0,0.0,0.0,100.0,0.0,0.0
2002,total_or_near_total,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2002,total_or_near_total,PTC_family,0,15,15.0,6.0,6.0,0.0,100.0,40.0,40.0
2002,total_or_near_total,PTC_family,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2002,total_or_near_total,other_histology,0,2,2.0,2.0,2.0,0.0,100.0,100.0,100.0
2002,total_or_near_total,other_histology,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2002,total_or_near_total,unknown_histology,0,34,33.0,1.0,1.0,1.0,97.06,2.94,2.94
2002,total_or_near_total,unknown_histology,1,10,10.0,10.0,10.0,0.0,100.0,100.0,100.0
2003,lobectomy_hemi,FTC_family,0,1,1.0,0.0,0.0,0.0,100.0,0.0,0.0
2003,lobectomy_hemi,FTC_family,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2003,lobectomy_hemi,PTC_family,0,5,5.0,2.0,2.0,0.0,100.0,40.0,40.0
2003,lobectomy_hemi,PTC_family,1,4,4.0,4.0,4.0,0.0,100.0,100.0,100.0
2003,lobectomy_hemi,other_histology,0,2,2.0,1.0,1.0,0.0,100.0,50.0,50.0
2003,lobectomy_hemi,unknown_histology,0,59,59.0,2.0,2.0,0.0,100.0,3.39,3.39
2003,lobectomy_hemi,unknown_histology,1,11,11.0,11.0,11.0,0.0,100.0,100.0,100.0
2003,other_or_mixed,other_histology,0,6,6.0,6.0,6.0,0.0,100.0,100.0,100.0
2003,other_or_mixed,other_histology,1,1,1.0,1.0,1.0,0.0,100.0,100.0,100.0
2003,other_or_mixed,unknown_histology,0,5,4.0,0.0,0.0,1.0,80.0,0.0,0.0
