row,md_target,source_name,md_count,src_count,md_is_duplicate,src_is_duplicate
152,md_imaging_patient_summary_v1,imaging_patient_summary_v1,1,1,NO,NO
153,md_imaging_fna_linkage_v3,imaging_fna_linkage_v3,1,1,NO,NO
154,md_fna_molecular_linkage_v3,fna_molecular_linkage_v3,1,1,NO,NO
155,md_preop_surgery_linkage_v3,preop_surgery_linkage_v3,1,1,NO,NO
156,md_surgery_pathology_linkage_v3,surgery_pathology_linkage_v3,1,1,NO,NO
157,md_pathology_rai_linkage_v3,pathology_rai_linkage_v3,1,1,NO,NO
158,md_linkage_summary_v3,linkage_summary_v3,1,1,NO,NO
159,md_linkage_ambiguity_review_v1,linkage_ambiguity_review_v1,1,1,NO,NO
160,md_thyroid_scoring_systems_v1,thyroid_scoring_systems_v1,1,1,NO,NO
161,md_val_scoring_systems,val_scoring_systems,1,1,NO,NO
162,md_complication_phenotype_v1,complication_phenotype_v1,1,1,NO,NO
163,md_complication_patient_summary_v1,complication_patient_summary_v1,1,1,NO,NO
164,md_complication_discrepancy_report_v1,complication_discrepancy_report_v1,1,1,NO,NO
165,md_longitudinal_lab_clean_v1,longitudinal_lab_clean_v1,1,1,NO,NO
166,md_longitudinal_lab_patient_summary_v1,longitudinal_lab_patient_summary_v1,1,1,NO,NO
167,md_recurrence_event_clean_v1,recurrence_event_clean_v1,1,1,NO,NO
168,md_patient_analysis_resolved_v1,patient_analysis_resolved_v1,1,1,NO,NO
169,md_episode_analysis_resolved_v1,episode_analysis_resolved_v1,1,1,NO,NO
170,md_lesion_analysis_resolved_v1,lesion_analysis_resolved_v1,1,1,NO,NO
171,md_episode_analysis_resolved_v1_dedup,episode_analysis_resolved_v1_dedup,1,1,NO,NO
172,md_manuscript_cohort_v1,manuscript_cohort_v1,1,1,NO,NO
173,md_val_hardening_summary,val_hardening_summary,1,1,NO,NO
174,md_val_hardening_details,val_hardening_details,1,1,NO,NO
175,md_val_null_rate_regression,val_null_rate_regression,1,1,NO,NO
176,md_val_row_multiplication,val_row_multiplication,1,1,NO,NO
177,md_val_manuscript_metrics,val_manuscript_metrics,1,1,NO,NO
178,md_val_identity_integrity,val_identity_integrity,1,1,NO,NO
179,md_val_impossible_values,val_impossible_values,1,1,NO,NO
180,md_val_cross_domain_consistency,val_cross_domain_consistency,1,1,NO,NO
181,md_hardening_review_queue,hardening_review_queue,1,1,NO,NO
182,md_lab_staging_schema_v1,lab_staging_schema_v1,1,1,NO,NO
183,md_lab_normalization_dict_v1,lab_normalization_dict_v1,1,1,NO,NO
184,md_lab_validation_rules_v1,lab_validation_rules_v1,1,1,NO,NO
185,md_manuscript_recon_metric_definitions_v1,manuscript_recon_metric_definitions_v1,1,1,NO,NO
186,md_manuscript_recon_ln_review_v1,manuscript_recon_ln_review_v1,1,1,NO,NO
187,md_manuscript_recon_bethesda_vi_review_v1,manuscript_recon_bethesda_vi_review_v1,1,1,NO,NO
188,md_manuscript_recon_cancer_no_op_v1,manuscript_recon_cancer_no_op_v1,1,1,NO,NO
189,md_manuscript_recon_rai_definitions_v1,manuscript_recon_rai_definitions_v1,1,1,NO,NO
190,md_manuscript_recon_recurrence_recon_v1,manuscript_recon_recurrence_recon_v1,1,1,NO,NO
191,md_manuscript_patient_cohort_v2,manuscript_patient_cohort_v2,1,1,NO,NO
192,md_manuscript_metrics_v2,manuscript_metrics_v2,1,1,NO,NO
193,md_manuscript_review_queue_v2,manuscript_review_queue_v2,1,1,NO,NO
194,md_manuscript_metric_sql_registry_v1,manuscript_metric_sql_registry_v1,1,1,NO,NO
195,md_val_recon_metric_consistency_v1,val_recon_metric_consistency_v1,1,1,NO,NO
196,md_val_recon_status_v1,val_recon_status_v1,1,1,NO,NO
197,md_val_denominator_checks,val_denominator_checks,1,1,NO,NO
198,md_val_metric_definition_conflicts,val_metric_definition_conflicts,1,1,NO,NO
199,md_val_dataset_integrity_summary_v1,val_dataset_integrity_summary_v1,1,1,NO,NO
200,md_val_provenance_completeness_v2,val_provenance_completeness_v2,1,1,NO,NO
201,md_val_episode_linkage_completeness_v1,val_episode_linkage_completeness_v1,1,1,NO,NO
202,md_val_temporal_anomaly_resolution_v1,val_temporal_anomaly_resolution_v1,1,1,NO,NO
203,md_longitudinal_lab_canonical_v1,longitudinal_lab_canonical_v1,1,1,NO,NO
204,md_val_lab_completeness_v1,val_lab_completeness_v1,1,1,NO,NO
205,md_recurrence_manual_review_queue_v1,recurrence_manual_review_queue_v1,1,1,NO,NO
206,md_val_recurrence_date_resolution_v1,val_recurrence_date_resolution_v1,1,1,NO,NO
207,md_vw_rai_dose_missingness_summary,vw_rai_dose_missingness_summary,1,1,NO,NO
208,md_val_lab_canonical_v1,val_lab_canonical_v1,1,1,NO,NO
209,md_val_rai_structural_coverage_v1,val_rai_structural_coverage_v1,1,1,NO,NO
210,md_val_rai_source_limitation_v1,val_rai_source_limitation_v1,1,1,NO,NO
211,md_val_recurrence_readiness_v1,val_recurrence_readiness_v1,1,1,NO,NO
212,md_val_lab_temporal_truth_v1,val_lab_temporal_truth_v1,1,1,NO,NO
213,md_val_operative_field_semantics_v1,val_operative_field_semantics_v1,1,1,NO,NO
214,md_val_operative_nlp_propagation_v1,val_operative_nlp_propagation_v1,1,1,NO,NO
215,md_val_recurrence_provenance_v2,val_recurrence_provenance_v2,1,1,NO,NO
216,md_val_rai_provenance_v2,val_rai_provenance_v2,1,1,NO,NO
217,md_val_molecular_provenance_v2,val_molecular_provenance_v2,1,1,NO,NO
218,md_val_provenance_hardening_summary_v1,val_provenance_hardening_summary_v1,1,1,NO,NO
219,md_val_query_benchmark_v1,val_query_benchmark_v1,1,1,NO,NO
220,md_val_materialization_perf_v1,val_materialization_perf_v1,1,1,NO,NO
