[2026-04-18T05:12:43.537338+00:00] Phase 5 starting.
[2026-04-18T05:12:43.660729+00:00]   CPM invariant: 10871/10871 OK
[2026-04-18T05:12:44.897688+00:00]   replay [Q7b_long_flag_split] -> [{'n_true': 61374, 'n_false': 13873, 'n_null': 0}]
[2026-04-18T05:12:44.926921+00:00]   replay [Q8_tg_cancer_only_view] -> [{'n': 60385}]
[2026-04-18T05:12:44.957778+00:00]   replay [Q8b_long_cancer_only_view] -> [{'n': 61374}]
[2026-04-18T05:12:44.990130+00:00]   replay [Q9_audit_table_distribution] -> [{'status': 'LIVE', 'n': 120}]
[2026-04-18T05:12:45.018387+00:00]   replay [Q9b_audit_lineage_v266a] -> [{'object_name': 'data_dictionary_v266a', 'notes': 'replaces data_dictionary_v240 (archived to "Thyroid 2026 UPdated".archive_pub_v1_0 by 266c Phase 5 archive sweep 2026-04-18; lineage preserved here)'}]
[2026-04-18T05:12:45.053344+00:00]   replay [Q10_path_tumor_size_invariant_view] -> [{'n': 80}]
[2026-04-18T05:12:45.083923+00:00]   replay [Q11_correction_queue_scope] -> [{'subbucket': 'F1', 'n': 75}, {'subbucket': 'F2', 'n': 5}]
[2026-04-18T05:12:45.114636+00:00]   replay [Q12_hypopara_queue_status] -> [{'status': 'indeterminate_requires_chart_review', 'n': 4}]
[2026-04-18T05:12:45.148425+00:00]   replay [Q13_provenance_ledger] -> [{'run_id': 'canonical_cleanup_20260417', 'phases_applied': '1.1,1.2,1.3,1.4-verify,1.5a,1.5b,1.6-verify,1.7-verify,1.8,2.1,2.2,2.3,3.1-audit,3.2-doc,4.1,4.2,4.3-verify,4.4,4.5,4.6-pregate-FAILED,5.1-inventory,5.2-classify,5.3-noop,6.1-cpm_built_at,6.2-provenance', 'critical_findings_cleared': 'PART2-1.1-tirads(verify-only,already-canonical),PART2-2.1-vc-s236(1.1+1.2+1.8),PART2-3.1-rai-dose(1.5),PROMPT18-2.1-vc-crossref(1.1+1.2)', 'high_findings_cleared': 'PART2-2.1-fna-broadcast(1.7-verify-already-canonical),PART2-2.2-bethesda(4.3-verify),PART2-3.3-tg-counts(1.6-verify-already-canonical),PART2-3.4-tg-peak-nadir(1.6-verify-already-canonical),PART2-5.3-any-confirmed-flag(1.8),PROMPT18-3.1-lateral-nd(1.3),PROMPT18-6-hypopara-permanence(2.1+2.2+2.3)', 'med_findings_cleared': 'PART2-1.2/2.3-orphans(3.1-audit;3.2-doc-HOLD),PART2-1.4-n_us_exams(4.5-COMMENT),PART2-1.5-imaging-exam-date(4.2),PART2-2.8-fna-date(4.5-COMMENT),PART2-3.5/3.6-rai-date(4.5-COMMENT),PART2-4.2-multifocal(4.1),PART2-4.3-tumor-size(4.4-COMMENT+invariant-view),PART2-5.4-ln-counts(NOT-EXPLICITLY-ADDRESSED)', 'held_for_adjudication': 'Phase-2.2-4-hypopara-contradictions(9765,7487,6447,10743),Phase-3.1-403-tg-lab-orphans(all-likely_non_cancer),Phase-3.2-3-us-nodule-placeholders(2332,2445,7744),Phase-4.4-80-path_tumor_size_cm-violators,Phase-4.6-9-cohort-views-with-bare-ajcc8_t_stage-refs'}, {'run_id': 'canonical_cleanup_resume_20260417_phase1', 'phases_applied': 'hypopara_adjudication', 'critical_findings_cleared': '0', 'high_findings_cleared': '0', 'med_findings_cleared': '0', 'held_for_adjudication': '4'}]...
[2026-04-18T05:12:45.148878+00:00] Inserting final aggregator provenance row...
[2026-04-18T05:12:46.090618+00:00]   cpm_reconciliation_provenance_v1 total rows now: 7
[2026-04-18T05:12:46.093502+00:00]   verification md -> /Users/loganglosser/THYROID_2026/studies/canonical_cleanup_20260417_resume/verification.md
[2026-04-18T05:12:46.093657+00:00]   verification json -> /Users/loganglosser/THYROID_2026/studies/canonical_cleanup_20260417_resume/verification.json
[2026-04-18T05:12:46.130836+00:00]   Final CPM invariant: 10871/10871 OK
[2026-04-18T05:12:46.131116+00:00] Phase 5 verification complete.
