table_name,status,src_rows,tgt_rows,src_cols,tgt_cols,dtype_mismatches,notes
tg_postop_surveillance_windows_v1,PASS,16184,16184,12,12,0,
tg_timeline_patient_summary_v1,PASS,3258,3258,20,20,0,
thyroglobulin_lab_canonical_v1,PASS,76971,76971,21,21,0,
thyroid_scoring_py_v1,PASS,10871,10871,51,51,0,
thyroid_sizes,PASS,11675,11675,16,16,0,
thyroid_weights,PASS,10001,10001,9,9,0,
thyroseq_molecular_enrichment,PASS,10862,10862,25,25,0,
tirads_llm_extracted_v2,PASS,5636,5636,26,26,0,
tirads_llm_validation_v2,PASS,1225,1225,27,27,0,
tumor_episode_master_v2,PASS,11691,11691,37,37,0,
tumor_pathology,PASS,4290,4290,249,249,0,
ultrasound_reports,PASS,6793,6793,223,223,0,
us_nodules_tirads,PASS,10862,10862,36,36,0,
canonical_patient_master_v221 → canonical_patient_master,PASS,10871,10871,1377,1377,0,
mri_imaging,PASS,,715,,,0,"expected 715 rows; in_src=True, in_tgt=True"
nsqip_enrichment,PASS,,1275,,,0,"expected 1275 rows; in_src=True, in_tgt=True"
nsqip_patient_summary,PASS,,1261,,,0,"expected 1261 rows; in_src=True, in_tgt=True"
patient_completion_oed_path_linkage_v1,PASS,,11506,,,0,"expected 11506 rows; in_src=True, in_tgt=True"
thyroid_weights,PASS,,10001,,,0,"expected 10001 rows; in_src=True, in_tgt=True"
thyroid_sizes,PASS,,11675,,,0,"expected 11675 rows; in_src=True, in_tgt=True"
_followup_all_dates_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_followup_computed_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_followup_patient_max_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_nucmed_labs_parsed_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_nucmed_labs_rollup_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_patient_surgery_dates,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_recurrence_event_sites_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
_recurrence_fna_sites_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
analysis_cancer_cohort_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
analysis_recurrence_subset_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
analysis_tirads_subset_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_extracted_fact_long_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_extracted_fact_long_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_fact_quarantine_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_fact_quarantine_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_patient_master_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
canonical_patient_master_v218,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
event_date_audit_v2,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_bundle_specimen_export_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_encounter_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_episode_of_care_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_patient_deid_map_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_procedure_collection_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fhir_specimen_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fna_episode_master_v2_backup_20260414,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
fna_molecular_linkage_v3,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
gold_llm_verified_facts,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
imaging_fna_linkage_mm_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
lab_cross_wave_review_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
lab_same_day_value_review_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
linkage_ambiguity_review_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
linkage_master_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
linkage_summary_v3,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
ln_x_marker_audit_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
md_path_synoptics_encounter_qc_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
md_val_path_synoptic_encounter_isolation_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
mrn_crosswalk_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
note_extraction_runs,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
pathology_rai_linkage_v3,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
patient_refined_master_clinical_v12,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
patient_refined_master_clinical_v12_ln_backup_20260414,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
patient_refined_master_clinical_v12_outcome_backup_20260415,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
preop_surgery_linkage_v3,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
rai_dose_recovery_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
rai_treatment_episode_v2_backup_20260415,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
raw_imaging_12_slots_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
raw_us_tirads_excel_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
raw_us_tirads_scored_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
review_queue_imaging_fna_mm_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
serial_imaging_us,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
stg_thyroseq_excel_raw,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
stg_thyroseq_match_results,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
stg_thyroseq_parsed,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
surgery_pathology_linkage_v3,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
tg_lab_review_queue_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
thyroseq_review_queue,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
val_imaging_fna_linkage_audit_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
val_path_synoptic_encounter_isolation_v1,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
val_phase12_tirads_validation,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
vw_us_nodule_tirads_validated,SRC_ONLY,,,,,,staging/QA/backup/superseded — intentionally excluded from publication
