raw_entity_type,normalized_entity_type,action,row_count
lymphovascular_invasion,lymphovascular_invasion,case_normalized,386
multifocality,multifocality,case_normalized,352
margin_status,margin_status,case_normalized,349
thyroid_palpation,thyroid_palpation,case_normalized,347
specimen_detail,specimen_detail,case_normalized,342
pre_rai_tsh,pre_rai_tsh,case_normalized,338
discharge_disposition,discharge_disposition,case_normalized,321
prior_rai,prior_rai,case_normalized,310
frozen_section_result,frozen_section_result,case_normalized,302
follow_up_duration,follow_up_duration,case_normalized,301
tumor_variant,tumor_variant,case_normalized,294
side_effects,side_effects,case_normalized,287
rai_indication,rai_indication,case_normalized,285
overall_stage,overall_stage,case_normalized,276
isolation_days,isolation_days,case_normalized,273
perineural_invasion_detailed,perineural_invasion_detailed,case_normalized,260
synoptic_report,synoptic_report,case_normalized,259
thyroglobulin,thyroglobulin,case_normalized,258
vessel_count,vessel_count,case_normalized,251
prior_cancer,prior_cancer,case_normalized,243
lymph_node_palpation,lymph_node_palpation,case_normalized,241
return_to_work,return_to_work,case_normalized,240
nuclear_med,nuclear_med,case_normalized,236
dedifferentiation,dedifferentiation,case_normalized,234
vascular_encasement,vascular_encasement,case_normalized,231
free_t4,free_t4,case_normalized,211
necrosis,necrosis,case_normalized,210
treatment_declined,treatment_declined,case_normalized,209
prior_neck_surgery,prior_thyroidectomy,aliased,199
mitotic_rate,mitotic_rate,case_normalized,197
surveillance_adherence,surveillance_adherence,case_normalized,197
ki67_index,ki67_index,case_normalized,193
tall_cell_percentage,tall_cell_percentage,case_normalized,192
rai_ablation,rai_ablation,case_normalized,187
tracheal_narrowing,tracheal_narrowing,case_normalized,184
parathyroid_autograft,parathyroid_autograft,case_normalized,178
calcium,calcium,case_normalized,177
airway_exam,airway_exam,case_normalized,171
laryngoscopy_findings,laryngoscopy_findings,case_normalized,163
thyroglobulin_stimulated,thyroglobulin_stimulated,case_normalized,157
laryngoscopy_date,laryngoscopy_date,case_normalized,151
structural_recurrence,structural_recurrence,case_normalized,149
frozen_section,frozen_section,case_normalized,144
prior_neck_dissection,prior_thyroidectomy,aliased,144
gland_location,gland_location,case_normalized,139
reoperative_field,prior_thyroidectomy,aliased,132
tg_value,thyroglobulin,aliased,125
vocal_cord_imaging,vocal_cord_mobility,aliased,124
pre_rai_tg,pre_rai_tg,case_normalized,122
lymph_node_level,lymph_node_level,case_normalized,119
perineural_invasion,perineural_invasion,case_normalized,119
vitamin_d,vitamin_d,case_normalized,113
N_stage,N_stage,aliased,110
post_treatment_scan,post_treatment_scan,case_normalized,105
airway_compromise_grade,airway_compromise_grade,case_normalized,105
neck_mass,thyroid_exam,aliased,102
wound_exam,wound_exam,case_normalized,101
ln_level,ln_level,case_normalized,99
patient_preference,patient_preference,case_normalized,98
free_t3,free_t3,case_normalized,97
autoimmune_thyroid,autoimmune_thyroid,case_normalized,97
pth,pth,case_normalized,96
shared_decision,shared_decision,case_normalized,94
laryngeal_invasion,laryngeal_invasion,case_normalized,89
voice_assessment,voice_assessment,case_normalized,88
thyroid_hormone_suppression,thyroid_hormone_suppression,case_normalized,87
dysphagia,dysphagia,case_normalized,85
hypertension,hypertension,case_normalized,82
anti_thyroglobulin,anti_thyroglobulin,case_normalized,77
quality_of_life_score,quality_of_life_score,case_normalized,75
esophageal_compression,esophageal_compression,case_normalized,74
vascular_invasion_type,vascular_invasion,aliased,71
calcium_symptom_chronicity,calcium_quality_of_life,aliased,65
pet_ct,pet_ct,case_normalized,63
scar_satisfaction,scar_satisfaction,case_normalized,63
diabetes,diabetes,case_normalized,62
obesity,obesity,case_normalized,62
cardiovascular,cardiovascular,case_normalized,62
prior_parathyroidectomy,parathyroid_management,aliased,61
family_hx_thyroid,family_hx_thyroid,case_normalized,60
final_pathology_concordance,final_pathology_concordance,case_normalized,60
prior_core_biopsy,prior_fna,aliased,56
incidental_finding,incidental_finding,case_normalized,55
thyroid_nodule,nodule_size,aliased,54
scar_assessment,scar_assessment,case_normalized,54
dysphonia,voice_quality,aliased,53
disease_free,disease_free,case_normalized,51
radiation_exposure,radiation_exposure,case_normalized,51
cranial_nerve_exam,cranial_nerve_exam,case_normalized,48
total_t4,total_t4,case_normalized,48
chvostek_sign,chvostek_sign,case_normalized,42
thyrogen_stimulation,thyrogen_stimulation,case_normalized,41
M_stage,M_stage,aliased,36
xerostomia,xerostomia,case_normalized,35
tsi,trab,aliased,34
injection_laryngoplasty,voice_recovery,aliased,33
tirads_category,tirads_score,aliased,33
nodule_volume,nodule_size,aliased,33
rai_preparation,rai_preparation,case_normalized,32
speech_therapy_referral,voice_recovery,aliased,31
smoking_status,smoking_status,case_normalized,31
stunning_concern,stunning_concern,case_normalized,31
rai_date_administered,rai_ablation,aliased,30
osteoporosis,osteoporosis,case_normalized,30
calcitonin,calcitonin,case_normalized,28
intraop_complication,complications,aliased,27
trousseau_sign,trousseau_sign,case_normalized,27
hoarseness,voice_quality,aliased,26
mri_neck,mri_neck,case_normalized,26
anti_tg_value,anti_thyroglobulin,aliased,25
diagnostic_i123_scan,nuclear_med,aliased,25
tirads_composition,tirads_composition,case_normalized,24
dyspnea,airway_compromise_grade,aliased,23
rai_dose,rai_dose_mci,aliased,23
biochemical_persistence,biochemical_persistence,case_normalized,23
tpo_antibody,tpo_antibody,case_normalized,23
family_hx_cancer,family_hx_thyroid,aliased,22
cumulative_rai_dose,cumulative_rai_dose,case_normalized,22
gland_count_total,gland_count_total,case_normalized,21
biochemical_recurrence,biochemical_recurrence,case_normalized,21
removal_intent,removal_intent,case_normalized,21
distant_recurrence,distant_recurrence,case_normalized,21
nodule_dimensions,nodule_size,aliased,21
rai_treatment,rai_ablation,aliased,20
weight_change,weight_change,case_normalized,20
ata_risk_category,ata_risk_category,case_normalized,19
followup_gap,follow_up_duration,aliased,18
pulmonary_disease,pulmonary_disease,case_normalized,18
gland_cellularity,gland_cellularity,case_normalized,18
ebrt,rad_treatment,aliased,17
gross_invasion,extrathyroidal_extension,aliased,16
voice_handicap_index,voice_quality,aliased,16
tracheal_involvement,tracheal_narrowing,aliased,16
tirads_echogenicity,tirads_echogenicity,case_normalized,15
coagulopathy,coagulopathy,case_normalized,15
cea,cea,case_normalized,14
trab,trab,case_normalized,13
t3,free_t3,aliased,13
nodule_identifier,nodule_size,aliased,13
surveillance_interval,surveillance_interval,case_normalized,13
neck_examination,neck_exam,aliased,13
tirads_shape,tirads_shape,case_normalized,12
gland_count_preserved,gland_count_preserved,case_normalized,12
psychiatric,psychiatric,case_normalized,12
physical_exam,physical_exam,case_normalized,12
autotransplant,parathyroid_autograft,aliased,11
tirads_margin,tirads_margin,case_normalized,11
revision_surgery,prior_thyroidectomy,aliased,11
voice,voice_quality,aliased,11
renal_disease,renal_disease,case_normalized,11
fatigue,fatigue,case_normalized,11
chest_xray,chest_xray,case_normalized,10
tirads,tirads_score,aliased,10
tirads_echogenic_foci,tirads_echogenicity,aliased,10
trachea,tracheal_deviation,aliased,9
anxiety_tremor,anxiety_tremor,case_normalized,9
paired_tsh,tsh,aliased,9
procedure_performed,surgical_procedure,aliased,9
symptom_duration,presenting_symptoms,aliased,9
surveillance_impression,surveillance_adherence,aliased,9
tirads_component_composition,tirads_composition,aliased,8
procedures_performed,surgical_procedure,aliased,8
tirads_total_points,tirads_score,aliased,8
diagnosis,diagnosis,case_normalized,8
clinical_trial,treatment_declined,aliased,8
gland_weight,gland_weight,case_normalized,8
creatinine,creatinine,case_normalized,7
hypercellularity_grade,hypercellularity_grade,case_normalized,7
surgical_procedure,surgical_procedure,case_normalized,7
frozen_section_target,frozen_section,aliased,7
tumor_stage,ptnm_stage,aliased,7
disease_status,disease_free,aliased,7
voice_changes,voice_quality,aliased,7
thyroid,thyroid,case_normalized,7
rai_refractory,rai_ablation,aliased,7
men_syndrome,men_syndrome,case_normalized,6
palpitations,cardiovascular,aliased,6
ata_response_category,ata_risk_category,aliased,6
treatment_decision,treatment_declined,aliased,6
liver_disease,liver_disease,case_normalized,6
t4,total_t4,aliased,6
surgical_approach,surgical_procedure,aliased,6
tracheal_compression,tracheal_narrowing,aliased,6
nodule_stability,us_nodule_dynamics,aliased,6
heat_cold_intolerance,presenting_symptoms,aliased,6
thyroid_function,thyroid_function,case_normalized,6
lymph_node_involvement,lymph_node_pathology,aliased,6
tirads_recommendation,tirads_score,aliased,6
gland_size,gland_location,aliased,6
neck,neck,case_normalized,6
tki_dose_reduction,treatment_declined,aliased,5
rai_administration,rai_ablation,aliased,5
tumor_multifocality,multifocality,aliased,5
alkaline_phosphatase,alkaline_phosphatase,case_normalized,5
total_t3,free_t3,aliased,5
second_opinion,shared_decision,aliased,5
pT_stage,ptnm_stage,aliased,5
decline_reason,treatment_declined,aliased,5
TSH,tsh,case_normalized,5
ct_chest,ct_neck,aliased,5
neurologic_exam,neurologic_exam,case_normalized,5
lymphatic_invasion,lymphovascular_invasion,aliased,5
postoperative_diagnosis,surgical_procedure,aliased,5
pathologic_stage,ptnm_stage,aliased,5
intraop_decision_impact,frozen_section,aliased,4
thyromegaly,thyromegaly,case_normalized,4
nodule_growth_rate,us_nodule_dynamics,aliased,4
lymphadenopathy,lymph_node_palpation,aliased,4
anesthesia,anesthesia,case_normalized,4
calcium_level,calcium,aliased,4
thyroid_exam,thyroid_exam,case_normalized,4
thyroid_examination,thyroid_exam,aliased,4
nodule,nodule_size,aliased,4
Neck,neck,case_normalized,4
etr_on_imaging,ete_on_imaging,aliased,4
tirads_component_echogenicity,tirads_echogenicity,aliased,4
stimulated_thyroglobulin,thyroglobulin_stimulated,aliased,4
odynophagia,dysphagia,aliased,4
thyroid_biopsy,fna_cytology,aliased,4
cause_of_death,cause_of_death,case_normalized,4
radiation_exposure_history,radiation_exposure,aliased,4
thyroid_nodule_size,nodule_size,aliased,4
entity_date,,garbage_removed,4
tg_context,thyroglobulin,aliased,4
preoperative_diagnosis,surgical_procedure,aliased,4
extranodal_extension,lymph_node_pathology,aliased,4
pN_stage,ptnm_stage,aliased,4
benign_lymph_nodes,lymph_node_pathology,aliased,3
neck_supple,neck_exam,aliased,3
neurological_exam,neurologic_exam,aliased,3
abdominal_exam,abdominal_exam,case_normalized,3
cardiovascular_exam,cardiovascular,aliased,3
previous_fna,prior_fna,aliased,3
specimen,specimen_detail,aliased,3
blood_pressure,blood_pressure,case_normalized,3
potassium,potassium,case_normalized,3
parathyroid_frozen_section,frozen_section,aliased,3
thyroid_cancer,thyroid_cancer_diagnosis,aliased,3
trachea_exam,tracheal_deviation,aliased,3
margin_distance,margin_status,aliased,3
lymph_node,lymph_node_pathology,aliased,3
crainial_nerve_exam,cranial_nerve_exam,aliased,3
pathology,pathology,case_normalized,3
fna,fna_cytology,aliased,3
lymph_node_metastasis,lymph_node_pathology,aliased,3
tki_therapy,treatment_declined,aliased,3
specimen_type,specimen_detail,aliased,3
dysphonia_dysphagia_dyspnea,dysphagia,aliased,3
low_iodine_diet,low_iodine_diet,case_normalized,3
imaging,ultrasound_thyroid,aliased,3
specimens,specimen_detail,aliased,2
tg_assay_method,thyroglobulin,aliased,2
symptoms,presenting_symptoms,aliased,2
hyperlipidemia,cardiovascular,aliased,2
tirads_component_shape,tirads_shape,aliased,2
anesthesia_history,anesthesia,aliased,2
intraop_nerve_monitoring,nerve_monitoring,aliased,2
thyroid_palp,thyroid_palpation,aliased,2
allergies,allergies,case_normalized,2
lymph_nodes,lymph_node_pathology,aliased,2
margins,margin_status,aliased,2
phosphorus,phosphorus,case_normalized,2
tirads_vascularity,tirads_score,aliased,2
thyroid_enlargement,thyromegaly,aliased,2
positive_lymph_nodes,lymph_node_pathology,aliased,2
ligation_of_vessels,surgical_procedure,aliased,2
esophageal_involvement,esophageal_compression,aliased,2
hypoparathyroidism,calcium,aliased,2
thyroidectomy,surgical_procedure,aliased,2
isthmus_thickness,thyroid_exam,aliased,2
metastatic_disease,distant_recurrence,aliased,2
lungs_exam,pulmonary_exam,aliased,2
preoperative_medication,medications,aliased,2
complications,complications,case_normalized,2
us_visit_number,ultrasound_thyroid,aliased,2
isthmus_size,thyroid_exam,aliased,2
thyroid_size,thyroid_exam,aliased,2
respiratory_exam,pulmonary_exam,aliased,2
calcitonin_level,calcitonin,aliased,2
neuro_exam,neurologic_exam,aliased,2
thyroid_findings,thyroid_exam,aliased,2
surgical_plan,surgical_procedure,aliased,2
angioinvasion_count,vessel_count,aliased,2
tki_toxicity,treatment_declined,aliased,2
hemoglobin,hemoglobin,case_normalized,2
t3_uptake,t3_uptake,case_normalized,2
thyroid_condition,thyroid_function,aliased,2
ast,ast,case_normalized,2
alt,alt,case_normalized,2
chromogranin_a,chromogranin_a,case_normalized,2
date,,garbage_removed,2
reimplantation_detail,parathyroid_autograft,aliased,2
margin_location,margin_status,aliased,2
hypocalcemia,calcium,aliased,2
ln_number_per_level,lymph_node_level,aliased,2
thyroid_function_test,thyroid_function,aliased,2
surgery,surgical_procedure,aliased,2
voice_change,voice_quality,aliased,2
"wound_exam,",wound_exam,aliased,1
general_exam,general_exam,case_normalized,1
inguinal_hernia,past_surgical_hx,aliased,1
dissection_of_thyroid,surgical_procedure,aliased,1
closure,surgical_procedure,aliased,1
estimated_blood_loss,ebl,aliased,1
calc3,calcium,aliased,1
neck_surgery,surgical_procedure,aliased,1
heart_exam,cardiovascular,aliased,1
surgeon,surgical_procedure,aliased,1
assistant_surgeon,surgical_procedure,aliased,1
chvostek sign,chvostek_sign,case_normalized,1
trophostek sign,trousseau_sign,aliased,1
surgical,surgical_procedure,aliased,1
w,,garbage_removed,1
"lymph-25, 2023-07-25. 2023-07-25 is the date of the procedure. The entity_date is 2023-07-25. The date_confidence is 1.0 because it's the procedure date. The date_source_keyword is ",,garbage_removed,1
acanthosis_nigricans,skin,aliased,1
chromogranin,chromogranin,case_normalized,1
no cervical or supraclavicular lymphadenopathy,lymph_node_palpation,aliased,1
no thyroid bed masses or thyroid tissue,disease_free,aliased,1
chest clear to auscultation,pulmonary_exam,aliased,1
abdomen soft NTND,abdominal_exam,aliased,1
no lower extremity edema,extremities_exam,aliased,1
globus_sensation,dysphagia,aliased,1
"neck_exam, thyroid_palpation, lymph_node_palpation, voice_assessment, airway_exam, wound_exam, scar_assessment, chvostek_sign, trousseau_sign, cranial_nerve_exam) {entity_type}: [findings], [findings], ...",,garbage_removed,1
nerve_integrity_monitor,nerve_monitoring,aliased,1
thyroid_dissection,surgical_procedure,aliased,1
physical_exam_findings,physical_exam,aliased,1
procedure_plan,surgical_procedure,aliased,1
free_t4_index,free_t4,aliased,1
Ca,calcium,aliased,1
thyroid_size_left_lobe,thyroid_exam,aliased,1
tsh_level,tsh,aliased,1
tobacco_use,smoking_status,aliased,1
thyroid_nodule_palpable,thyroid_palpation,aliased,1
airway_clear,airway_exam,aliased,1
parathyroid_adenoma,parathyroid_management,aliased,1
ectopic_parathyroid,parathyroid_management,aliased,1
hypocalcemia_risk,calcium,aliased,1
voice_exam,voice_assessment,aliased,1
eyes_exam,general_exam,aliased,1
pulmonary_exam,pulmonary_exam,case_normalized,1
integumentary_exam,skin,aliased,1
thyroid_mass,thyroid_exam,aliased,1
neurological_monitoring,nerve_monitoring,aliased,1
parathyroid_preservation,parathyroid_management,aliased,1
thyroid_ultrasound,ultrasound_thyroid,aliased,1
surgical_incision,surgical_procedure,aliased,1
anesthesia_agent,anesthesia,aliased,1
surgical_equipment,surgical_procedure,aliased,1
thyroid_procedure,surgical_procedure,aliased,1
Calcitonin,calcitonin,case_normalized,1
follow_up,follow_up_duration,aliased,1
molecular_test,molecular_testing,aliased,1
covid_test,labs,aliased,1
pulmonary_chest,pulmonary_exam,aliased,1
skin_exam,skin,aliased,1
skin,skin,case_normalized,1
abdominal,abdominal_exam,aliased,1
discordance_reason,discordance_reason,case_normalized,1
triiodothyronine,free_t3,aliased,1
nuclear_medicine_scan,nuclear_med,aliased,1
afirma,molecular_testing,aliased,1
carbon_dioxide,carbon_dioxide,case_normalized,1
substerneal_extension,substernal_extension,aliased,1
subglottic_stenosis,airway_compromise_grade,aliased,1
laryngeal_mass,laryngeal_invasion,aliased,1
elongated_soft_tissue,elongated_soft_tissue,case_normalized,1
ct_scan,ct_neck,aliased,1
no_subsequent_rai_treatment,rai_ablation,aliased,1
frozen_section_turnaround,frozen_section,aliased,1
a1c,hemoglobin_a1c,aliased,1
" at line 1, column 1, near ",,garbage_removed,1
Date of Service,,garbage_removed,1
musculoskeletal,musculoskeletal,case_normalized,1
Note Received,,garbage_removed,1
respiratory,pulmonary_exam,aliased,1
neurologic,neurologic_exam,aliased,1
PTH,pth,case_normalized,1
24 hour urine calcium,calcium,aliased,1
GFR,creatinine,aliased,1
thyroid_stimulating_hormone,tsh,aliased,1
comorbidity,past_medical_hx,aliased,1
allergy,allergies,aliased,1
treatment,treatment_declined,aliased,1
laboratory,labs,aliased,1
tg_detection_limit,thyroglobulin,aliased,1
tg_trend,thyroglobulin,aliased,1
thyrogland,thyroid_exam,aliased,1
tumor_type,tumor_variant,aliased,1
stage,ptnm_stage,aliased,1
thyroxine_free,free_t4,aliased,1
neurological,neurologic_exam,aliased,1
tremors,anxiety_tremor,aliased,1
symptom,presenting_symptoms,aliased,1
HR,heart_rate,aliased,1
BP,blood_pressure,aliased,1
SpO2,spo2,case_normalized,1
neck_soreness,neck_exam,aliased,1
swallowing_difficulty,dysphagia,aliased,1
adenomatoid_nodule,benign_pathology,aliased,1
no_evidence_of_malignancy,disease_free,aliased,1
incision_status,wound_exam,aliased,1
chronic_lymphocytic_thyroiditis,autoimmune_thyroid,aliased,1
platelet_count,platelet_count,case_normalized,1
surgical_planning,surgical_procedure,aliased,1
high_risk_features,ata_risk_category,aliased,1
angioinvasion,vascular_invasion,aliased,1
ct,ct_neck,aliased,1
white_blood_count,white_blood_count,case_normalized,1
calcium_level_total,calcium,aliased,1
pet_scanning,pet_ct,aliased,1
isthmus_thickening,thyroid_exam,aliased,1
flexible_laryngoscopy,laryngoscopy_findings,aliased,1
capsular_invasion_type,capsular_invasion,aliased,1
radioactive_iodine,rai_ablation,aliased,1
tsh_goal,thyroid_hormone_suppression,aliased,1
risk_assessment,ata_risk_category,aliased,1
plan_ct_neck,ct_neck,aliased,1
denial_of_symptoms,presenting_symptoms,aliased,1
JVD,jvd,case_normalized,1
lab_abnormality,labs,aliased,1
total_thyroidectomy,surgical_procedure,aliased,1
indications_for_procedure,surgical_procedure,aliased,1
tirads_component_margin,tirads_margin,aliased,1
fna_of_ln,fna_cytology,aliased,1
findings,physical_exam,aliased,1
operation,surgical_procedure,aliased,1
respiratory_function,pulmonary_exam,aliased,1
benign_lesion,benign_pathology,aliased,1
molecular_marker,molecular_testing,aliased,1
bilirubin,bilirubin,case_normalized,1
bethesda_category,bethesda_class,aliased,1
benign_background,benign_pathology,aliased,1
"tuberculosis, ","tuberculosis,",aliased,1
albumin,albumin,case_normalized,1
neck_nodule,neck_exam,aliased,1
family_history,family_hx_thyroid,aliased,1
vitamin_d_deficiency,vitamin_d,aliased,1
benign,benign_pathology,aliased,1
tumor_margin,margin_status,aliased,1
lost_to_followup,follow_up_duration,aliased,1
lymph_node_ratio,lymph_node_pathology,aliased,1
present_or_negated,,garbage_removed,1
thyroid_cancer_risk,thyroid_cancer_diagnosis,aliased,1
chloride,chloride,case_normalized,1
thyroid_surgery,surgical_procedure,aliased,1
thyroid_cyst,thyroid_cyst,case_normalized,1
plan_surgery,surgical_procedure,aliased,1
airway_obstruction,airway_compromise_grade,aliased,1
ln_laterality,lymph_node_level,aliased,1
ln_morphology,lymph_node_pathology,aliased,1
implant_site,parathyroid_autograft,aliased,1
thyroid_cancer_diagnosis,thyroid_cancer_diagnosis,case_normalized,1
adenomatoid_nodules,benign_pathology,aliased,1
difficulty_swallowing,dysphagia,aliased,1
focal_location,nodule_location,aliased,1
thyroid_nodules,nodule_size,aliased,1
no_surgery_wanted,treatment_declined,aliased,1
no_radiation_exposure,radiation_exposure,aliased,1
no_thyroid_cancer_family_history,family_hx_thyroid,aliased,1
regional_lymph_nodes,lymph_node_pathology,aliased,1
aphonia,voice_quality,aliased,1
metastasis,distant_recurrence,aliased,1
recurrence,structural_recurrence,aliased,1
phosphate,phosphate,case_normalized,1
ionized calcium,calcium,aliased,1
benign_thyroid_background,benign_pathology,aliased,1
chronic_kidney_disease,renal_disease,aliased,1
lymph_node_status,lymph_node_pathology,aliased,1
free_thyroxine_index,free_t4,aliased,1
heart_failure,cardiovascular,aliased,1
coronary_artery_disease,cardiovascular,aliased,1
whole_body_scan,post_treatment_scan,aliased,1
ablation_rx,rai_ablation,aliased,1
postop PTH,pth,aliased,1
atrial_fibrillation,cardiovascular,aliased,1
diabetes_mellitus,diabetes,aliased,1
hypothyroidism,thyroid_function,aliased,1
thyroglossal_duct_cyst,benign_pathology,aliased,1
intraoperative_monitoring,nerve_monitoring,aliased,1
thyroid_notch_palpable,thyroid_exam,aliased,1
cricoid_not_palpable,cricoid_not_palpable,case_normalized,1
weight_loss,weight_change,aliased,1
previous_thyroid_nodules,nodule_size,aliased,1
thyroid_nodularity,thyroid_exam,aliased,1
airway_assessment,airway_exam,aliased,1
chest_exam,pulmonary_exam,aliased,1
anesthesia_plan,anesthesia,aliased,1
patient_consent,shared_decision,aliased,1
thyroglobulin_antibody,anti_thyroglobulin,aliased,1
tracheaumatisation,tracheaumatisation,case_normalized,1
lymph node assessment,lymph_node_pathology,aliased,1
lymph_node_exam,lymph_node_palpation,aliased,1
tsh_receptor_antibody,trab,aliased,1
parathyroid_hormone,pth,aliased,1
TPAb,tpo_antibody,aliased,1
genitourinary_exam,general_exam,aliased,1
musculoskeletal_exam,musculoskeletal,aliased,1
Physical Exam,physical_exam,case_normalized,1
General,general_exam,aliased,1
HEENT,heent_exam,aliased,1
CV,cardiovascular,aliased,1
Pulmonary,pulmonary_disease,aliased,1
Skin,skin,case_normalized,1
Extremities,extremities_exam,aliased,1
Neurologic,neurologic_exam,aliased,1
thyroidectomy_plan,surgical_procedure,aliased,1
jvd,jvd,case_normalized,1
thyroid_imaging,thyroid_ultrasound,aliased,1
ct_neck_findings,ct_neck,aliased,1
parathyroid,parathyroid_management,aliased,1
entity_type,,garbage_removed,1
cervical_back_exam,neck_exam,aliased,1
hemoglobin_a1c,hemoglobin_a1c,case_normalized,1
no_cervical_lymphadenopathy,lymph_node_palpation,aliased,1
incision,surgical_procedure,aliased,1
neoplasm,tumor_variant,aliased,1
Thyroid,thyroid,case_normalized,1
Cervical lymph nodes,lymph_node_palpation,aliased,1
Supraclavicular lymph nodes,lymph_node_palpation,aliased,1
BMI,bmi,case_normalized,1
Vitals,vitals,case_normalized,1
cancer_stage,ptnm_stage,aliased,1
sodium,sodium,case_normalized,1
neurologic_examination,neurologic_exam,aliased,1
thyroglossal duct cyst,benign_pathology,aliased,1
no_thyroid_enlargement,no_thyroid_enlargement,case_normalized,1
no_masses_abdomen,abdominal_exam,aliased,1
trachea_deviation,tracheal_deviation,aliased,1
abdomen_soft,abdominal_exam,aliased,1
skin_warm_dry,skin,aliased,1
musculoskeletal_normal,musculoskeletal,aliased,1
24_hour_urine_metanephrine,24_hour_urine_metanephrine,case_normalized,1
abdominal_examination,abdominal_exam,aliased,1
vocal_cord_assessment,vocal_cord_mobility,aliased,1
tracheal_position,tracheal_deviation,aliased,1
neurological_examination,neurologic_exam,aliased,1
hgb,hemoglobin,aliased,1
2023-07-20,2023_07_20,case_normalized,1
"neck_exam: stridor, tracheal deviation, airway compromise findings",neck_exam,aliased,1
imaging_findings,ultrasound_thyroid,aliased,1
"}]}, but the assistant's response is cut off. Let me complete the JSON structure properly. Here's the corrected version of the JSON output based on the provided information and the specified format:```json{",,garbage_removed,1
