manuscript,stratum,block,variable,detail,value,extra
M037,Overall,Categorical,ETE grade (final),absent,7 (0.3%),
M037,Overall,Categorical,ETE grade (final),None,3 (0.1%),
M037,Overall,Categorical,ETE grade (final),true,3 (0.1%),
M037,Overall,Categorical,ETE grade (final),Missing,0 (0.0%),
M037,Overall,Binary,Any recurrence,,290 (13.0%),
M037,Overall,Binary,Any confirmed complication,,94 (4.2%),
M037,Overall,Binary,RAI received (reconciled),,415 (18.6%),
M037,Overall,Binary,Molecular tested (confirmed),,402 (18.0%),
M037,Overall,Binary,BRAF positive (among molecular-tested),,139 (34.6%) [N_tested=402],
M037,LN negative or zero,Header,N,,1135,
M037,LN negative or zero,Continuous,Age at surgery (y),Mean ± SD,50.7 ± 15.3,
M037,LN negative or zero,Continuous,Age at surgery (y),Median (IQR),50.0 (39.0–63.0),
M037,LN negative or zero,Continuous,Age at surgery (y),Non-missing / missing,n=1135; missing 0 (0.0%),
M037,LN negative or zero,Continuous,BMI,Mean ± SD,29.9 ± 7.1,
M037,LN negative or zero,Continuous,BMI,Median (IQR),28.5 (25.0–33.6),
M037,LN negative or zero,Continuous,BMI,Non-missing / missing,n=246; missing 889 (78.3%),
M037,LN negative or zero,Categorical,Sex,,,
M037,LN negative or zero,Categorical,Sex,female,879 (77.4%),
M037,LN negative or zero,Categorical,Sex,male,256 (22.6%),
M037,LN negative or zero,Categorical,Sex,Missing,0 (0.0%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),,,
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),White,741 (65.3%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Black or African American,212 (18.7%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Unknown or Not Reported,81 (7.1%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Asian,77 (6.8%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Other,15 (1.3%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Native Hawaiian or Other Pacific Islander,4 (0.4%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),American Indian or Alaska Native,2 (0.2%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Hispanic or Latino,2 (0.2%),
M037,LN negative or zero,Categorical,Race/ethnicity (as coded),Missing,1 (0.1%),
M037,LN negative or zero,Categorical,Surgery procedure type,,,
M037,LN negative or zero,Categorical,Surgery procedure type,total_thyroidectomy,820 (72.2%),
M037,LN negative or zero,Categorical,Surgery procedure type,hemithyroidectomy,299 (26.3%),
M037,LN negative or zero,Categorical,Surgery procedure type,other,14 (1.2%),
M037,LN negative or zero,Categorical,Surgery procedure type,unknown,2 (0.2%),
M037,LN negative or zero,Categorical,Surgery procedure type,Missing,0 (0.0%),
M037,LN negative or zero,Binary,Malignant,,1135 (100.0%),
M037,LN negative or zero,Categorical,Histology (malignant only),,N_malignant=1135,
M037,LN negative or zero,Categorical,Histology (malignant only),PTC,888 (78.2%),
M037,LN negative or zero,Categorical,Histology (malignant only),follicular carcinoma,148 (13.0%),
M037,LN negative or zero,Categorical,Histology (malignant only),MTC,59 (5.2%),
M037,LN negative or zero,Categorical,Histology (malignant only),poorly differentiated thyroid carcinoma,12 (1.1%),
M037,LN negative or zero,Categorical,Histology (malignant only),FTUMP,11 (1.0%),
M037,LN negative or zero,Categorical,Histology (malignant only),differentiated high grade thyroid carcinoma,5 (0.4%),
M037,LN negative or zero,Categorical,Histology (malignant only),metastatic PTC,3 (0.3%),
M037,LN negative or zero,Categorical,Histology (malignant only),anaplastic carcinoma,3 (0.3%),
M037,LN negative or zero,Categorical,Histology (malignant only),recurrent/metastatic PTC,2 (0.2%),
M037,LN negative or zero,Categorical,Histology (malignant only),metastatic PTC tall cell variant,2 (0.2%),
M037,LN negative or zero,Categorical,Histology (malignant only),infiltrating carcinoma with thymus-like differentiation,1 (0.1%),
M037,LN negative or zero,Categorical,Histology (malignant only),metastatic thyroid carcinoma,1 (0.1%),
M037,LN negative or zero,Categorical,Histology (malignant only),Missing,0 (0.0%),
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),,N_malignant=1135,
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),I,543 (47.8%),
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),II,350 (30.8%),
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),IVB,241 (21.2%),
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),III,1 (0.1%),
M037,LN negative or zero,Categorical,AJCC8 stage group (malignant only),Missing,0 (0.0%),
M037,LN negative or zero,Continuous,"Tumor size, dominant (cm)",Mean ± SD,1.9 ± 1.8,
M037,LN negative or zero,Continuous,"Tumor size, dominant (cm)",Median (IQR),1.4 (0.7–2.7),
M037,LN negative or zero,Continuous,"Tumor size, dominant (cm)",Non-missing / missing,n=1134; missing 1 (0.1%),
M037,LN negative or zero,Continuous,LN positive count (final),Mean ± SD,0.0 ± 0.0,
M037,LN negative or zero,Continuous,LN positive count (final),Median (IQR),0.0 (0.0–0.0),
M037,LN negative or zero,Continuous,LN rollup total examined,Mean ± SD,3.8 ± 6.1,
M037,LN negative or zero,Continuous,LN rollup total examined,Median (IQR),2.0 (1.0–4.0),
M037,LN negative or zero,Continuous,LN rollup total positive,Mean ± SD,0.1 ± 0.6,
M037,LN negative or zero,Continuous,LN rollup total positive,Median (IQR),0.0 (0.0–0.0),
M037,LN negative or zero,Categorical,LND dissection (resolved v2),,,
M037,LN negative or zero,Categorical,LND dissection (resolved v2),lateral_neck_dissection,24 (2.1%),
M037,LN negative or zero,Categorical,LND dissection (resolved v2),lateral_neck_dissection_unspecified,17 (1.5%),
M037,LN negative or zero,Categorical,LND dissection (resolved v2),mrnd,14 (1.2%),
M037,LN negative or zero,Categorical,LND dissection (resolved v2),Missing,1080 (95.2%),
M037,LN negative or zero,Categorical,ETE grade (final),,,
M037,LN negative or zero,Categorical,ETE grade (final),microscopic,804 (70.8%),
M037,LN negative or zero,Categorical,ETE grade (final),gross,300 (26.4%),
M037,LN negative or zero,Categorical,ETE grade (final),false,17 (1.5%),
M037,LN negative or zero,Categorical,ETE grade (final),present_ungraded,7 (0.6%),
M037,LN negative or zero,Categorical,ETE grade (final),None,3 (0.3%),
M037,LN negative or zero,Categorical,ETE grade (final),absent,3 (0.3%),
M037,LN negative or zero,Categorical,ETE grade (final),true,1 (0.1%),
M037,LN negative or zero,Categorical,ETE grade (final),Missing,0 (0.0%),
M037,LN negative or zero,Binary,Any recurrence,,116 (10.2%),
M037,LN negative or zero,Binary,Any confirmed complication,,41 (3.6%),
M037,LN negative or zero,Binary,RAI received (reconciled),,142 (12.5%),
M037,LN negative or zero,Binary,Molecular tested (confirmed),,243 (21.4%),
M037,LN negative or zero,Binary,BRAF positive (among molecular-tested),,63 (25.9%) [N_tested=243],
M037,LN positive,Header,N,,1099,
M037,LN positive,Continuous,Age at surgery (y),Mean ± SD,47.0 ± 16.2,
M037,LN positive,Continuous,Age at surgery (y),Median (IQR),45.0 (34.0–59.0),
M037,LN positive,Continuous,Age at surgery (y),Non-missing / missing,n=1099; missing 0 (0.0%),
M037,LN positive,Continuous,BMI,Mean ± SD,28.7 ± 7.4,
M037,LN positive,Continuous,BMI,Median (IQR),27.5 (23.4–32.3),
M037,LN positive,Continuous,BMI,Non-missing / missing,n=184; missing 915 (83.3%),
M037,LN positive,Categorical,Sex,,,
M037,LN positive,Categorical,Sex,female,722 (65.7%),
M037,LN positive,Categorical,Sex,male,377 (34.3%),
M037,LN positive,Categorical,Sex,Missing,0 (0.0%),
M037,LN positive,Categorical,Race/ethnicity (as coded),,,
M037,LN positive,Categorical,Race/ethnicity (as coded),White,716 (65.2%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Black or African American,147 (13.4%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Asian,100 (9.1%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Unknown or Not Reported,82 (7.5%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Other,35 (3.2%),
M037,LN positive,Categorical,Race/ethnicity (as coded),American Indian or Alaska Native,9 (0.8%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Hispanic or Latino,5 (0.5%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Native Hawaiian or Other Pacific Islander,4 (0.4%),
M037,LN positive,Categorical,Race/ethnicity (as coded),Missing,1 (0.1%),
M037,LN positive,Categorical,Surgery procedure type,,,
M037,LN positive,Categorical,Surgery procedure type,total_thyroidectomy,953 (86.7%),
M037,LN positive,Categorical,Surgery procedure type,hemithyroidectomy,72 (6.6%),
M037,LN positive,Categorical,Surgery procedure type,other,71 (6.5%),
M037,LN positive,Categorical,Surgery procedure type,unknown,3 (0.3%),
M037,LN positive,Categorical,Surgery procedure type,Missing,0 (0.0%),
M037,LN positive,Binary,Malignant,,1099 (100.0%),
M037,LN positive,Categorical,Histology (malignant only),,N_malignant=1099,
M037,LN positive,Categorical,Histology (malignant only),PTC,866 (78.8%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC,112 (10.2%),
M037,LN positive,Categorical,Histology (malignant only),MTC,59 (5.4%),
M037,LN positive,Categorical,Histology (malignant only),follicular carcinoma,11 (1.0%),
M037,LN positive,Categorical,Histology (malignant only),anaplastic carcinoma,9 (0.8%),
M037,LN positive,Categorical,Histology (malignant only),poorly differentiated thyroid carcinoma,7 (0.6%),
M037,LN positive,Categorical,Histology (malignant only),metastatic MTC,7 (0.6%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC with tall cell features,4 (0.4%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC classical,4 (0.4%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC tall cell variant,3 (0.3%),
M037,LN positive,Categorical,Histology (malignant only),differentiated high grade thyroid carcinoma,3 (0.3%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC follicular,2 (0.2%),
M037,LN positive,Categorical,Histology (malignant only),metastatic thyroid carcinoma,2 (0.2%),
M037,LN positive,Categorical,Histology (malignant only),adenoid cystic carcinoma,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC with focal tall cell features,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC/anaplastic carcinoma,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),high-grade PTC with thymic-like features,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),MTC/PTC mixed composite,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),poorly differentiated PTC,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),NUT carcinoma,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),NIFTP,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC classical with focal tall cell features,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),metastatic PTC classical with extensive follicular growth pattern & oncocytic & focal tall cell features <5%,1 (0.1%),
M037,LN positive,Categorical,Histology (malignant only),Missing,0 (0.0%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),,N_malignant=1099,
M037,LN positive,Categorical,AJCC8 stage group (malignant only),II,506 (46.0%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),I,377 (34.3%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),IVB,204 (18.6%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),III,8 (0.7%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),None,4 (0.4%),
M037,LN positive,Categorical,AJCC8 stage group (malignant only),Missing,0 (0.0%),
M037,LN positive,Continuous,"Tumor size, dominant (cm)",Mean ± SD,2.6 ± 2.2,
M037,LN positive,Continuous,"Tumor size, dominant (cm)",Median (IQR),2.0 (1.2–3.3),
M037,LN positive,Continuous,"Tumor size, dominant (cm)",Non-missing / missing,n=1096; missing 3 (0.3%),
M037,LN positive,Continuous,LN positive count (final),Mean ± SD,6.1 ± 7.2,
M037,LN positive,Continuous,LN positive count (final),Median (IQR),3.0 (1.0–8.0),
M037,LN positive,Continuous,LN rollup total examined,Mean ± SD,19.9 ± 19.9,
M037,LN positive,Continuous,LN rollup total examined,Median (IQR),12.0 (4.0–31.0),
M037,LN positive,Continuous,LN rollup total positive,Mean ± SD,6.1 ± 7.4,
M037,LN positive,Continuous,LN rollup total positive,Median (IQR),3.0 (1.0–8.0),
M037,LN positive,Categorical,LND dissection (resolved v2),,,
M037,LN positive,Categorical,LND dissection (resolved v2),mrnd,163 (14.8%),
M037,LN positive,Categorical,LND dissection (resolved v2),lateral_neck_dissection,160 (14.6%),
M037,LN positive,Categorical,LND dissection (resolved v2),lateral_neck_dissection_unspecified,41 (3.7%),
M037,LN positive,Categorical,LND dissection (resolved v2),Missing,735 (66.9%),
M037,LN positive,Categorical,ETE grade (final),,,
M037,LN positive,Categorical,ETE grade (final),microscopic,504 (45.9%),
M037,LN positive,Categorical,ETE grade (final),gross,491 (44.7%),
M037,LN positive,Categorical,ETE grade (final),false,84 (7.6%),
M037,LN positive,Categorical,ETE grade (final),present_ungraded,14 (1.3%),
M037,LN positive,Categorical,ETE grade (final),absent,4 (0.4%),
M037,LN positive,Categorical,ETE grade (final),true,2 (0.2%),
M037,LN positive,Categorical,ETE grade (final),Missing,0 (0.0%),
M037,LN positive,Binary,Any recurrence,,174 (15.8%),
M037,LN positive,Binary,Any confirmed complication,,53 (4.8%),
M037,LN positive,Binary,RAI received (reconciled),,273 (24.8%),
M037,LN positive,Binary,Molecular tested (confirmed),,159 (14.5%),
M037,LN positive,Binary,BRAF positive (among molecular-tested),,76 (47.8%) [N_tested=159],
