surgery_type_label,complication_category,analysis_window,n_with_complication,n_patients_in_surgery_bucket,proportion,ci95_lower_wald,ci95_upper_wald
total_thyroidectomy x ND_lateral,hematoma,acute_0_30d,0,41,0.0,0.0,0.0
total_thyroidectomy x ND_lateral,hypocalcemia,acute_0_30d,1,41,0.02439,0.0,0.07161
total_thyroidectomy x ND_lateral,hypoparathyroidism,any_time_followup,0,41,0.0,0.0,0.0
total_thyroidectomy x ND_lateral,mortality,any_time_followup,0,41,0.0,0.0,0.0
total_thyroidectomy x ND_lateral,vocal_cord_palsy,acute_0_30d,0,41,0.0,0.0,0.0
total_thyroidectomy x ND_none_signal,chyle_leak,acute_0_30d,0,821,0.0,0.0,0.0
total_thyroidectomy x ND_none_signal,hematoma,acute_0_30d,4,821,0.00487,0.00011,0.00964
total_thyroidectomy x ND_none_signal,hypocalcemia,acute_0_30d,2,821,0.00244,0.0,0.00581
total_thyroidectomy x ND_none_signal,hypoparathyroidism,any_time_followup,13,821,0.01583,0.0073,0.02437
total_thyroidectomy x ND_none_signal,mortality,any_time_followup,0,821,0.0,0.0,0.0
total_thyroidectomy x ND_none_signal,vocal_cord_palsy,acute_0_30d,1,821,0.00122,0.0,0.0036
