surgery_year,diagnosis_primary,variant,n
2020,atypical_follicular_adenoma,(null),1
2020,follicular_adenoma,(null),29
2020,hurthle_cell_adenoma,(null),6
2021,FTC,(null),7
2021,FTC,minimally_invasive,19
2021,FTC,oncocytic_warthin,12
2021,FTC,widely_invasive,2
2021,NIFTP,(null),6
2021,atypical_follicular_adenoma,(null),6
2021,follicular_adenoma,(null),30
2021,hurthle_cell_adenoma,(null),6
2022,FTC,(null),8
2022,FTC,minimally_invasive,24
2022,FTC,oncocytic_warthin,21
2022,FTUMP,(null),3
2022,NIFTP,(null),17
2022,atypical_follicular_adenoma,(null),10
2022,follicular_adenoma,(null),36
2022,hurthle_cell_adenoma,(null),7
2023,DHGTC,(null),8
2023,FTC,(null),14
2023,FTC,minimally_invasive,36
2023,FTC,oncocytic_warthin,18
2023,FTC,widely_invasive,3
2023,FTUMP,(null),11
2023,NIFTP,(null),15
2023,atypical_follicular_adenoma,(null),5
2023,follicular_adenoma,(null),55
2023,hurthle_cell_adenoma,(null),12
2023,hyalinizing_trabecular_tumor,(null),1
2024,DHGTC,(null),1
2024,FTC,(null),10
2024,FTC,minimally_invasive,43
2024,FTC,oncocytic_warthin,31
2024,FTUMP,(null),11
2024,NIFTP,(null),11
2024,atypical_follicular_adenoma,(null),8
2024,follicular_adenoma,(null),57
2024,hurthle_cell_adenoma,(null),11
2025,FTC,minimally_invasive,2
2025,FTC,oncocytic_warthin,2
2025,FTUMP,(null),2
2025,NIFTP,(null),2
2025,follicular_adenoma,(null),2
