table_schema,table_name,table_type
main,molecular_results,BASE TABLE
main,molecular_results_contract_v,VIEW
main,molecular_results_contract_v1,VIEW
main,molecular_results_enriched_v1,VIEW
main,molecular_results_unified_v,VIEW
main,molecular_test_episode_v2,BASE TABLE
main,molecular_testing,BASE TABLE
main,molecular_variant_contract_v,VIEW
main,molecular_variant_long,BASE TABLE
main,molecular_variant_long_contract_v1,VIEW
main,mrn_crosswalk_v1,BASE TABLE
main,note_entities_complications,BASE TABLE
main,note_entities_genetics,BASE TABLE
main,note_entities_llm_airway_invasion,BASE TABLE
main,note_entities_llm_cervical_ln_detail,BASE TABLE
main,note_entities_llm_dynamic_risk_response,BASE TABLE
main,note_entities_llm_frozen_section_detail,BASE TABLE
main,note_entities_llm_functional_outcomes,BASE TABLE
main,note_entities_llm_imaging,BASE TABLE
main,note_entities_llm_labs,BASE TABLE
main,note_entities_llm_parathyroid_detail,BASE TABLE
main,note_entities_llm_past_medical_hx,BASE TABLE
main,note_entities_llm_past_surgical_hx,BASE TABLE
main,note_entities_llm_pathology,BASE TABLE
main,note_entities_llm_patient_decision_adherence,BASE TABLE
main,note_entities_llm_physical_exam,BASE TABLE
main,note_entities_llm_presenting_symptoms,BASE TABLE
main,note_entities_llm_rad_treatment,BASE TABLE
main,note_entities_llm_rai_detailed,BASE TABLE
main,note_entities_llm_recurrence,BASE TABLE
main,note_entities_llm_survival_followup,BASE TABLE
main,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE
main,note_entities_llm_tg_kinetics,BASE TABLE
main,note_entities_llm_tirads_granular,BASE TABLE
main,note_entities_llm_us_nodule_dynamics,BASE TABLE
main,note_entities_llm_vascular_invasion,BASE TABLE
main,note_entities_medications,BASE TABLE
main,note_entities_operative_detail,BASE TABLE
main,note_entities_problem_list,BASE TABLE
main,note_entities_procedures,BASE TABLE
main,note_entities_staging,BASE TABLE
main,note_extraction_runs,BASE TABLE
main,notes_entity_summary,VIEW
main,nuclear_med,BASE TABLE
main,operative_episode_detail_v2,BASE TABLE
main,path_synoptics,BASE TABLE
main,path_synoptics_encounter_qc_v1,VIEW
main,pathology_rai_linkage_v3,BASE TABLE
main,patient_analysis_resolved_v1,BASE TABLE
main,patient_cross_domain_timeline_v2,BASE TABLE
main,patient_refined_master_clinical_v12,BASE TABLE
main,preop_surgery_linkage_v3,BASE TABLE
main,rai_treatment_episode_v2,BASE TABLE
main,raw_imaging_12_slots_v1,BASE TABLE
main,raw_us_tirads_excel_v1,BASE TABLE
main,raw_us_tirads_scored_v1,BASE TABLE
main,recurrence_event_clean_v1,BASE TABLE
main,review_queue_imaging_fna_mm_v1,BASE TABLE
main,serial_imaging_us,BASE TABLE
main,specimen_genomic_assay_v1,BASE TABLE
main,specimen_master_v1,BASE TABLE
main,specimen_source_xref_v1,BASE TABLE
main,specimen_tumor_focus_v1,BASE TABLE
main,stg_thyroseq_excel_raw,BASE TABLE
main,stg_thyroseq_match_results,BASE TABLE
main,stg_thyroseq_parsed,BASE TABLE
main,surgery_pathology_linkage_v3,BASE TABLE
main,survival_cohort_enriched,BASE TABLE
main,synoptic_tumor_long_v1,BASE TABLE
main,tg_lab_review_queue_v1,BASE TABLE
main,tg_postop_surveillance_windows_v1,BASE TABLE
main,tg_timeline_patient_summary_v1,BASE TABLE
main,thyroglobulin_lab_canonical_v1,BASE TABLE
main,thyroid_scoring_py_v1,BASE TABLE
main,thyroseq_molecular_enrichment,BASE TABLE
main,thyroseq_review_queue,BASE TABLE
main,tumor_episode_master_v2,BASE TABLE
main,tumor_pathology,BASE TABLE
main,ultrasound_reports,BASE TABLE
main,us_nodules_tirads,BASE TABLE
main,v_canonical_us_nodule_scope_v1,VIEW
main,v_fna_bethesda_episode_vs_resolved_v1,VIEW
main,v_fna_episode_bethesda_resolved_v1,VIEW
main,v_imaging_nodule_linkage_classification_v1,VIEW
main,v_imaging_nodule_tirads_gap_v1,VIEW
main,val_imaging_fna_linkage_audit_v1,BASE TABLE
main,val_path_synoptic_encounter_isolation_v1,BASE TABLE
main,val_phase12_tirads_validation,BASE TABLE
main,vw_us_nodule_tirads_validated,BASE TABLE
mm_contract_dev,_bootstrap_event_date_audit_v2,BASE TABLE
mm_contract_dev,_bootstrap_fna_episode_master_v2,BASE TABLE
mm_contract_dev,_bootstrap_fna_molecular_linkage_v3,BASE TABLE
mm_contract_dev,_bootstrap_linkage_master_v1,BASE TABLE
mm_contract_dev,_bootstrap_mrn_crosswalk_v1,BASE TABLE
mm_contract_dev,_bootstrap_pathology_rai_linkage_v3,BASE TABLE
mm_contract_dev,_bootstrap_patient_cross_domain_timeline_v2,BASE TABLE
mm_contract_dev,_bootstrap_preop_surgery_linkage_v3,BASE TABLE
mm_contract_dev,_bootstrap_surgery_pathology_linkage_v3,BASE TABLE
mm_contract_dev,dim_nodule_mm_v1,BASE TABLE
mm_contract_dev,dim_patient_mm_v1,BASE TABLE
mm_contract_dev,fact_fna_mm_v1,BASE TABLE
mm_contract_dev,fact_genetics_mm_v1,BASE TABLE
mm_contract_dev,fact_imaging_mm_v1,BASE TABLE
mm_contract_dev,fact_path_report_mm_v1,BASE TABLE
mm_contract_dev,fact_surgery_mm_v1,BASE TABLE
mm_contract_dev,fact_tumor_mm_v1,BASE TABLE
mm_contract_dev,imaging_fna_linkage_mm_v1,BASE TABLE
mm_contract_dev,link_imaging_fna_mm_v1,BASE TABLE
mm_contract_dev,link_surgery_context_mm_v1,BASE TABLE
mm_contract_dev,link_surgery_path_mm_v1,BASE TABLE
mm_contract_dev,map_patient_identifier_mm_v1,BASE TABLE
mm_contract_dev,review_queue_imaging_fna_mm_v1,BASE TABLE
mm_contract_dev,val_ambiguous_multimodal_linkage_mm_v1,BASE TABLE
mm_contract_dev,val_contract_required_join_keys_mm_v1,BASE TABLE
mm_contract_dev,val_imaging_fna_contract_blockers_mm_v1,BASE TABLE
mm_contract_dev,val_imaging_fna_linkage_audit_v1,BASE TABLE
mm_contract_dev,val_multi_tumor_report_mm_v1,VIEW
mm_contract_dev,val_multitumor_expansion_mm_v1,BASE TABLE
mm_contract_dev,val_nodes_invariant_mm_v1,BASE TABLE
mm_contract_dev,val_preop_temporal_order_mm_v1,BASE TABLE
mm_contract_dev,val_side_lobe_mismatch_mm_v1,BASE TABLE
qa,concordance_summary,BASE TABLE
qa,date_provenance_completeness_v,VIEW
qa,domain_validation,BASE TABLE
qa,domain_validation_summary_v,VIEW
qa,manual_review_queue,BASE TABLE
qa,manual_review_queue_summary_v,VIEW
qa,molecular_pipeline_run_audit,BASE TABLE
qa,promotion_review_decisions,BASE TABLE
qa,promotion_scorecard,BASE TABLE
qa,promotion_scorecard_summary_v,VIEW
qa,release_manifest,BASE TABLE
qa,specimen_genomic_link_review_v1,BASE TABLE
qa,specimen_merge_review_queue_v1,BASE TABLE
qa,t_diag_specimen_focus_qa_metrics_v1,BASE TABLE
qa,tg_lab_ingestion_qc,BASE TABLE
qa,v_diag_specimen_duplicate_focus_fp_v1,VIEW
qa,v_diag_specimen_duplicate_master_fp_v1,VIEW
qa,v_diag_specimen_fhir_broken_refs_v1,VIEW
qa,v_diag_specimen_fhir_bundle_entry_drift_v1,VIEW
qa,v_diag_specimen_genomics_A_tier_requires_specimen_v1,VIEW
qa,v_diag_specimen_genomics_dupe_thyroseq_slice_v1,VIEW
qa,v_diag_specimen_genomics_thyroseq_ordinality_v1,VIEW
qa,v_diag_specimen_genomics_tier_enum_v1,VIEW
qa,v_diag_specimen_orphan_focus_master_v1,VIEW
qa,v_diag_specimen_orphan_focus_v1,VIEW
qa,v_diag_specimen_orphan_genomic_focus_v1,VIEW
qa,v_diag_specimen_orphan_genomic_master_v1,VIEW
qa,v_diag_specimen_orphan_genomic_v1,VIEW
qa,v_diag_specimen_provenance_focus_gaps_v1,VIEW
qa,v_diag_specimen_provenance_focus_v1,VIEW
qa,v_diag_specimen_provenance_genomic_v1,VIEW
qa,v_diag_specimen_provenance_master_v1,VIEW
qa,v_diag_specimen_provenance_summary_v1,VIEW
qa,v_diag_specimen_review_burden_v1,VIEW
qa,val_specimen_contract_v1,BASE TABLE
qa,val_specimen_genomic_binding_v1,BASE TABLE
release_20260406,canonical_extracted_fact_long_v1,BASE TABLE
release_20260406,canonical_extracted_fact_long_v2,BASE TABLE
release_20260406,canonical_fact_quarantine_v1,BASE TABLE
release_20260406,canonical_fact_quarantine_v2,BASE TABLE
release_20260406,note_extraction_runs,BASE TABLE
release_20260406,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260407,canonical_extracted_fact_long_v1,BASE TABLE
release_20260407,canonical_extracted_fact_long_v2,BASE TABLE
release_20260407,canonical_fact_quarantine_v1,BASE TABLE
release_20260407,canonical_fact_quarantine_v2,BASE TABLE
release_20260407,note_extraction_runs,BASE TABLE
release_20260407_final,canonical_extracted_fact_long_v1,BASE TABLE
release_20260407_final,canonical_extracted_fact_long_v2,BASE TABLE
release_20260407_final,canonical_fact_quarantine_v1,BASE TABLE
release_20260407_final,canonical_fact_quarantine_v2,BASE TABLE
release_20260407_final,longitudinal_lab_canonical_v1,BASE TABLE
release_20260407_final,master_fact_long_verified_v1,BASE TABLE
release_20260407_final,master_patient_rollup_verified_v1,BASE TABLE
release_20260407_final,master_source_lineage_v1,BASE TABLE
release_20260407_final,note_extraction_runs,BASE TABLE
release_20260407_final,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260407_final2,canonical_extracted_fact_long_v1,BASE TABLE
release_20260407_final2,canonical_extracted_fact_long_v2,BASE TABLE
release_20260407_final2,canonical_fact_quarantine_v1,BASE TABLE
release_20260407_final2,canonical_fact_quarantine_v2,BASE TABLE
release_20260407_final2,longitudinal_lab_canonical_v1,BASE TABLE
release_20260407_final2,master_fact_long_verified_v1,BASE TABLE
release_20260407_final2,master_patient_rollup_verified_v1,BASE TABLE
release_20260407_final2,master_source_lineage_v1,BASE TABLE
release_20260407_final2,note_extraction_runs,BASE TABLE
release_20260407_final2,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260407_tier,canonical_extracted_fact_long_v1,BASE TABLE
release_20260407_tier,canonical_extracted_fact_long_v2,BASE TABLE
release_20260407_tier,canonical_fact_quarantine_v1,BASE TABLE
release_20260407_tier,canonical_fact_quarantine_v2,BASE TABLE
release_20260407_tier,longitudinal_lab_canonical_v1,BASE TABLE
release_20260407_tier,master_fact_long_verified_v1,BASE TABLE
release_20260407_tier,master_patient_rollup_verified_v1,BASE TABLE
release_20260407_tier,master_source_lineage_v1,BASE TABLE
release_20260407_tier,note_extraction_runs,BASE TABLE
release_20260407_tier,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260408,canonical_extracted_fact_long_v1,BASE TABLE
release_20260408,canonical_extracted_fact_long_v2,BASE TABLE
release_20260408,canonical_fact_quarantine_v1,BASE TABLE
release_20260408,canonical_fact_quarantine_v2,BASE TABLE
release_20260408,longitudinal_lab_canonical_v1,BASE TABLE
release_20260408,master_fact_long_verified_v1,BASE TABLE
release_20260408,master_patient_rollup_verified_v1,BASE TABLE
release_20260408,master_source_lineage_v1,BASE TABLE
release_20260408,note_extraction_runs,BASE TABLE
release_20260408,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260408r2,canonical_extracted_fact_long_v1,BASE TABLE
release_20260408r2,canonical_extracted_fact_long_v2,BASE TABLE
release_20260408r2,canonical_fact_quarantine_v1,BASE TABLE
release_20260408r2,canonical_fact_quarantine_v2,BASE TABLE
release_20260408r2,longitudinal_lab_canonical_v1,BASE TABLE
release_20260408r2,master_fact_long_verified_v1,BASE TABLE
release_20260408r2,master_patient_rollup_verified_v1,BASE TABLE
release_20260408r2,master_source_lineage_v1,BASE TABLE
release_20260408r2,note_extraction_runs,BASE TABLE
release_20260408r2,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260408r3,canonical_extracted_fact_long_v1,BASE TABLE
release_20260408r3,canonical_extracted_fact_long_v2,BASE TABLE
release_20260408r3,canonical_fact_quarantine_v1,BASE TABLE
release_20260408r3,canonical_fact_quarantine_v2,BASE TABLE
release_20260408r3,longitudinal_lab_canonical_v1,BASE TABLE
release_20260408r3,master_fact_long_verified_v1,BASE TABLE
release_20260408r3,master_patient_rollup_verified_v1,BASE TABLE
release_20260408r3,master_source_lineage_v1,BASE TABLE
release_20260408r3,note_extraction_runs,BASE TABLE
release_20260408r3,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260408r4,canonical_extracted_fact_long_v1,BASE TABLE
release_20260408r4,canonical_extracted_fact_long_v2,BASE TABLE
release_20260408r4,canonical_fact_quarantine_v1,BASE TABLE
release_20260408r4,canonical_fact_quarantine_v2,BASE TABLE
release_20260408r4,longitudinal_lab_canonical_v1,BASE TABLE
release_20260408r4,master_fact_long_verified_v1,BASE TABLE
release_20260408r4,master_patient_rollup_verified_v1,BASE TABLE
release_20260408r4,master_source_lineage_v1,BASE TABLE
release_20260408r4,note_extraction_runs,BASE TABLE
release_20260408r4,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260409,canonical_extracted_fact_long_v1,BASE TABLE
release_20260409,canonical_extracted_fact_long_v2,BASE TABLE
release_20260409,canonical_fact_quarantine_v1,BASE TABLE
release_20260409,canonical_fact_quarantine_v2,BASE TABLE
release_20260409,longitudinal_lab_canonical_v1,BASE TABLE
release_20260409,master_fact_long_verified_v1,BASE TABLE
release_20260409,master_patient_rollup_verified_v1,BASE TABLE
release_20260409,master_source_lineage_v1,BASE TABLE
release_20260409,note_extraction_runs,BASE TABLE
release_20260409,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260410,canonical_extracted_fact_long_v1,BASE TABLE
release_20260410,canonical_extracted_fact_long_v2,BASE TABLE
release_20260410,canonical_fact_quarantine_v1,BASE TABLE
release_20260410,canonical_fact_quarantine_v2,BASE TABLE
release_20260410,longitudinal_lab_canonical_v1,BASE TABLE
release_20260410,master_fact_long_verified_v1,BASE TABLE
release_20260410,master_patient_rollup_verified_v1,BASE TABLE
release_20260410,master_source_lineage_v1,BASE TABLE
release_20260410,note_extraction_runs,BASE TABLE
release_20260410,thyroglobulin_lab_canonical_v1,BASE TABLE
release_20260411,canonical_extracted_fact_long_v1,BASE TABLE
release_20260411,canonical_extracted_fact_long_v2,BASE TABLE
release_20260411,canonical_fact_quarantine_v1,BASE TABLE
release_20260411,canonical_fact_quarantine_v2,BASE TABLE
release_20260411,longitudinal_lab_canonical_v1,BASE TABLE
release_20260411,master_fact_long_verified_v1,BASE TABLE
release_20260411,master_patient_rollup_verified_v1,BASE TABLE
release_20260411,master_source_lineage_v1,BASE TABLE
release_20260411,note_extraction_runs,BASE TABLE
release_20260411,thyroglobulin_lab_canonical_v1,BASE TABLE
v2_stage,load_inventory,BASE TABLE
v2_stage,note_entities_llm_airway_invasion,BASE TABLE
v2_stage,note_entities_llm_cervical_ln_detail,BASE TABLE
v2_stage,note_entities_llm_combined,BASE TABLE
v2_stage,note_entities_llm_complications,BASE TABLE
v2_stage,note_entities_llm_complications_rln_laryngoscopy,BASE TABLE
v2_stage,note_entities_llm_dynamic_risk_response,BASE TABLE
v2_stage,note_entities_llm_frozen_section_detail,BASE TABLE
v2_stage,note_entities_llm_functional_outcomes,BASE TABLE
v2_stage,note_entities_llm_genetics,BASE TABLE
v2_stage,note_entities_llm_imaging,BASE TABLE
v2_stage,note_entities_llm_labs,BASE TABLE
v2_stage,note_entities_llm_medication_management,BASE TABLE
v2_stage,note_entities_llm_medications,BASE TABLE
v2_stage,note_entities_llm_molecular_thyroseq_afirma,BASE TABLE
v2_stage,note_entities_llm_operative_details,BASE TABLE
v2_stage,note_entities_llm_operative_v2_enrichment,BASE TABLE
v2_stage,note_entities_llm_parathyroid_detail,BASE TABLE
v2_stage,note_entities_llm_parathyroid_per_gland,BASE TABLE
v2_stage,note_entities_llm_past_medical_hx,BASE TABLE
v2_stage,note_entities_llm_past_surgical_hx,BASE TABLE
v2_stage,note_entities_llm_pathology,BASE TABLE
v2_stage,note_entities_llm_patient_decision_adherence,BASE TABLE
v2_stage,note_entities_llm_physical_exam,BASE TABLE
v2_stage,note_entities_llm_presenting_symptoms,BASE TABLE
v2_stage,note_entities_llm_problem_list,BASE TABLE
v2_stage,note_entities_llm_procedures,BASE TABLE
v2_stage,note_entities_llm_rad_treatment,BASE TABLE
v2_stage,note_entities_llm_rai_detailed,BASE TABLE
v2_stage,note_entities_llm_recurrence,BASE TABLE
v2_stage,note_entities_llm_recurrence_detailed,BASE TABLE
v2_stage,note_entities_llm_staging,BASE TABLE
v2_stage,note_entities_llm_survival_followup,BASE TABLE
v2_stage,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE
v2_stage,note_entities_llm_tg_kinetics,BASE TABLE
v2_stage,note_entities_llm_tirads_granular,BASE TABLE
v2_stage,note_entities_llm_us_nodule_dynamics,BASE TABLE
v2_stage,note_entities_llm_vascular_invasion,BASE TABLE
