# generated_by,scripts/270c_emit_stray_main_review_list.py,generated_at,2026-04-17T07:11:45.260870+00:00,purpose,Logan clinical eyeball before 270d --execute renames these into archive_legacy
schema,name,object_type,row_count,column_count,column_sample_first5,describe_error,proposed_target_name,justification,logan_decision,logan_notes
main,linkage_master_v1,BASE TABLE,11506,6,research_id;canonical_research_id;euh_mrn;linkage_method;confidence,,main__linkage_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,patient_completion_oed_path_linkage_v1,BASE TABLE,11506,24,research_id;first_surgery_episode_id;first_procedure_normalized;index_surgery_date;procedure_raw,,main__patient_completion_oed_path_linkage_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_survival_followup_v1,BASE TABLE,11504,13,research_id;first_surgery_date;last_lab_date;last_tg_date;last_us_date,,main__canonical_survival_followup_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,specimen_source_xref_v1,BASE TABLE,11273,9,xref_id;specimen_id;specimen_focus_id;domain;source_table,,main__specimen_source_xref_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_diagnosis_unified_v1,BASE TABLE,11259,7,research_id;diagnosis_primary;diagnosis_variant;diagnosis_full;is_malignant,,main__canonical_diagnosis_unified_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,md_synoptic_tumor_long_v1,BASE TABLE,11103,22,synoptic_row_ix;research_id;surg_date;thyroid_procedure;tumor_index,,main__md_synoptic_tumor_long_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,specimen_tumor_focus_v1,BASE TABLE,11103,21,specimen_focus_id;focus_fingerprint_sha256;specimen_id;master_fingerprint_sha256;synoptic_row_ix,,main__specimen_tumor_focus_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,synoptic_tumor_long_v1,BASE TABLE,11103,22,synoptic_row_ix;research_id;surg_date;thyroid_procedure;tumor_index,,main__synoptic_tumor_long_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,clinical_notes_long,BASE TABLE,11050,11,excel_row_0based;research_id;note_type;note_index;note_text,,main__clinical_notes_long_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_airway_invasion,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_airway_invasion_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_cervical_ln_detail,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_cervical_ln_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_dynamic_risk_response,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_dynamic_risk_response_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_frozen_section_detail,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_frozen_section_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_functional_outcomes,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_functional_outcomes_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_imaging,BASE TABLE,11037,21,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_imaging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_labs,BASE TABLE,11037,21,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_labs_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_parathyroid_detail,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_parathyroid_detail_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_past_medical_hx,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_past_medical_hx_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_past_surgical_hx,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_past_surgical_hx_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_pathology,BASE TABLE,11037,21,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_pathology_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_patient_decision_adherence,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_patient_decision_adherence_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_physical_exam,BASE TABLE,11037,21,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_physical_exam_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_presenting_symptoms,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_presenting_symptoms_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_rad_treatment,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_rad_treatment_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_rai_detailed,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_rai_detailed_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_recurrence,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_recurrence_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_survival_followup,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_survival_followup_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_synoptic_pathology_enrichment_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_tg_kinetics,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_tg_kinetics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_tirads_granular,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_tirads_granular_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_us_nodule_dynamics,BASE TABLE,11037,23,note_row_id;domain;llm_model;llm_base_url;extracted_at,,main__note_entities_llm_us_nodule_dynamics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_llm_vascular_invasion,BASE TABLE,11037,23,note_row_id;research_id;note_type;note_date;domain,,main__note_entities_llm_vascular_invasion_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_recurrence_v1,BASE TABLE,10871,12,research_id;recurrence_confirmed;recurrence_type;recurrence_date;recurrence_site,,main__canonical_recurrence_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,gold_master_patient_facts_v1,VIEW,10871,146,research_id;age_at_surgery;sex;race;demo_source,,main__gold_master_patient_facts_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,linkage_summary_v,VIEW,10871,5,research_id;n_tumor_episodes;n_molecular_episodes;n_rai_episodes;n_operative_episodes,,main__linkage_summary_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,manuscript_cohort_v1,BASE TABLE,10871,151,research_id;age_at_surgery;sex;race;demo_source,,main__manuscript_cohort_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,path_outcome_classification_v1,BASE TABLE,10871,9,research_id;current_fna_path_outcome;regex_classification;classification_source;bethesda_final,,main__path_outcome_classification_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,patient_analysis_resolved_v1,BASE TABLE,10871,146,research_id;age_at_surgery;sex;race;demo_source,,main__patient_analysis_resolved_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,thyroid_scoring_py_v1,BASE TABLE,10871,51,research_id;ajcc8_t_stage;ajcc8_n_stage;ajcc8_m_stage;ajcc8_stage_group,,main__thyroid_scoring_py_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_results,BASE TABLE,10862,27,molecular_result_id;research_id;source_patient_id;source_specimen_id;source_accession,,main__molecular_results_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_testing,BASE TABLE,10862,11,research_id;thyroseq_afirma;genetic_test_performed;genetic_test;result,,main__molecular_testing_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,thyroseq_molecular_enrichment,BASE TABLE,10862,25,research_id;source_row_hash;source_file;molecular_platform;mutation_raw,,main__thyroseq_molecular_enrichment_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,us_nodules_tirads,BASE TABLE,10862,36,research_id;us_1_date;us_1;us_1_impression;nodule_1,,main__us_nodules_tirads_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_results_contract_v,VIEW,10861,27,molecular_result_id;research_id;source_patient_id;source_specimen_id;source_accession,,main__molecular_results_contract_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_results_contract_v1,VIEW,10861,27,molecular_result_id;research_id;source_patient_id;source_specimen_id;source_accession,,main__molecular_results_contract_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_results_enriched_v1,VIEW,10861,28,molecular_result_id;research_id;source_patient_id;source_specimen_id;source_accession,,main__molecular_results_enriched_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,specimen_genomic_assay_v1,BASE TABLE,10370,24,genomic_assay_id;research_id;molecular_episode_id;platform;test_date_native,,main__specimen_genomic_assay_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,specimen_master_v1,BASE TABLE,10139,17,specimen_id;specimen_fingerprint_sha256;research_id;source_system;procedure_date_day,,main__specimen_master_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_test_episode_v2,BASE TABLE,10126,42,research_id;molecular_episode_id;platform_raw;platform;result,,main__molecular_test_episode_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,analysis_molecular_subset_v1,BASE TABLE,10025,126,research_id;age_at_surgery;sex;race;demo_source,,main__analysis_molecular_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,thyroid_weights,BASE TABLE,10001,9,research_id;date_of_surgery;right_lobe;left_lobe;isthmus,,main__thyroid_weights_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_fna_linkage_v3,BASE TABLE,9911,20,research_id;nodule_id;imaging_exam_id;fna_episode_id;img_date,,main__imaging_fna_linkage_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,surgery_pathology_linkage_v3,BASE TABLE,9409,16,research_id;surgery_episode_id;path_surgery_id;tumor_ordinal;surg_date,,main__surgery_pathology_linkage_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,operative_episode_detail_v2,BASE TABLE,9371,39,research_id;surgery_episode_id;surgery_date_native;resolved_surgery_date;date_status,,main__operative_episode_detail_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,v_patient_surgery_timeline,VIEW,9371,9,research_id;surgery_episode_id;surgery_date;surgery_ordinal;total_surgeries,,main__v_patient_surgery_timeline_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,episode_analysis_resolved_v1_dedup,BASE TABLE,9368,46,research_id;surgery_episode_id;surgery_date;procedure_type;surg_laterality,,main__episode_analysis_resolved_v1_dedup_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,gold_master_episode_events_v1,VIEW,9368,46,research_id;surgery_episode_id;surgery_date;procedure_type;surg_laterality,,main__gold_master_episode_events_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_complications,BASE TABLE,9359,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_complications_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,fna_episode_master_v2,BASE TABLE,8119,17,research_id;fna_episode_id;fna_date_native;resolved_fna_date;date_status,,main__fna_episode_master_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,fna_history,BASE TABLE,8119,10,research_id;fna_index;date;fna_date_parsed;bethesda,,main__fna_history_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,fna_cytology,BASE TABLE,8063,27,research_id;fna_index;fna_date;specimen_location;path_text,,main__fna_cytology_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,clinical_note_ln_extracted_v1,BASE TABLE,7751,30,data_source_layer;extraction_phase;source_note_type;note_row_id;research_id,,main__clinical_note_ln_extracted_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,ct_imaging,BASE TABLE,7701,40,research_id;ct_column;date_of_exam;exam_type_normalized;contrast,,main__ct_imaging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_medications,BASE TABLE,7501,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_medications_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_fna_linkage_mm_v1,BASE TABLE,7305,24,link_mm_id;research_id;nodule_id;imaging_exam_id;imaging_exam_date,,main__imaging_fna_linkage_mm_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_benign_diagnosis_v1,BASE TABLE,6818,18,research_id;benign_diagnosis_primary;has_multinodular_goiter;has_substernal_goiter;has_follicular_adenoma,,main__canonical_benign_diagnosis_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,ultrasound_reports,BASE TABLE,6793,223,research_id;us_report_number;sheet_name;ultrasound_date;radiologist,,main__ultrasound_reports_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,imaging_patient_summary_v1,BASE TABLE,6126,13,research_id;n_exams;n_total_nodules;max_tirads_ever;bilateral_disease_flag,,main__imaging_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,complication_phenotype_v1,BASE TABLE,5928,28,research_id;complication_entity;note_mention_flag;n_raw_nlp_mentions;n_valid_nlp_mentions,,main__complication_phenotype_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,tirads_llm_extracted_v2,BASE TABLE,5636,26,source_nodule_uid;research_id;us_report_number;nodule_number;deterministic_key,,main__tirads_llm_extracted_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,linkage_ambiguity_review_v1,BASE TABLE,5593,10,research_id;linkage_type;source_episode_id;target_episode_id;linkage_score,,main__linkage_ambiguity_review_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,notes_entity_summary,VIEW,5272,11,research_id;n_entities_total;n_staging;n_genetics;n_procedures,,main__notes_entity_summary_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,extracted_fna_bethesda_v1,BASE TABLE,5249,15,research_id;bethesda_final;worst_bethesda_num;best_bethesda_num;n_fna_episodes,,main__extracted_fna_bethesda_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,md_extracted_fna_bethesda_v1,BASE TABLE,5249,15,research_id;bethesda_final;worst_bethesda_num;best_bethesda_num;n_fna_episodes,,main__md_extracted_fna_bethesda_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_malignant_diagnosis_v1,BASE TABLE,4441,12,research_id;histology_base_canonical;histology_variant_canonical;histology_subtype_detail;histology_full_descriptor,,main__canonical_malignant_diagnosis_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,ln_crossval_v1,BASE TABLE,4290,19,research_id;tp_ln_examined;tp_ln_positive;tp_ln_exam_from_locs;tp_ln_pos_from_locs,,main__ln_crossval_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,ln_master_rollup_v1,BASE TABLE,4290,78,research_id;ln_total_examined;ln_total_positive;ln_ratio;ln_any_positive,,main__ln_master_rollup_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,tumor_pathology,BASE TABLE,4290,249,research_id;original_procedure_label;surgery_date;age_at_surgery;sex,,main__tumor_pathology_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,analysis_cancer_cohort_v1,BASE TABLE,4136,137,research_id;age_at_surgery;sex;race;demo_source,,main__analysis_cancer_cohort_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_staging,BASE TABLE,3807,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_staging_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,extracted_ete_subgraded_v1,BASE TABLE,3558,9,research_id;original_grade;original_source;op_note_grade;op_note_confidence,,main__extracted_ete_subgraded_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,preop_surgery_linkage_v3,BASE TABLE,3554,16,research_id;preop_episode_id;preop_type;surgery_episode_id;preop_date,,main__preop_surgery_linkage_v3_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,analysis_tirads_subset_v1,BASE TABLE,3474,131,research_id;age_at_surgery;sex;race;demo_source,,main__analysis_tirads_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,extracted_tirads_validated_v1,BASE TABLE,3439,15,research_id;tirads_best_score;tirads_worst_score;tirads_best_category;tirads_worst_category,,main__extracted_tirads_validated_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,tg_timeline_patient_summary_v1,BASE TABLE,3258,20,research_id;first_tg_date;last_tg_date;n_tg_measurements;tg_nadir,,main__tg_timeline_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,complication_patient_summary_v1,BASE TABLE,2892,18,research_id;hypocalcemia_status;hypoparathyroidism_status;rln_status;hematoma_status,,main__complication_patient_summary_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,nuclear_med,BASE TABLE,2220,17,research_id;scan_present;scandate;indication_text;radiotracer,,main__nuclear_med_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,analysis_recurrence_subset_v1,BASE TABLE,1946,133,research_id;age_at_surgery;sex;race;demo_source,,main__analysis_recurrence_subset_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,recurrence_event_clean_v1,BASE TABLE,1946,11,research_id;recurrence_type;recurrence_date;recurrence_site;recurrence_definition,,main__recurrence_event_clean_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,rai_treatment_episode_v2,BASE TABLE,1857,32,research_id;rai_episode_id;rai_mention_raw;rai_term_normalized;rai_date_native,,main__rai_treatment_episode_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,note_entities_genetics,BASE TABLE,1738,48,research_id;note_row_id;note_type;entity_type;entity_value_raw,,main__note_entities_genetics_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_variant_long,BASE TABLE,1640,22,molecular_variant_id;molecular_result_id;research_id;gene_symbol;transcript_id,,main__molecular_variant_long_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,molecular_variant_long_contract_v1,VIEW,1640,22,molecular_variant_id;molecular_result_id;research_id;gene_symbol;transcript_id,,main__molecular_variant_long_contract_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,extracted_postop_labs_expanded_v1,BASE TABLE,1395,12,research_id;lab_date;lab_type;value;unit,,main__extracted_postop_labs_expanded_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,data_dictionary_v221,BASE TABLE,1374,8,column_name;data_type;is_nullable;ordinal_position;non_null_count,,main__data_dictionary_v221_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
main,canonical_molecular_tested_v1,BASE TABLE,1286,17,research_id;molecular_tested_confirmed;platform_canonical;test_platforms_raw;test_count,,main__canonical_molecular_tested_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail,,
