# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T06:46:38.421027+00:00
schema,name,object_type,row_count,disposition,identical_in_archive_pub_v1_0,identical_in_archive_legacy,proposed_target_name,justification
main,duckdb_schemas,VIEW,6,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__duckdb_schemas_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,duckdb_tables,VIEW,526,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__duckdb_tables_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,duckdb_types,VIEW,439,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__duckdb_types_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,duckdb_views,VIEW,125,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__duckdb_views_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,episode_analysis_resolved_v1_dedup,BASE TABLE,9368,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__episode_analysis_resolved_v1_dedup_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,episode_completeness_summary_v,VIEW,4,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__episode_completeness_summary_v_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,event_date_audit_v2,BASE TABLE,61055,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__event_date_audit_v2_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_braf_recovery_v1,BASE TABLE,730,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_braf_recovery_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_complications_refined_v5,BASE TABLE,358,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_complications_refined_v5_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_ete_subgraded_v1,BASE TABLE,3558,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_ete_subgraded_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
main,extracted_fna_bethesda_v1,BASE TABLE,5249,MIGRATE_TO_ARCHIVE_LEGACY,False,False,main__extracted_fna_bethesda_v1_20260417T064706Z,unique to stray schema 'main'; preserve under archive_legacy for audit trail
