# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:14:37.399070+00:00
schema,name,object_type,row_count_at_270c,live_row_count,live_column_count,live_queryable,drift_notes,proposed_target_name_270d,proposed_target_fq
main,fna_episode_master_v2,BASE TABLE,8119,8119,17,True,,main__fna_episode_master_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__fna_episode_master_v2_20260417T071454Z"""
main,fna_history,BASE TABLE,8119,8119,10,True,,main__fna_history_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__fna_history_20260417T071454Z"""
main,fna_molecular_linkage_v3,BASE TABLE,809,809,15,True,,main__fna_molecular_linkage_v3_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__fna_molecular_linkage_v3_20260417T071454Z"""
main,gold_master_episode_events_v1,VIEW,9368,9368,46,True,,main__gold_master_episode_events_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__gold_master_episode_events_v1_20260417T071454Z"""
main,gold_master_patient_facts_v1,VIEW,10871,10871,146,True,,main__gold_master_patient_facts_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__gold_master_patient_facts_v1_20260417T071454Z"""
main,imaging_exam_master_v1,BASE TABLE,13347,13347,10,True,,main__imaging_exam_master_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_exam_master_v1_20260417T071454Z"""
main,imaging_fna_linkage_mm_v1,BASE TABLE,7305,7305,24,True,,main__imaging_fna_linkage_mm_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_fna_linkage_mm_v1_20260417T071454Z"""
main,imaging_fna_linkage_v3,BASE TABLE,9911,9911,20,True,,main__imaging_fna_linkage_v3_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_fna_linkage_v3_20260417T071454Z"""
main,imaging_nodule_long_v2,BASE TABLE,19891,19891,33,True,,main__imaging_nodule_long_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_nodule_long_v2_20260417T071454Z"""
main,imaging_nodule_master_v1,BASE TABLE,37016,37016,23,True,,main__imaging_nodule_master_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_nodule_master_v1_20260417T071454Z"""
main,imaging_patient_summary_v1,BASE TABLE,6126,6126,13,True,,main__imaging_patient_summary_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__imaging_patient_summary_v1_20260417T071454Z"""
main,lab_cross_wave_dedup_map_v1,BASE TABLE,21761,21761,9,True,,main__lab_cross_wave_dedup_map_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__lab_cross_wave_dedup_map_v1_20260417T071454Z"""
main,lesion_analysis_resolved_v1,BASE TABLE,11851,11851,28,True,,main__lesion_analysis_resolved_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__lesion_analysis_resolved_v1_20260417T071454Z"""
main,linkage_ambiguity_review_v1,BASE TABLE,5593,5593,10,True,,main__linkage_ambiguity_review_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__linkage_ambiguity_review_v1_20260417T071454Z"""
main,linkage_master_v1,BASE TABLE,11506,11506,6,True,,main__linkage_master_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__linkage_master_v1_20260417T071454Z"""
main,linkage_summary_v,VIEW,10871,10871,5,True,,main__linkage_summary_v_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__linkage_summary_v_20260417T071454Z"""
main,linkage_summary_v3,BASE TABLE,5,5,12,True,,main__linkage_summary_v3_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__linkage_summary_v3_20260417T071454Z"""
main,ln_crossval_v1,BASE TABLE,4290,4290,19,True,,main__ln_crossval_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__ln_crossval_v1_20260417T071454Z"""
main,ln_master_rollup_v1,BASE TABLE,4290,4290,78,True,,main__ln_master_rollup_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__ln_master_rollup_v1_20260417T071454Z"""
main,ln_x_marker_audit_v1,BASE TABLE,53,53,9,True,,main__ln_x_marker_audit_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__ln_x_marker_audit_v1_20260417T071454Z"""
main,longitudinal_lab_canonical_v1,BASE TABLE,77960,77960,18,True,,main__longitudinal_lab_canonical_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__longitudinal_lab_canonical_v1_20260417T071454Z"""
main,manuscript_cohort_v1,BASE TABLE,10871,10871,151,True,,main__manuscript_cohort_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__manuscript_cohort_v1_20260417T071454Z"""
main,md_extracted_fna_bethesda_v1,BASE TABLE,5249,5249,15,True,,main__md_extracted_fna_bethesda_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_extracted_fna_bethesda_v1_20260417T071454Z"""
main,md_path_synoptics_encounter_qc_v1,BASE TABLE,11688,11688,274,True,,main__md_path_synoptics_encounter_qc_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_path_synoptics_encounter_qc_v1_20260417T071454Z"""
main,md_synoptic_tumor_long_v1,BASE TABLE,11103,11103,22,True,,main__md_synoptic_tumor_long_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_synoptic_tumor_long_v1_20260417T071454Z"""
main,md_val_path_synoptic_encounter_isolation_v1,BASE TABLE,3,3,8,True,,main__md_val_path_synoptic_encounter_isolation_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__md_val_path_synoptic_encounter_isolation_v1_20260417T071454Z"""
main,molecular_assay_dictionary,BASE TABLE,4,4,11,True,,main__molecular_assay_dictionary_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_assay_dictionary_20260417T071454Z"""
main,molecular_code_crosswalk,BASE TABLE,44,44,6,True,,main__molecular_code_crosswalk_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_code_crosswalk_20260417T071454Z"""
main,molecular_ingestion_runs,BASE TABLE,1,1,7,True,,main__molecular_ingestion_runs_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_ingestion_runs_20260417T071454Z"""
main,molecular_normalization_review_v1,VIEW,116,116,27,True,,main__molecular_normalization_review_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_normalization_review_v1_20260417T071454Z"""
main,molecular_qc_summary_v,VIEW,2,2,8,True,,main__molecular_qc_summary_v_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_qc_summary_v_20260417T071454Z"""
main,molecular_results,BASE TABLE,10862,10862,27,True,,main__molecular_results_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_20260417T071454Z"""
main,molecular_results_contract_v,VIEW,10861,10861,27,True,,main__molecular_results_contract_v_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v_20260417T071454Z"""
main,molecular_results_contract_v1,VIEW,10861,10861,27,True,,main__molecular_results_contract_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_contract_v1_20260417T071454Z"""
main,molecular_results_enriched_v1,VIEW,10861,10861,28,True,,main__molecular_results_enriched_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_results_enriched_v1_20260417T071454Z"""
main,molecular_test_episode_v2,BASE TABLE,10126,10126,42,True,,main__molecular_test_episode_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_test_episode_v2_20260417T071454Z"""
main,molecular_testing,BASE TABLE,10862,10862,11,True,,main__molecular_testing_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_testing_20260417T071454Z"""
main,molecular_variant_long,BASE TABLE,1640,1640,22,True,,main__molecular_variant_long_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_variant_long_20260417T071454Z"""
main,molecular_variant_long_contract_v1,VIEW,1640,1640,22,True,,main__molecular_variant_long_contract_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__molecular_variant_long_contract_v1_20260417T071454Z"""
main,mri_imaging,BASE TABLE,715,715,41,True,,main__mri_imaging_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__mri_imaging_20260417T071454Z"""
main,note_entities_complications,BASE TABLE,9359,9359,48,True,,main__note_entities_complications_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_complications_20260417T071454Z"""
main,note_entities_genetics,BASE TABLE,1738,1738,48,True,,main__note_entities_genetics_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_genetics_20260417T071454Z"""
main,note_entities_llm_airway_invasion,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_airway_invasion_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_airway_invasion_20260417T071454Z"""
main,note_entities_llm_cervical_ln_detail,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_cervical_ln_detail_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_cervical_ln_detail_20260417T071454Z"""
main,note_entities_llm_dynamic_risk_response,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_dynamic_risk_response_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_dynamic_risk_response_20260417T071454Z"""
main,note_entities_llm_frozen_section_detail,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_frozen_section_detail_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_frozen_section_detail_20260417T071454Z"""
main,note_entities_llm_functional_outcomes,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_functional_outcomes_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_functional_outcomes_20260417T071454Z"""
main,note_entities_llm_imaging,BASE TABLE,11037,11037,21,True,,main__note_entities_llm_imaging_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_imaging_20260417T071454Z"""
main,note_entities_llm_labs,BASE TABLE,11037,11037,21,True,,main__note_entities_llm_labs_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_labs_20260417T071454Z"""
main,note_entities_llm_parathyroid_detail,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_parathyroid_detail_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_parathyroid_detail_20260417T071454Z"""
main,note_entities_llm_past_medical_hx,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_past_medical_hx_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_past_medical_hx_20260417T071454Z"""
main,note_entities_llm_past_surgical_hx,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_past_surgical_hx_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_past_surgical_hx_20260417T071454Z"""
main,note_entities_llm_pathology,BASE TABLE,11037,11037,21,True,,main__note_entities_llm_pathology_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_pathology_20260417T071454Z"""
main,note_entities_llm_patient_decision_adherence,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_patient_decision_adherence_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_patient_decision_adherence_20260417T071454Z"""
main,note_entities_llm_physical_exam,BASE TABLE,11037,11037,21,True,,main__note_entities_llm_physical_exam_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_physical_exam_20260417T071454Z"""
main,note_entities_llm_presenting_symptoms,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_presenting_symptoms_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_presenting_symptoms_20260417T071454Z"""
main,note_entities_llm_rad_treatment,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_rad_treatment_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_rad_treatment_20260417T071454Z"""
main,note_entities_llm_rai_detailed,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_rai_detailed_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_rai_detailed_20260417T071454Z"""
main,note_entities_llm_recurrence,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_recurrence_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_recurrence_20260417T071454Z"""
main,note_entities_llm_survival_followup,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_survival_followup_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_survival_followup_20260417T071454Z"""
main,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_synoptic_pathology_enrichment_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_synoptic_pathology_enrichment_20260417T071454Z"""
main,note_entities_llm_tg_kinetics,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_tg_kinetics_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_tg_kinetics_20260417T071454Z"""
main,note_entities_llm_tirads_granular,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_tirads_granular_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_tirads_granular_20260417T071454Z"""
main,note_entities_llm_us_nodule_dynamics,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_us_nodule_dynamics_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_us_nodule_dynamics_20260417T071454Z"""
main,note_entities_llm_vascular_invasion,BASE TABLE,11037,11037,23,True,,main__note_entities_llm_vascular_invasion_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_llm_vascular_invasion_20260417T071454Z"""
main,note_entities_medications,BASE TABLE,7501,7501,48,True,,main__note_entities_medications_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_medications_20260417T071454Z"""
main,note_entities_operative_detail,BASE TABLE,12151,12151,48,True,,main__note_entities_operative_detail_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_operative_detail_20260417T071454Z"""
main,note_entities_problem_list,BASE TABLE,11579,11579,48,True,,main__note_entities_problem_list_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_problem_list_20260417T071454Z"""
main,note_entities_procedures,BASE TABLE,21942,21942,48,True,,main__note_entities_procedures_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_procedures_20260417T071454Z"""
main,note_entities_staging,BASE TABLE,3807,3807,48,True,,main__note_entities_staging_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_entities_staging_20260417T071454Z"""
main,note_extraction_runs,BASE TABLE,3,3,14,True,,main__note_extraction_runs_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__note_extraction_runs_20260417T071454Z"""
main,notes_entity_summary,VIEW,5272,5272,11,True,,main__notes_entity_summary_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__notes_entity_summary_20260417T071454Z"""
main,nsqip_enrichment,BASE TABLE,1275,1275,94,True,,main__nsqip_enrichment_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__nsqip_enrichment_20260417T071454Z"""
main,nsqip_patient_summary,BASE TABLE,1261,1261,94,True,,main__nsqip_patient_summary_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__nsqip_patient_summary_20260417T071454Z"""
main,nuclear_med,BASE TABLE,2220,2220,17,True,,main__nuclear_med_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__nuclear_med_20260417T071454Z"""
main,operative_episode_detail_v2,BASE TABLE,9371,9371,39,True,,main__operative_episode_detail_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__operative_episode_detail_v2_20260417T071454Z"""
main,path_outcome_classification_v1,BASE TABLE,10871,10871,9,True,,main__path_outcome_classification_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__path_outcome_classification_v1_20260417T071454Z"""
main,path_synoptics,BASE TABLE,11688,11688,271,True,,main__path_synoptics_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__path_synoptics_20260417T071454Z"""
main,path_synoptics_encounter_qc_v1,VIEW,11688,11688,274,True,,main__path_synoptics_encounter_qc_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__path_synoptics_encounter_qc_v1_20260417T071454Z"""
main,pathology_rai_linkage_v3,BASE TABLE,23,23,15,True,,main__pathology_rai_linkage_v3_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__pathology_rai_linkage_v3_20260417T071454Z"""
main,patient_analysis_resolved_v1,BASE TABLE,10871,10871,146,True,,main__patient_analysis_resolved_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__patient_analysis_resolved_v1_20260417T071454Z"""
main,patient_completion_oed_path_linkage_v1,BASE TABLE,11506,11506,24,True,,main__patient_completion_oed_path_linkage_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__patient_completion_oed_path_linkage_v1_20260417T071454Z"""
main,patient_cross_domain_timeline_v2,BASE TABLE,61055,61055,6,True,,main__patient_cross_domain_timeline_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__patient_cross_domain_timeline_v2_20260417T071454Z"""
main,patient_refined_master_clinical_v12,BASE TABLE,12886,12886,272,True,,main__patient_refined_master_clinical_v12_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__patient_refined_master_clinical_v12_20260417T071454Z"""
main,pragma_database_list,VIEW,4,4,3,True,,main__pragma_database_list_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__pragma_database_list_20260417T071454Z"""
main,preop_surgery_linkage_v3,BASE TABLE,3554,3554,16,True,,main__preop_surgery_linkage_v3_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__preop_surgery_linkage_v3_20260417T071454Z"""
main,rai_dose_recovery_v1,BASE TABLE,4,4,15,True,,main__rai_dose_recovery_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__rai_dose_recovery_v1_20260417T071454Z"""
main,rai_treatment_episode_v2,BASE TABLE,1857,1857,32,True,,main__rai_treatment_episode_v2_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__rai_treatment_episode_v2_20260417T071454Z"""
main,raw_imaging_12_slots_v1,BASE TABLE,21079,21079,16,True,,main__raw_imaging_12_slots_v1_20260417T071454Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__raw_imaging_12_slots_v1_20260417T071454Z"""
