# generated_by,scripts/270d_stray_schema_migrate.py,generated_at,2026-04-17T07:36:53.491861+00:00
schema,name,object_type,source_row_count,source_column_count,target_name,target_fq,view_ddl_preserved,view_materialized_target,elapsed_seconds,status,error
main,rai_dose_recovery_v1,BASE TABLE,4,15,main__rai_dose_recovery_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__rai_dose_recovery_v1_20260417T073708Z""",False,,1.22,OK,
main,raw_imaging_12_slots_v1,BASE TABLE,21079,16,main__raw_imaging_12_slots_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__raw_imaging_12_slots_v1_20260417T073708Z""",False,,1.36,OK,
main,raw_us_tirads_excel_v1,BASE TABLE,19891,40,main__raw_us_tirads_excel_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__raw_us_tirads_excel_v1_20260417T073708Z""",False,,2.03,OK,
main,raw_us_tirads_scored_v1,BASE TABLE,19549,10,main__raw_us_tirads_scored_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__raw_us_tirads_scored_v1_20260417T073708Z""",False,,1.62,OK,
main,sqlite_master,VIEW,651,5,main__sqlite_master_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_master_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_master_20260417T073708Z_view_materialized""",1.29,OK,
main,sqlite_schema,VIEW,651,5,main__sqlite_schema_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_schema_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_schema_20260417T073708Z_view_materialized""",1.37,OK,
main,sqlite_temp_master,VIEW,651,5,main__sqlite_temp_master_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_temp_master_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_temp_master_20260417T073708Z_view_materialized""",1.53,OK,
main,sqlite_temp_schema,VIEW,651,5,main__sqlite_temp_schema_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_temp_schema_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__sqlite_temp_schema_20260417T073708Z_view_materialized""",1.51,OK,
main,surgery_pathology_linkage_v3,BASE TABLE,9409,16,main__surgery_pathology_linkage_v3_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__surgery_pathology_linkage_v3_20260417T073708Z""",False,,1.14,OK,
main,thyroid_scoring_py_v1,BASE TABLE,10871,51,main__thyroid_scoring_py_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__thyroid_scoring_py_v1_20260417T073708Z""",False,,2.15,OK,
main,v_canonical_us_nodule_scope_v1,VIEW,1,4,main__v_canonical_us_nodule_scope_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_canonical_us_nodule_scope_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_canonical_us_nodule_scope_v1_20260417T073708Z_view_materialized""",1.03,OK,
main,v_imaging_nodule_tirads_gap_v1,VIEW,37016,7,main__v_imaging_nodule_tirads_gap_v1_20260417T073708Z,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_imaging_nodule_tirads_gap_v1_20260417T073708Z""",True,"""Thyroid 2026 UPdated"".""archive_legacy"".""main__v_imaging_nodule_tirads_gap_v1_20260417T073708Z_view_materialized""",1.14,OK,
