# generated_by,scripts/270b_phase_a_step_2_registry.py --execute,generated_at,2026-04-17T06:28:01.072314+00:00
cpm_col,resolved_feeder,match_method,stage,category
gm_rai_date_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_rai_date_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_recurrence_date_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_recurrence_site_primary,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_recurrence_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_recurrence_type_primary,build_pipeline,stage4_build_pipeline,4,build_pipeline
gm_tg_below_threshold_ever,build_pipeline,stage4_build_pipeline,4,build_pipeline
has_isthmus_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
has_left_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
has_low_calcium_flag,complication_patient_summary_v1,stage1_exact_single_candidate,1,obvious
has_low_pth_flag,complication_patient_summary_v1,stage1_exact_single_candidate,1,obvious
has_right_tumor,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
has_suspicious_candidate,imaging_patient_summary_v1,stage1_exact_single_candidate,1,obvious
has_voice_data,build_pipeline,stage4_build_pipeline,4,build_pipeline
histologic_types_all,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
histologic_variants_all,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
last_tg_date,tg_timeline_patient_summary_v1,human_resolved_ambiguous,-1,obvious
last_tg_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
laterality,tumor_episode_master_v2,stage1_exact_full_cohort_preferred,1,obvious
lnus_abnormal_ln_any,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_first_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_first_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_has_dedicated_exam,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_has_size_measurement,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_impression_last,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_indication_first,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_last_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_last_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_n_exams,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_normal_ln_any,build_pipeline,stage4_build_pipeline,4,build_pipeline
lnus_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
microscopic_ete_t3b_corrected,build_pipeline,stage4_build_pipeline,4,build_pipeline
n_surgeries_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
n_tg_measurements_structured,build_pipeline,stage4_build_pipeline,4,build_pipeline
n_tgab_measurements,tg_timeline_patient_summary_v1,stage1_exact_single_candidate,1,obvious
n_tumors_ete_present,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
n_tumors_lvi_present,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
n_tumors_margin_involved,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
n_tumors_margin_uninvolved,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
n_tumors_with_size,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
n_us_with_ln_assessment,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_abnormality_type,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_has_pathologic_glands,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_incidental_status_refined,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_max_cellularity_pct,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_max_gland_weight_g,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_min_cellularity_pct,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_n_glands_biopsied,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_n_glands_excised,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_n_glands_identified,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_removal_intent,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_source_script,build_pipeline,stage4_build_pipeline,4,build_pipeline
para_source_workbook,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_distant_met_sites,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_distant_mets_ever,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_fdg_avid_cervical_ln_ever,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_fdg_avid_thyroid_bed_ever,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_first_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_has_data,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_impression_last,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_indication_first,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_last_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_n_exams,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_exam_type,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_extraction_method,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_first_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_first_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_indication_first,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_last_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_last_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_mentions_metastasis,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_n_exams,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_other_ned_statement,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_overall_worst,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_radiotracer_primary,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_suv_max_cervical_ln,build_pipeline,stage4_build_pipeline,4,build_pipeline
pet_suv_max_thyroid_bed,build_pipeline,stage4_build_pipeline,4,build_pipeline
post_rai_tg_count,build_pipeline,stage4_build_pipeline,4,build_pipeline
preop_imaging_size_cm,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_ete_imaging_path_concordance,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_ete_path_confirmed,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_ete_rule_applied,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_first_fna_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_first_fna_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_fna_n_sources,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_fna_source_tables,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_followup_clinical_events,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_followup_has_complications,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_followup_tg_labs,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_high_risk_marker_any,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_hypocalcemia_lab_flag,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_hypoparathyroidism_lab_flag,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_imaging_data_completeness,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_last_fna_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_last_fna_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_margin_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_margin_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_margin_with_gross_ete,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_molecular_risk_category,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_n_recurrence_sources,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_recurrence_detection_category,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_rln_worst_grade,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_size_concordance,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_structural_disease_flag,build_pipeline,stage4_build_pipeline,4,build_pipeline
prm_tg_adequate_followup,build_pipeline,stage4_build_pipeline,4,build_pipeline
provenance_confidence,build_pipeline,stage0_assembly_bookkeeping,0,build_pipeline
provenance_note,build_pipeline,stage0_assembly_bookkeeping,0,build_pipeline
race,patient_analysis_resolved_v1,human_resolved_ambiguous,-1,obvious
research_id,canonical_patient_master,stage0_identity_self_reference,0,obvious
resolved_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
rollup_built_at,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
rollup_source_table,patient_tumor_rollup_v1,stage1_exact_single_candidate,1,obvious
scoring_ajcc8_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
scoring_ata_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
scoring_macis_flag,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
second_surgery_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
second_surgery_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
sex,patient_analysis_resolved_v1,stage1_exact_full_cohort_preferred,1,obvious
source_script,build_pipeline,stage0_assembly_bookkeeping,0,build_pipeline
source_table,build_pipeline,stage0_assembly_bookkeeping,0,build_pipeline
stage_discordance_note,build_pipeline,stage4_build_pipeline,4,build_pipeline
stage_migration_7_to_8,build_pipeline,stage4_build_pipeline,4,build_pipeline
third_surgery_date,build_pipeline,stage4_build_pipeline,4,build_pipeline
third_surgery_days_from_surg,build_pipeline,stage4_build_pipeline,4,build_pipeline
tsh_suppressed_ever,patient_analysis_resolved_v1,stage1_exact_single_candidate,1,obvious
vessel_count,build_pipeline,stage4_build_pipeline,4,build_pipeline
voice_data_confidence,build_pipeline,stage4_build_pipeline,4,build_pipeline
voice_followup_completeness,build_pipeline,stage4_build_pipeline,4,build_pipeline
voice_outcome_category,build_pipeline,stage4_build_pipeline,4,build_pipeline
weight_kg_note,build_pipeline,stage4_build_pipeline,4,build_pipeline
worst_bethesda_num,extracted_fna_bethesda_v1,stage1_exact_single_candidate,1,obvious
worst_bethesda_source,build_pipeline,stage4_build_pipeline,4,build_pipeline
worst_tirads_category,imaging_patient_summary_v1,stage1_exact_single_candidate,1,obvious
