# generated_by,scripts/270b_phase_a_step_2_registry.py --dry-run,generated_at,2026-04-17T06:22:36.422106+00:00
cpm_col,reason_no_feeder,stage_attempts_json
gland_weight_isthmus_g,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gland_weight_total_reported_g,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_lab_completeness_score,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_macis_calculable_flag,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_ene_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_ene"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_ete_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_ete"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_lvi_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_lvi"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_m_stage_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_m_stage"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_pni_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_pni"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
gm_path_stage_raw,no_feeder_candidate_in_4_stages,"[{""stage"": 1, ""method"": ""exact"", ""n_raw_candidates"": 1, ""n_candidates_after_exclude"": 0, ""candidates"": [], ""excluded_by_pattern"": [""canonical_patient_master""]}, {""stage"": 2, ""method"": ""suffix_strip"", ""attempts"": [{""stripped_to"": ""gm_path_stage"", ""n_hits"": 0}], ""n_raw_candidates"": 0, ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}, {""stage"": 3, ""method"": ""domain_prefix"", ""matched_prefix"": null, ""raw_candidates"": [], ""filtered_candidates"": [], ""n_candidates_after_exclude"": 0, ""excluded_by_pattern"": []}]"
