source_location_raw,n_source_rows,canonical_position,parse_status
LEft thymus excision,1,extrathyroidal_other,parsed
left thymus excision,1,extrathyroidal_other,parsed
"LEFT THYMUS GLAND, RULE OUT PARATHYROID TISSUE, EXCISION",1,extrathyroidal_other,parsed
"LEFT THYMUS, EXCISION",1,extrathyroidal_other,parsed
"LEFT THYROID AND PARATHYROID GLANDS,",1,,unparseable_left_null
Left thyroid biopsy,1,,unparseable_left_null
left thyroid cyst,1,,unparseable_left_null
left thyroid nodule,1,,unparseable_left_null
Left upper,1,left_superior,parsed
left upper (3),1,left_superior,parsed
left upper biopsy75,1,left_superior,parsed
Left upper excision,1,left_superior,parsed
left upper neck,1,left_superior,parsed
"LEFT UPPER PARATHYROID, BIOPSY:",1,left_superior,parsed
left upper partial,1,left_superior,parsed
let inferior,1,,unparseable_left_null
level 6 compartment dissection,1,extrathyroidal_other,parsed
level 6 dissection,1,extrathyroidal_other,parsed
level 6 lymph node biopsy,1,extrathyroidal_other,parsed
level 6 lymph node dissection,1,extrathyroidal_other,parsed
Level 6 lymph nodes lymphadenectomy,1,extrathyroidal_other,parsed
level 6 lymphadenectomy,1,extrathyroidal_other,parsed
level 6 right central compartment,1,extrathyroidal_other,parsed
LEVEL 6; EXCISION:,1,extrathyroidal_other,parsed
LL,1,,unparseable_left_null
lower parathyroid (unspecified),1,extrathyroidal_other,parsed
lymph node central dissection,1,,unparseable_left_null
lymph node right neck dissection,1,,unparseable_left_null
"Lymph node, left, central compartment, dissection",1,extrathyroidal_other,parsed
LYMPH NODES FROM RIGHT AND CENTRAL COMPARTMENT,1,extrathyroidal_other,parsed
lymph nodes level 6 excision,1,extrathyroidal_other,parsed
"LYMPH NODES, LEFT CENTRAL COMPARTMENT, RESECTION:",1,extrathyroidal_other,parsed
"lymph nodes, Left central neck, neck dissection",1,,unparseable_left_null
"Lymph nodes, level VI pretracheal, dissection:",1,extrathyroidal_other,parsed
"LYMPH NODES, LEVEL VI, EXCISION:",1,extrathyroidal_other,parsed
"LYMPH NODES, PRETRACHEAL, EXCISIONAL BIOPSY",1,,unparseable_left_null
"LYMPH NODES, RIGHT CENTRAL COMPARTMENT, EXCISION",1,extrathyroidal_other,parsed
"lymph nodes, Right central compartment, excision",1,extrathyroidal_other,parsed
"LYMPH NODES, RIGHT CENTRAL COMPARTMENT, EXCISION:",1,extrathyroidal_other,parsed
"lymph nodes, Right neck contents, neck dissection",1,,unparseable_left_null
"Lymph nodes, right neck, dissection:",1,,unparseable_left_null
"LYMPH NODES, RIGHT NECK, LEVEL VI, EXCISION,",1,extrathyroidal_other,parsed
mediastinal soft tissue tumor,1,extrathyroidal_other,parsed
"Neck, left level IV lymph node",1,,unparseable_left_null
"neck, left, excision:",1,,unparseable_left_null
"NODULE, AREA OF RIGHT RECURRENT LARYNGEAL NERVE, EXCISIONAL BIOPSY,",1,,unparseable_left_null
parathyroid (unspecified-3),1,extrathyroidal_other,parsed
"PARATHYROID ADENOMA, (0.19 GRAMS), EXACT SITE NOT SPECIFIED:",1,,unparseable_left_null
parathyroid biopsy 2,1,,unparseable_left_null
parathyroid biopsy-1,1,,unparseable_left_null
parathyroid excision,1,,unparseable_left_null
parathyroid excision (unspecified),1,extrathyroidal_other,parsed
parathyroid gland,1,,unparseable_left_null
parathyroid gland biopsy (unspecified),1,extrathyroidal_other,parsed
parathyroid gland excision,1,,unparseable_left_null
"PARATHYROID GLAND, ""LEFT PARATRACHEAL LYMPH NODES"", EXCISION:",1,extrathyroidal_other,parsed
parathyroid implant biopsy,1,,unparseable_left_null
parathyroid implant biopsy (2),1,,unparseable_left_null
parathyroid questionable excision (unspecified),1,extrathyroidal_other,parsed
parathyroid tissue anteterior mediastinal mass,1,extrathyroidal_other,parsed
parathyroidectomy (unspecified),1,extrathyroidal_other,parsed
paratracheal lymph node excision,1,extrathyroidal_other,parsed
paratracheal node excision,1,extrathyroidal_other,parsed
paratracheal nodule,1,extrathyroidal_other,parsed
paratracheal soft tissue,1,extrathyroidal_other,parsed
parthyroid gland (unspecified),1,extrathyroidal_other,parsed
portion of right thymus biopsy,1,extrathyroidal_other,parsed
Portion of Right thyroid,1,,unparseable_left_null
possible left inferior,1,left_inferior,parsed
possible parathhyroid,1,,unparseable_left_null
possible parathyroid biopsy,1,,unparseable_left_null
possible parathyroid gland,1,,unparseable_left_null
possible parathyroid gland (2),1,,unparseable_left_null
possible parathyroid tissue resection (1),1,,unparseable_left_null
possible parathyroid tissue resection (2),1,,unparseable_left_null
pretracheal,1,,unparseable_left_null
pretracheal mass,1,,unparseable_left_null
pretracheal soft tissue,1,,unparseable_left_null
pretracheal ymph node excision,1,,unparseable_left_null
pyramidal lobectomy,1,extrathyroidal_other,parsed
questionable left thyroid cancer,1,,unparseable_left_null
questionable parathyroid gland,1,,unparseable_left_null
remainder left inferior,1,left_inferior,parsed
remainder of left upper excision,1,left_superior,parsed
Remainder of right lobectomy,1,extrathyroidal_other,parsed
retroesophageral parathyroid,1,,unparseable_left_null
retrophaaryngeal mass,1,,unparseable_left_null
right,1,,unparseable_left_null
right (unspecified) with right lobectomy specimen,1,extrathyroidal_other,parsed
"right (unspecified, #2)",1,extrathyroidal_other,parsed
"right (unspecified, 2)",1,extrathyroidal_other,parsed
right and central lymphadenectomy,1,,unparseable_left_null
right anterior,1,,unparseable_left_null
right central compartment contents,1,extrathyroidal_other,parsed
"RIGHT CENTRAL COMPARTMENT CONTENTS, DISSECTION",1,extrathyroidal_other,parsed
"Right Central Compartment Contents, excision",1,extrathyroidal_other,parsed
"RIGHT CENTRAL COMPARTMENT CONTENTS, RESECTION:",1,extrathyroidal_other,parsed
right central compartment excision,1,extrathyroidal_other,parsed
right central comprartment,1,,unparseable_left_null
right central lymph nodes excsiion,1,,unparseable_left_null
right central neck,1,,unparseable_left_null
right central neck level 6,1,extrathyroidal_other,parsed
right central neck lymph nodes,1,,unparseable_left_null
right central neck mass,1,,unparseable_left_null
right central neck tissue,1,,unparseable_left_null
right cervical lobectomy,1,extrathyroidal_other,parsed
right ectopic carotid sheath parathyroid,1,extrathyroidal_other,parsed
right Ectopic parathyroid gland,1,extrathyroidal_other,parsed
right inerior,1,,unparseable_left_null
right infeiror (#2),1,right_inferior,parsed
right inferior (2),1,right_inferior,parsed
right inferior intrathyroidal,1,intrathyroidal_right,parsed
right inferior nodule possible parathyroid,1,right_inferior,parsed
right inferior remainder,1,right_inferior,parsed
right inferior remains,1,right_inferior,parsed
Right intrathyroidal nodule/ parathyroid,1,intrathyroidal_right,parsed
right level 2 lymph node dissection,1,,unparseable_left_null
right level 3 neck dissection,1,,unparseable_left_null
right level 6 dissection,1,extrathyroidal_other,parsed
Right level 6 lymph node resection,1,extrathyroidal_other,parsed
Right LEvel 6 lymph nodes excision,1,extrathyroidal_other,parsed
Right lobe,1,,unparseable_left_null
right Lobe biopsy,1,,unparseable_left_null
right lobe excision,1,,unparseable_left_null
right lobe incisional biopsy,1,,unparseable_left_null
right lobe intrathyroidal,1,intrathyroidal_right,parsed
right lobe nodule excision,1,,unparseable_left_null
Right Lobectomy,1,extrathyroidal_other,parsed
right lobectomy (in the right postero-superior aspect),1,right_superior,parsed
right lobectomy and central neck dissection,1,extrathyroidal_other,parsed
right lobectomy and parathyroidecotmy,1,extrathyroidal_other,parsed
right lobectomy and upper mediastinal mass,1,right_superior,parsed
Right lobectomy substernal goiter,1,extrathyroidal_other,parsed
right lobectomy with central neck contents,1,extrathyroidal_other,parsed
right lobectomy with substernal extension:,1,extrathyroidal_other,parsed
RIGHT LOWER,1,right_inferior,parsed
right lower neck tissue,1,right_inferior,parsed
"RIGHT LOWER PARATHYROID FROM THYMUS, EXCISION,",1,right_inferior,parsed
"RIGHT LOWER PARATHYROID, EXCISION",1,right_inferior,parsed
right lower parathyroidectomy,1,right_inferior,parsed
right lower remainder,1,right_inferior,parsed
right lower thyroid soft tissue,1,right_inferior,parsed
right mediastinal,1,extrathyroidal_other,parsed
right neck dissection,1,,unparseable_left_null
right neck lymph nodes excision (1),1,,unparseable_left_null
right neck lymph nodes excision (2),1,,unparseable_left_null
right neck substernal resection,1,,unparseable_left_null
right neck tissue excision,1,,unparseable_left_null
right paraesophageal soft tissue,1,,unparseable_left_null
right paraglandular nodule biopsy,1,,unparseable_left_null
right parathryoid (unspecified),1,extrathyroidal_other,parsed
right paratracheal contents,1,extrathyroidal_other,parsed
right paratracheal lesion,1,extrathyroidal_other,parsed
right paratracheal lymph node dissection,1,extrathyroidal_other,parsed
right paratracheal lymph node excision speciemn,1,extrathyroidal_other,parsed
right paratracheal mass biopsy,1,extrathyroidal_other,parsed
"Right paratracheal mass, excision",1,extrathyroidal_other,parsed
right paratracheal nodes dissection,1,extrathyroidal_other,parsed
right paratracheal nodule,1,extrathyroidal_other,parsed
right paratracheal resection,1,extrathyroidal_other,parsed
Right paratracheal soft tissue,1,extrathyroidal_other,parsed
"Right paratracheal soft tissue #2, excision:",1,extrathyroidal_other,parsed
"right paratracheal soft tissue #3, excision",1,extrathyroidal_other,parsed
"Right paratracheal soft tissue, excision:",1,extrathyroidal_other,parsed
right paratrahceal mass #3,1,,unparseable_left_null
Right remainder parathyroid,1,,unparseable_left_null
RIGHT RETROESOPHAGEAL TISSUE,1,,unparseable_left_null
right sided extra,1,,unparseable_left_null
right sided nodule resection,1,,unparseable_left_null
right substernal thyroidectomy,1,extrathyroidal_other,parsed
right subtotal,1,,unparseable_left_null
right supeior,1,right_superior,parsed
right supeiror,1,right_superior,parsed
right superior nodule possible thyroid,1,right_superior,parsed
right superior paratracheal mass excision,1,right_superior,parsed
"right superior paratracheal soft tissue, excision",1,right_superior,parsed
right superior pole,1,right_superior,parsed
right thymus excision,1,extrathyroidal_other,parsed
"RIGHT THYMUS, RESECTION",1,extrathyroidal_other,parsed
right thyroid and isthmus,1,,unparseable_left_null
right thyroid bed nodule,1,,unparseable_left_null
right thyroid cyst,1,,unparseable_left_null
right thyroid nodule excsiion,1,,unparseable_left_null
right thyroid nodule versus parathyroid tissue,1,,unparseable_left_null
"RIGHT THYROID NODULE, BIOPSY",1,,unparseable_left_null
"Right thyroid, mass (excision):",1,,unparseable_left_null
right thyroidectomy,1,extrathyroidal_other,parsed
right upper biopsy (2),1,right_superior,parsed
right upper neck soft tissue,1,right_superior,parsed
"RIGHT UPPER PARATHYROID, EXCISION",1,right_superior,parsed
right upper remainder,1,right_superior,parsed
right upper remnant,1,right_superior,parsed
right upper remnant (2),1,right_superior,parsed
"RIGHT UPPER THYROID, BIOPSY:",1,right_superior,parsed
rule out lymph node,1,,unparseable_left_null
rule out parathyroid (unspecified),1,extrathyroidal_other,parsed
"Rule out parathyroid, biopsy",1,,unparseable_left_null
rule out thyroid,1,,unparseable_left_null
sentinel lymph node compartment,1,,unparseable_left_null
SENTINEL MASS LYMPH NODE,1,,unparseable_left_null
"Soft tissue and lymph nodes, Completion Left Thyroidectomy & level 6, excision",1,extrathyroidal_other,parsed
soft tissue neck biopsy,1,,unparseable_left_null
soft tissue parathyroid rule out,1,,unparseable_left_null
soft tissue possible parathyroid (unspecified),1,extrathyroidal_other,parsed
"SOFT TISSUE, ANTERIOR MEDIASTINUM, RESECTION",1,extrathyroidal_other,parsed
"Soft tissue, central compartment (dissection):",1,extrathyroidal_other,parsed
"soft tissue, central neck, excision",1,,unparseable_left_null
"Soft tissue, evaluate for parathyroid",1,,unparseable_left_null
"SOFT TISSUE, LEFT INFERIOR PARATRACHEAL, EXCISION",1,left_inferior,parsed
"SOFT TISSUE, LEFT INFERIOR PARATRACHEAL, EXCISION (2)",1,left_inferior,parsed
"SOFT TISSUE, LEFT PARATRACHEAL MEDIASTINUM; EXCISION",1,extrathyroidal_other,parsed
"soft tissue, Left paratracheal, excision",1,extrathyroidal_other,parsed
"soft tissue, left paratracheal, excision",1,extrathyroidal_other,parsed
"soft tissue, Left pretracheal, central neck, dissection",1,,unparseable_left_null
"soft tissue, left tracheoesophageal tissue",1,,unparseable_left_null
"SOFT TISSUE, LEVEL VI LEFT NECK, LYMPH NODE DISSECTION:",1,extrathyroidal_other,parsed
"SOFT TISSUE, RIGHT PARATRACHEAL, EXCISION",1,extrathyroidal_other,parsed
"Soft tissue, right, central compartment, dissection",1,extrathyroidal_other,parsed
"Soft tissue, rule out parathyroid",1,,unparseable_left_null
"SPECIMEN LABELED ""THYROID VS PARATHYROID:""",1,,unparseable_left_null
substernal goiter,1,,unparseable_left_null
substernal thyroid nodule,1,,unparseable_left_null
superior parathyroid,1,,unparseable_left_null
Thymectomy,1,,unparseable_left_null
Thymic nodule,1,extrathyroidal_other,parsed
thymus excision,1,extrathyroidal_other,parsed
thymus resection,1,extrathyroidal_other,parsed
thymus tissue,1,extrathyroidal_other,parsed
"THYMUS, LEFT, PARTIAL EXCISION",1,extrathyroidal_other,parsed
"THYMUS, RIGHT LOBE, EXCISION",1,extrathyroidal_other,parsed
thyroid,1,,unparseable_left_null
thyroid and anterior mediastinal resection,1,extrathyroidal_other,parsed
thyroid fossa excsion,1,,unparseable_left_null
thyroid gland intrathyroidal,1,,unparseable_left_null
thyroid gland lower excision,1,,unparseable_left_null
"THYROID GLAND, RIGHT UPPER LOBE, EXCISION",1,right_superior,parsed
thyroid intrathyroidal,1,,unparseable_left_null
thyroid remnant excision,1,,unparseable_left_null
thyroid tissue biopsy,1,,unparseable_left_null
"THYROID, RIGHT UPPER LOBE, EXCISION",1,right_superior,parsed
thyroidectomy (2),1,extrathyroidal_other,parsed
thyroidectomy (unspecified),1,extrathyroidal_other,parsed
thyroidectomy and right neck contents,1,extrathyroidal_other,parsed
total thhyroidectomy and central compartment,1,extrathyroidal_other,parsed
Total thyroidecotmy,1,,unparseable_left_null
total thyroidecromy with central node,1,,unparseable_left_null
Total Thyroidectomy,1,extrathyroidal_other,parsed
Total thyroidectomy (2),1,extrathyroidal_other,parsed
total thyroidectomy and attached parathyroid,1,extrathyroidal_other,parsed
Total thyroidectomy and central compartment,1,extrathyroidal_other,parsed
total thyroidectomy and central compartment dissection,1,extrathyroidal_other,parsed
TOTAL THYROIDECTOMY AND CENTRAL COMPARTMENT NECK DISSECTION:,1,extrathyroidal_other,parsed
Total thyroidectomy and central lymph node dissection,1,extrathyroidal_other,parsed
Total thyroidectomy AND central neck compartment dissection,1,extrathyroidal_other,parsed
Total thyroidectomy and central neck dissection,1,extrathyroidal_other,parsed
total thyroidectomy and neck dissection,1,extrathyroidal_other,parsed
total thyroidectomy and parathyroidectomy,1,extrathyroidal_other,parsed
