# generated_by,scripts/270c_phase_b_planning.py,generated_at,2026-04-17T07:26:38.644897+00:00
schema,table_name,object_type,row_count,disposition,justification,feeder_mapping,keep_list_entry,archive_target,phase_b_execute_order
main,lab_cross_wave_dedup_map_v1,BASE TABLE,21761,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,lesion_analysis_resolved_v1,BASE TABLE,11851,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,manuscript_cohort_v1,BASE TABLE,10871,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_assay_dictionary,BASE TABLE,4,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_code_crosswalk,BASE TABLE,44,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_ingestion_runs,BASE TABLE,1,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_results,BASE TABLE,10861,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_test_episode_v2,BASE TABLE,10650,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_testing,BASE TABLE,10861,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,molecular_variant_long,BASE TABLE,1640,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,nsqip_patient_summary,BASE TABLE,1261,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,recurrence_event_clean_v1,BASE TABLE,1946,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,ret_note_entity_adjudication_v226,BASE TABLE,177,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,serial_imaging_us,BASE TABLE,4162,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,specimen_genomic_assay_v1,BASE TABLE,10370,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,specimen_source_xref_v1,BASE TABLE,11273,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,specimen_tumor_focus_v1,BASE TABLE,11103,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,survival_cohort_enriched,BASE TABLE,61134,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,thyroid_sizes,BASE TABLE,11675,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,tirads_llm_validation_v2,BASE TABLE,1225,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,us_nodules_tirads,BASE TABLE,10862,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,us_nodules_tirads_vs_inm_v1_discordance_v1,BASE TABLE,1722,KEEP_PENDING_V1_1_DECISION,detail_table_registry_v1 row with EMPTY/NULL feeds_master_columns_normalized — deferred to v1_1 per v1_1_tech_debt_v1.debt_id='registry_null_residual_v1_1',,,,
main,_molecular_patient_rollup_v227,BASE TABLE,10025,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (46 normalized cols, total_patients=10026)",alk_positive_v7;any_fusion_positive;eif1ax_positive;high_risk_molecular_v7;mol_first_test_date;mol_first_test_days_from_surg;mol_genes_list;mol_has_dicer1;mol_has_fusion;mol_has_pik3ca;mol_has_snv;mol...,,,
main,canonical_benign_diagnosis_v1,BASE TABLE,6818,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=6734)",syn_follicular_adenoma;syn_graves;syn_hashimoto;syn_multinodular_goiter,,,
main,canonical_diagnosis_unified_v1,BASE TABLE,11028,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=10871)",diagnosis_full;diagnosis_primary;diagnosis_variant;is_malignant,,,
main,canonical_malignant_diagnosis_v1,BASE TABLE,4441,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (3 normalized cols, total_patients=4137)",aggressive_variant_flag;histology_final;histology_source,,,
main,canonical_molecular_tested_v1,BASE TABLE,1286,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=1286)",mol_has_afirma;mol_has_thyroseq;mol_platform;molecular_tested_confirmed,,,
main,canonical_recurrence_v1,BASE TABLE,10871,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (42 normalized cols, total_patients=10871)",any_recurrence_flag;biochemical_concern_first_date;biochemical_concern_flag;biochemical_recurrence_flag;biochemical_tg_at_recurrence;biochemical_tg_nadir_after_surgery;first_recurrence_date;first_recu...,,,
main,canonical_survival_followup_v1,BASE TABLE,11504,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (29 normalized cols, total_patients=11504)",death_date;death_days_from_surg;death_integration_script;death_occurred;death_source;followup_all_sources;followup_category;followup_completeness_score;followup_days;followup_n_contact_sources;followu...,,,
main,canonical_us_nodule_characteristics_v1,BASE TABLE,37016,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (7 normalized cols, total_patients=6126)",max_tirads_ever;n_us_nodules_total;tirads_best_category_v12;tirads_best_combined;tirads_best_score_v12;tirads_worst_category_v12;tirads_worst_combined,,,
main,clinical_note_ln_extracted_v1,BASE TABLE,7751,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (38 normalized cols, total_patients=3588)",cnln_any_positive_any_modality;cnln_clin_any_positive;cnln_clin_avg_confidence;cnln_clin_n_entities;cnln_earliest_date;cnln_ene_any_modality;cnln_img_any_suspicious;cnln_img_avg_confidence;cnln_img_fi...,,,
main,complication_patient_summary_v1,BASE TABLE,2938,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (7 normalized cols, total_patients=2938)",any_analysis_eligible_complication;any_confirmed_complication;any_confirmed_complication_flag;earliest_complication_days;has_low_calcium_flag;has_low_pth_flag;n_confirmed_complications,,,
main,complication_phenotype_v1,BASE TABLE,5978,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (104 normalized cols, total_patients=2938)",chyle_leak_status;comp_chyle_leak_confirmed;comp_chyle_leak_days_postop;comp_chyle_leak_days_postop_v2;comp_chyle_leak_evidence_tier;comp_chyle_leak_permanent;comp_chyle_leak_suspected;comp_chyle_leak...,,,
main,ct_imaging,BASE TABLE,7701,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (29 normalized cols, total_patients=3086)",ct_airway_comment_last;ct_airway_compromise_any;ct_contrast_first;ct_exam_type_first;ct_first_date;ct_first_days_from_surg;ct_goiter_present_any;ct_indication_first;ct_indication_last;ct_largest_ln_sh...,,,
main,extracted_braf_recovery_v1,BASE TABLE,730,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (11 normalized cols, total_patients=376)",braf_detection_method;braf_detection_method_v11;braf_positive;braf_positive_final;braf_positive_v7;braf_recovered_status_v11;braf_recovered_variant_v11;braf_source;braf_status_v7;braf_variant;braf_var...,,,
main,extracted_ete_subgraded_v1,BASE TABLE,3558,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (3 normalized cols, total_patients=3558)",ete_refined_grade;ete_subgrade_method;ete_subgrade_note,,,
main,extracted_fna_bethesda_v1,BASE TABLE,5249,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5249)",bethesda_category;fna_bethesda_confidence;fna_bethesda_source;worst_bethesda_num,,,
main,extracted_postop_labs_expanded_v1,BASE TABLE,1395,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (19 normalized cols, total_patients=1051)",calcium_nadir;calcium_nadir_30d;calcium_nadir_days_postop;calcium_supplement_required;postop_calcium_min_days_postop;postop_calcium_min_value;postop_calcium_n_measurements;postop_calcium_source_reliab...,,,
main,extracted_ras_patient_summary_v1,BASE TABLE,321,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (17 normalized cols, total_patients=321)",hras_positive_v11;kras_positive_v11;nras_positive_v11;ras_allele_freq_v11;ras_positive;ras_positive_final;ras_positive_v11;ras_positive_v7;ras_primary_subtype_v11;ras_protein_change_v11;ras_resolution...,,,
main,fna_cytology,BASE TABLE,8063,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (8 normalized cols, total_patients=5240)",bethesda_derivation_methods;bethesda_final;bethesda_max_preop_2010;bethesda_max_preop_2015;bethesda_max_preop_2023;n_bethesda_calculated_fnas;n_bethesda_number_only_fnas;n_fna_cytology_records,,,
main,fna_episode_master_v2,BASE TABLE,8119,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (14 normalized cols, total_patients=5266)",bethesda_2010;bethesda_2015;bethesda_2023;bethesda_confidence;bethesda_final_name;bethesda_index_nodule;bethesda_index_nodule_linkage_source;bethesda_num;bethesda_source;cross_fna_concordance;fna_beth...,,,
main,imaging_exam_master_v1,BASE TABLE,13347,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (1 normalized cols, total_patients=6126)",us_n_reports,,,
main,imaging_nodule_master_v1,BASE TABLE,37016,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (9 normalized cols, total_patients=6126)",imaging_ln_abnormal;imaging_n_nodule_records;imaging_nodule_size_cm_v11;imaging_suspicious_recurrence_flag;imaging_suspicious_unconfirmed;imaging_tirads_best;imaging_tirads_category;imaging_tirads_sou...,,,
main,imaging_patient_summary_v1,BASE TABLE,6126,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (6 normalized cols, total_patients=6126)",bilateral_disease_flag;dominant_nodule_size_cm;has_suspicious_candidate;longitudinal_assessment_available;n_us_exams;worst_tirads_category,,,
main,ln_crossval_v1,BASE TABLE,4290,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=3986)",ln_rollup_crossval_status;ln_rollup_internal_consistency,,,
main,ln_master_rollup_v1,BASE TABLE,4273,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (94 normalized cols, total_patients=3986)",ene_ct;ene_deposit_cm;ene_grade_v9;ene_levels_v9;ene_ln_concordance_status;ene_n_sources;ene_op_intraop;ene_path_ct_concordance;ene_path_levels;ene_path_nlp;ene_path_synoptic;ene_pet;ene_positive;ene_...,,,
main,longitudinal_lab_canonical_v1,BASE TABLE,75247,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (53 normalized cols, total_patients=3556)",lab_calcium_first_date;lab_calcium_first_days_from_surg;lab_calcium_last_date;lab_calcium_last_days_from_surg;lab_calcium_max;lab_calcium_min;lab_calcium_most_recent;lab_calcium_most_recent_date;lab_c...,,,
main,mri_imaging,BASE TABLE,715,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (25 normalized cols, total_patients=462)",mri_contrast_used_any;mri_exam_type_first;mri_first_date;mri_first_days_from_surg;mri_has_data;mri_has_dimensions;mri_has_dominant_nodule;mri_impression_first;mri_impression_last;mri_indication_first;...,,,
main,note_entities_complications,BASE TABLE,9359,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=2840)",nlp_ne_complications_has_data;nlp_ne_complications_n_rows,,,
main,note_entities_genetics,BASE TABLE,1738,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=605)",nlp_ne_genetics_has_data;nlp_ne_genetics_n_rows,,,
main,note_entities_llm_airway_invasion,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_airway_has_data;nlp_airway_key_finding;nlp_airway_n_entities;nlp_airway_n_notes,,,
main,note_entities_llm_cervical_ln_detail,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (3 normalized cols, total_patients=5641)",nlp_ln_levels_mentioned;nlp_ln_n_entities;nlp_ln_n_notes,,,
main,note_entities_llm_dynamic_risk_response,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_dynrisk_has_data;nlp_dynrisk_key_finding;nlp_dynrisk_n_entities;nlp_dynrisk_n_notes,,,
main,note_entities_llm_frozen_section_detail,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_frozensec_has_data;nlp_frozensec_key_finding;nlp_frozensec_n_entities;nlp_frozensec_n_notes,,,
main,note_entities_llm_functional_outcomes,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_funcoutcome_has_data;nlp_funcoutcome_key_finding;nlp_funcoutcome_n_entities;nlp_funcoutcome_n_notes,,,
main,note_entities_llm_imaging,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_imaging_has_data;nlp_imaging_key_finding;nlp_imaging_n_entities;nlp_imaging_n_notes,,,
main,note_entities_llm_labs,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_labs_has_data;nlp_labs_key_finding;nlp_labs_n_entities;nlp_labs_n_notes,,,
main,note_entities_llm_parathyroid_detail,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_parathyroid_has_data;nlp_parathyroid_key_finding;nlp_parathyroid_n_entities;nlp_parathyroid_n_notes,,,
main,note_entities_llm_past_medical_hx,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (68 normalized cols, total_patients=5641)",nlp_pmhx_has_data;nlp_pmhx_key_finding;nlp_pmhx_n_entities;nlp_pmhx_n_notes;pmhx_llm_extraction_method;pmhx_llm_mean_confidence;pmhx_llm_min_confidence;pmhx_llm_n_source_notes;pmhx_llm_note_types;pmhx...,,,
main,note_entities_llm_past_surgical_hx,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (24 normalized cols, total_patients=5641)",nlp_pshx_has_data;nlp_pshx_key_finding;nlp_pshx_n_entities;nlp_pshx_n_notes;pshx_llm_extraction_method;pshx_llm_mean_confidence;pshx_llm_min_confidence;pshx_llm_n_source_notes;pshx_llm_note_types;pshx...,,,
main,note_entities_llm_pathology,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (10 normalized cols, total_patients=5641)",nlp_path_ete_mentioned;nlp_path_has_data;nlp_path_histology_mentioned;nlp_path_ln_positive_mentioned;nlp_path_margin_mentioned;nlp_path_multifocal_concordance_v2;nlp_path_multifocal_mentioned;nlp_path...,,,
main,note_entities_llm_patient_decision_adherence,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_ptdecision_has_data;nlp_ptdecision_key_finding;nlp_ptdecision_n_entities;nlp_ptdecision_n_notes,,,
main,note_entities_llm_physical_exam,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_physexam_has_data;nlp_physexam_key_finding;nlp_physexam_n_entities;nlp_physexam_n_notes,,,
main,note_entities_llm_presenting_symptoms,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (12 normalized cols, total_patients=5641)",nlp_symptoms_has_data;nlp_symptoms_key_finding;nlp_symptoms_n_entities;nlp_symptoms_n_notes;sx_llm_extraction_method;sx_llm_mean_confidence;sx_llm_n_source_notes;sx_nlp_any_symptom_data;sx_nlp_dysphag...,,,
main,note_entities_llm_rad_treatment,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (14 normalized cols, total_patients=5641)",nlp_radtx_has_data;nlp_radtx_key_finding;nlp_radtx_n_entities;nlp_radtx_n_notes;radtx_llm_extraction_method;radtx_llm_mean_confidence;radtx_llm_n_source_notes;radtx_nlp_external_beam_radiation;radtx_n...,,,
main,note_entities_llm_rai_detailed,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_raidetail_has_data;nlp_raidetail_key_finding;nlp_raidetail_n_entities;nlp_raidetail_n_notes,,,
main,note_entities_llm_recurrence,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (8 normalized cols, total_patients=5641)",nlp_rec_any_mentioned;nlp_rec_confidence_tier;nlp_rec_disease_free_mentioned;nlp_rec_earliest_date;nlp_rec_earliest_days_from_surg;nlp_rec_has_data;nlp_rec_n_entities;nlp_rec_type_worst,,,
main,note_entities_llm_survival_followup,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_survfu_has_data;nlp_survfu_key_finding;nlp_survfu_n_entities;nlp_survfu_n_notes,,,
main,note_entities_llm_synoptic_pathology_enrichment,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_synoptic_has_data;nlp_synoptic_key_finding;nlp_synoptic_n_entities;nlp_synoptic_n_notes,,,
main,note_entities_llm_tg_kinetics,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_tg_has_data;nlp_tg_n_entities;nlp_tg_rising_mentioned;nlp_tg_undetectable_mentioned,,,
main,note_entities_llm_tirads_granular,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (5 normalized cols, total_patients=5641)",nlp_tirads_has_component_detail;nlp_tirads_has_data;nlp_tirads_max_category;nlp_tirads_n_entities;nlp_tirads_n_notes,,,
main,note_entities_llm_us_nodule_dynamics,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_usnodule_has_data;nlp_usnodule_key_finding;nlp_usnodule_n_entities;nlp_usnodule_n_notes,,,
main,note_entities_llm_vascular_invasion,BASE TABLE,11037,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (4 normalized cols, total_patients=5641)",nlp_vasc_confidence_tier;nlp_vasc_has_data;nlp_vasc_n_entities;nlp_vasc_positive_mentioned,,,
main,note_entities_medications,BASE TABLE,7501,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (17 normalized cols, total_patients=2070)",med_nlp_calcitriol;med_nlp_calcitriol_date;med_nlp_calcitriol_days_from_surg;med_nlp_calcitriol_n_mentions;med_nlp_calcium_supplement;med_nlp_calcium_supplement_date;med_nlp_calcium_supplement_days_fr...,,,
main,note_entities_operative_detail,BASE TABLE,12151,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=4032)",nlp_ne_operative_has_data;nlp_ne_operative_n_rows,,,
main,note_entities_problem_list,BASE TABLE,11579,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=4037)",nlp_ne_problemlist_has_data;nlp_ne_problemlist_n_rows,,,
main,note_entities_procedures,BASE TABLE,21942,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (17 normalized cols, total_patients=4723)",nlp_ne_procedures_has_data;nlp_ne_procedures_n_rows;proc_nlp_extraction_method;proc_nlp_laryngoscopy;proc_nlp_laryngoscopy_date;proc_nlp_laryngoscopy_days_from_surg;proc_nlp_laryngoscopy_n_mentions;pr...,,,
main,note_entities_staging,BASE TABLE,3807,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (2 normalized cols, total_patients=1639)",nlp_ne_staging_has_data;nlp_ne_staging_n_rows,,,
main,nsqip_enrichment,BASE TABLE,1275,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (102 normalized cols, total_patients=1261)",nsqip_admission_date;nsqip_age_at_surgery;nsqip_albumin;nsqip_alk_phos;nsqip_asa_class;nsqip_ast;nsqip_bleeding_disorder;nsqip_bmi;nsqip_bun;nsqip_calcium_checked;nsqip_calcium_vitd_category;nsqip_cal...,,,
main,nuclear_med,BASE TABLE,2220,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (26 normalized cols, total_patients=1148)",nucmed_cumulative_therapeutic_dose;nucmed_dose_max_parsed;nucmed_findings_last;nucmed_first_scan_with_labs;nucmed_has_rai_scan;nucmed_impression_last;nucmed_indication_first;nucmed_indication_last;nuc...,,,
main,operative_episode_detail_v2,BASE TABLE,9371,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (110 normalized cols, total_patients=9368)",n_surgeries;op_drain_placed_any;op_esophageal_inv_any;op_findings_summary;op_intraop_gross_ete_any;op_local_invasion_any;op_n_surgeries_with_findings;op_nlp_berry_ligament_date;op_nlp_berry_ligament_d...,,,
main,path_outcome_classification_v1,BASE TABLE,10871,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (3 normalized cols, total_patients=10871)",fna_path_concordance_category;fna_path_concordant;fna_path_outcome,,,
main,path_synoptics,BASE TABLE,11688,KEEP_REGISTRY_FEEDER,"detail_table_registry_v1 active feeder (53 normalized cols, total_patients=10871)",path_ene_raw;path_ete_raw;path_gross_ete_flag;path_histology_raw;path_histology_variant_raw;path_laterality;path_ln_examined_raw;path_ln_positive_raw;path_lvi_raw;path_m_stage_raw;path_margin_raw;path...,,,
