column_name,candidate_origin_scripts,needs_manual_assignment
lab_pth_most_recent,217_lab_recovery_ln_integration.py; 235_parathyroid_calcium_fix.py,True
lab_pth_most_recent_date,217_lab_recovery_ln_integration.py,True
lab_pth_most_recent_days_from_surg,,True
lab_pth_n_censored,217_lab_recovery_ln_integration.py,True
lab_pth_n_parsed_from_raw,217_lab_recovery_ln_integration.py,True
lab_pth_unit,217_lab_recovery_ln_integration.py,True
lab_tsh_first_date,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py; 221_final_database_consolidation.py,True
lab_tsh_first_days_from_surg,,True
lab_tsh_last_date,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py,True
lab_tsh_last_days_from_surg,,True
lab_tsh_max,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py,True
lab_tsh_min,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py,True
lab_tsh_most_recent,217_lab_recovery_ln_integration.py,True
lab_tsh_most_recent_date,217_lab_recovery_ln_integration.py,True
lab_tsh_most_recent_days_from_surg,,True
lab_tsh_n_censored,217_lab_recovery_ln_integration.py,True
lab_tsh_n_parsed_from_raw,217_lab_recovery_ln_integration.py,True
lab_tsh_unit,217_lab_recovery_ln_integration.py,True
lab_vitd_first_date,217_lab_recovery_ln_integration.py,True
lab_vitd_first_days_from_surg,,True
lab_vitd_last_date,217_lab_recovery_ln_integration.py,True
lab_vitd_last_days_from_surg,,True
lab_vitd_max,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py,True
lab_vitd_min,214_final_canonical_integration.py; 217_lab_recovery_ln_integration.py,True
lab_vitd_most_recent,217_lab_recovery_ln_integration.py,True
lab_vitd_most_recent_date,217_lab_recovery_ln_integration.py,True
lab_vitd_most_recent_days_from_surg,,True
lab_vitd_n_censored,217_lab_recovery_ln_integration.py,True
lab_vitd_n_parsed_from_raw,217_lab_recovery_ln_integration.py,True
lab_vitd_unit,217_lab_recovery_ln_integration.py,True
last_contact_days_from_surg,250_registry_pointer_rebuild.py,True
last_contact_source,201_canonical_survival_followup.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 218_followup_recovery.py; 233_canonical_finalization.py,True
last_tg_date,113_tg_lab_ingestion.py; 201_canonical_survival_followup.py; 207_canonical_master_expansion.py; 233_canonical_finalization.py; 233_make_report.py,True
lateral_detection_method,207_canonical_master_expansion.py,True
lateral_levels_v10,207_canonical_master_expansion.py,True
lateral_neck_dissected_structured_or_nlp,272_canonical_cleanup_phase1.py; 277_canonical_cleanup_phase7_verification.py,True
lateral_neck_dissected_v10,207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 51_thyroid_scoring_systems.py; 51b_thyroid_scoring_python.py,True
lateral_side_v10,207_canonical_master_expansion.py,True
lateral_source_v10,207_canonical_master_expansion.py,True
laterality,107_global_completion_oed_path_linkage.py; 11.5_cross_file_validation.py; 128_multimodal_contract_mm_v1.py; 129_imaging_fna_linkage_mm_v1.py; 12_update_streamlit_dashboard.py,True
ln_burden_band,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 213_data_dictionary.py; 48_build_analysis_resolved_layer.py; 51_thyroid_scoring_systems.py,True
ln_count_reconciled,240_ln_staging_cleanup.py; 259_final_verification_lock.py,True
ln_data_quality_flag,240_ln_staging_cleanup.py,True
ln_ene_status,204_canonical_master_assembly.py; 205_canonical_consolidation.py,True
ln_lateral_dissected,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 221_final_gap_resolution.py; 221b_final_gap_resolution.py; 224_canonical_etl_fixes.py,True
ln_level_i_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_i_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_ii_examined,03_research_views.py; 208_ln_master_integration.py; 240_ln_staging_cleanup.py; ln_master_rollup.py,True
ln_level_ii_positive,03_research_views.py; 208_ln_master_integration.py; 240_ln_staging_cleanup.py; ln_master_rollup.py,True
ln_level_iii_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_iii_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_iv_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_iv_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_v_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_v_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_vi_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_vi_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_vii_examined,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_level_vii_positive,03_research_views.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_atc,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_ene_count,205_canonical_consolidation.py,True
ln_mets_ftc,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_hurthle,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_micrometastasis,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_mtc,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_pdtc,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_mets_ptc,205_canonical_consolidation.py; 208_ln_master_integration.py; ln_master_rollup.py,True
ln_positive_binary,240_ln_staging_cleanup.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py,True
ln_positive_count_raw,240_ln_staging_cleanup.py,True
ln_positive_final,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 48_build_analysis_resolved_layer.py; 56_pre_manuscript_audit.py,True
ln_rollup_any_positive,208_ln_master_integration.py; 209_nlp_entity_crossvalidation.py; 240_ln_staging_cleanup.py,True
ln_rollup_bilateral_lateral_examined,208_ln_master_integration.py,True
ln_rollup_bilateral_lateral_positive,208_ln_master_integration.py,True
ln_rollup_central_examined,208_ln_master_integration.py,True
ln_rollup_central_positive,208_ln_master_integration.py,True
ln_rollup_ene,208_ln_master_integration.py,True
ln_rollup_has_per_level_data,208_ln_master_integration.py; 209_nlp_entity_crossvalidation.py,True
ln_rollup_largest_deposit_cm,208_ln_master_integration.py,True
ln_rollup_lateral_left_examined,208_ln_master_integration.py,True
ln_rollup_lateral_left_positive,208_ln_master_integration.py; 224_canonical_etl_fixes.py,True
ln_rollup_lateral_right_examined,208_ln_master_integration.py,True
ln_rollup_lateral_right_positive,208_ln_master_integration.py; 224_canonical_etl_fixes.py,True
ln_rollup_mets_atc,208_ln_master_integration.py,True
ln_rollup_mets_cystic,208_ln_master_integration.py,True
ln_rollup_mets_ene,208_ln_master_integration.py,True
ln_rollup_mets_ftc,208_ln_master_integration.py,True
ln_rollup_mets_hurthle,208_ln_master_integration.py,True
ln_rollup_mets_micrometastasis,208_ln_master_integration.py,True
ln_rollup_mets_mtc,208_ln_master_integration.py,True
ln_rollup_mets_pdtc,208_ln_master_integration.py,True
ln_rollup_mets_ptc,208_ln_master_integration.py,True
ln_rollup_mets_ptc_variant,208_ln_master_integration.py,True
ln_rollup_other_examined,208_ln_master_integration.py,True
ln_rollup_other_positive,208_ln_master_integration.py,True
ln_rollup_ratio,208_ln_master_integration.py,True
ln_rollup_source,208_ln_master_integration.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py,True
ln_rollup_total_examined,208_ln_master_integration.py; 279_ln_ene_consistency_and_recurrence_dict_clarification.py,True
ln_rollup_total_levels_involved,208_ln_master_integration.py,True
ln_rollup_total_positive,208_ln_master_integration.py; 209_nlp_entity_crossvalidation.py; 217_lab_recovery_ln_integration.py; 240_ln_staging_cleanup.py,True
lvi_grade,204_canonical_master_assembly.py; 205_canonical_consolidation.py; 213_data_dictionary.py,True
margin_all_uninvolved,250_registry_pointer_rebuild.py,True
margin_involved_any,231_update_canonical_master.py; 250_registry_pointer_rebuild.py,True
margin_ord_worst,250_registry_pointer_rebuild.py,True
margin_r_class_v10,207_canonical_master_expansion.py; 250_registry_pointer_rebuild.py; 51_thyroid_scoring_systems.py; 51b_thyroid_scoring_python.py,True
margin_r_classification,103_source_limited_enforcement.py; 207_canonical_master_expansion.py; 250_registry_pointer_rebuild.py; 29_validation_engine.py; 48_build_analysis_resolved_layer.py,True
mol_first_test_date,204_canonical_master_assembly.py; 205_canonical_consolidation.py,True
mol_first_test_days_from_surg,,True
mol_has_dicer1,211_canonical_gap_fill.py,True
mol_has_fusion,211_canonical_gap_fill.py,True
mol_has_pik3ca,211_canonical_gap_fill.py,True
mol_has_snv,211_canonical_gap_fill.py,True
mol_has_tshr,211_canonical_gap_fill.py,True
mol_n_fusions,211_canonical_gap_fill.py; 265_canonical_finalization.py; 265_preflight_for_259_reissue.py; 265_probe2.py; 265b_finalization_addendum.py,True
mol_n_snvs,211_canonical_gap_fill.py,True
mol_test_date,207_canonical_master_expansion.py; 221_final_database_consolidation.py; 48_build_analysis_resolved_layer.py,True
mol_test_date_source,48_build_analysis_resolved_layer.py,True
mol_test_days_from_surg,,True
molecular_data_confidence,204_canonical_master_assembly.py; 205_canonical_consolidation.py,True
molecular_eligible_flag,202_canonical_molecular_tested.py; 207_canonical_master_expansion.py; 48_build_analysis_resolved_layer.py; 56_pre_manuscript_audit.py; 57_freeze_manuscript_cohort.py,True
molecular_risk_calculable_flag,207_canonical_master_expansion.py; 51_thyroid_scoring_systems.py; 51b_thyroid_scoring_python.py,True
molecular_risk_tier,202_canonical_molecular_tested.py; 204_canonical_master_assembly.py; 205_canonical_consolidation.py; 48_build_analysis_resolved_layer.py; 51_thyroid_scoring_systems.py,True
mortality_type,233_canonical_finalization.py; 233_make_report.py; 233_phase0_inventory.py; 233_phase0c_derivation.py; 250_registry_pointer_rebuild.py,True
mri_contrast_used_any,216_data_gap_resolution.py,True
mri_exam_type_first,216_data_gap_resolution.py,True
mri_first_date,216_data_gap_resolution.py; 219_imaging_gap_resolution.py; 221_final_database_consolidation.py,True
mri_first_days_from_surg,,True
mri_has_dimensions,216_data_gap_resolution.py,True
mri_has_dominant_nodule,216_data_gap_resolution.py,True
mri_impression_first,216b_llm_extraction.py,True
mri_impression_last,216b_llm_extraction.py,True
mri_indication_first,216_data_gap_resolution.py; 219_imaging_gap_resolution.py,True
mri_key_findings_last,216b_llm_extraction.py,True
mri_last_date,216_data_gap_resolution.py,True
mri_last_days_from_surg,,True
mri_ln_mentioned_any,216_data_gap_resolution.py,True
mri_mass_effect_any,216_data_gap_resolution.py,True
mri_pathologic_ln_any,216_data_gap_resolution.py,True
mri_recommendation_last,216b_llm_extraction.py,True
mri_substernal_extension_any,216_data_gap_resolution.py,True
mri_thyroid_assessment_worst,216b_llm_extraction.py,True
mri_thyroid_enlarged_any,216_data_gap_resolution.py,True
mri_thyroid_nodule_any,216_data_gap_resolution.py,True
mri_vocal_cords_described,216_data_gap_resolution.py,True
mri_vocal_cords_normal,216_data_gap_resolution.py,True
n_bethesda_calculated_fnas,268_bethesda_semantics.py; 269_post_validation.py; 270b_phase_a_preflight_audit.py,True
n_bethesda_number_only_fnas,268_bethesda_semantics.py; 269_post_validation.py; 270a_phase0_audit_backfill.py; 270b_phase_a_preflight_audit.py,True
