column_name,n_literal_nan,n_true_null,n_real_values,n_distinct_real,repair_action,repaired_at,repaired_by
ete_adjudication_confidence,0,10826,45,2,NO_ACTION,,
ete_adjudication_evidence,0,10826,45,45,NO_ACTION,,
ete_adjudication_reasoning,0,10826,45,45,NO_ACTION,,
ete_adjudication_t_adjustment,0,10826,45,31,NO_ACTION,,
ete_grade,0,6796,4075,5,NO_ACTION,,
ete_grade_adjudicated,0,10826,45,4,NO_ACTION,,
ete_grade_final,0,6796,4075,5,NO_ACTION,,
ete_grade_final_v2,0,6796,4075,6,NO_ACTION,,
ete_grade_source,0,0,10871,2,NO_ACTION,,
ete_op_note_confidence,0,10688,183,4,NO_ACTION,,
ete_op_note_grade,0,10688,183,3,NO_ACTION,,
ete_original_grade,0,7313,3558,1,NO_ACTION,,
ete_original_source,0,7313,3558,1,NO_ACTION,,
ete_refined_grade,0,7313,3558,4,NO_ACTION,,
ete_subgrade_method,0,7313,3558,2,NO_ACTION,,
ete_subgrade_note,0,10688,183,3,NO_ACTION,,
fna_bethesda_source,0,5622,5249,4,NO_ACTION,,
fna_path_concordance_category,0,5622,5249,4,NO_ACTION,,
fna_path_outcome,0,0,10871,4,NO_ACTION,,
fna_pathway_status,0,0,10871,3,NO_ACTION,,
followup_all_sources,0,10,10861,281,NO_ACTION,,
followup_category,0,0,10871,6,NO_ACTION,,
followup_recovery_method,0,10,10861,19,NO_ACTION,,
gland_weight_source,0,1458,9413,1,NO_ACTION,,
gm_path_ene_raw,0,9644,1227,60,NO_ACTION,,
gm_path_ete_raw,0,6796,4075,31,NO_ACTION,,
gm_path_lvi_raw,0,7505,3366,16,NO_ACTION,,
gm_path_m_stage_raw,0,6866,4005,8,NO_ACTION,,
gm_path_pni_raw,0,9433,1438,6,NO_ACTION,,
gm_path_stage_raw,0,10871,0,0,NO_ACTION,,
gm_path_vascular_inv_raw,0,7189,3682,19,NO_ACTION,,
gm_rai_date_confidence,0,10290,581,5,NO_ACTION,,
gm_rai_date_source,0,10290,581,2,NO_ACTION,,
gm_recurrence_date_source,0,10689,182,2,NO_ACTION,,
gm_recurrence_site_primary,0,10871,0,0,NO_ACTION,,
gm_recurrence_source,0,8925,1946,2,NO_ACTION,,
gm_recurrence_type_primary,0,8925,1946,2,NO_ACTION,,
hematoma_status,0,0,10871,4,NO_ACTION,,
histologic_types_all,0,6734,4137,177,NO_ACTION,,
histologic_variants_all,0,7561,3310,275,NO_ACTION,,
histology_final,0,6734,4137,38,NO_ACTION,,
histology_source,0,0,10871,1,NO_ACTION,,
hypocalcemia_status,0,0,10871,6,NO_ACTION,,
hypoparathyroidism_status,0,0,10871,6,NO_ACTION,,
ihc_braf_note_type_v13,0,10869,2,2,NO_ACTION,,
ihc_braf_result_v13,0,10869,2,2,NO_ACTION,,
imaging_tirads_category,0,7397,3474,5,NO_ACTION,,
imaging_tirads_source,0,7397,3474,2,NO_ACTION,,
lab_calcium_unit,0,0,10871,5,NO_ACTION,,
lab_pth_unit,0,0,10871,2,NO_ACTION,,
lab_tsh_unit,0,0,10871,9,NO_ACTION,,
lab_vitd_unit,0,0,10871,3,NO_ACTION,,
last_contact_source,0,0,10871,41,NO_ACTION,,
last_contact_source_prev_233,0,0,10871,19,NO_ACTION,,
lateral_detection_method,0,10752,119,8,NO_ACTION,,
lateral_levels_v10,0,10783,88,22,NO_ACTION,,
lateral_side_v10,0,10777,94,2,NO_ACTION,,
lateral_source_v10,0,10752,119,2,NO_ACTION,,
laterality,0,533,10338,3,NO_ACTION,,
ln_burden_band,0,7060,3811,4,NO_ACTION,,
ln_data_quality_flag,0,10850,21,2,NO_ACTION,,
ln_ene_status,0,9644,1227,60,NO_ACTION,,
ln_rollup_crossval_status,0,6885,3986,5,NO_ACTION,,
ln_rollup_internal_consistency,0,6885,3986,3,NO_ACTION,,
ln_rollup_mets_ptc_variant,0,10830,41,4,NO_ACTION,,
ln_rollup_source,0,6885,3986,3,NO_ACTION,,
lnus_impression_last,0,10814,57,56,NO_ACTION,,
lnus_indication_first,0,10811,60,57,NO_ACTION,,
lnus_source,0,10810,61,1,NO_ACTION,,
lvi_grade,0,7505,3366,16,NO_ACTION,,
lvi_grade_final_v13,0,7120,3751,5,NO_ACTION,,
macis_missing_components,0,4082,6789,1,NO_ACTION,,
macis_risk_group,0,6789,4082,4,NO_ACTION,,
margin_r_class,0,0,10871,5,NO_ACTION,,
margin_r_class_v10,0,6908,3963,4,NO_ACTION,,
margin_r_classification,0,6914,3957,4,NO_ACTION,,
margin_status,0,6914,3957,4,NO_ACTION,,
margin_status_final,0,6914,3957,4,NO_ACTION,,
margin_status_true,0,6915,3956,3,NO_ACTION,,
med_nlp_extraction_method,0,8857,2014,1,NO_ACTION,,
med_nlp_note_types,0,8857,2014,41,NO_ACTION,,
mol_genes_list,0,10555,316,29,NO_ACTION,,
mol_platform,0,9585,1286,5,NO_ACTION,,
mol_test_date_source,0,10062,809,1,NO_ACTION,,
mol_variant_classes,0,10168,703,5,NO_ACTION,,
molecular_data_confidence,0,0,10871,2,NO_ACTION,,
molecular_platforms_v7,0,847,10024,8,NO_ACTION,,
molecular_risk_tier,0,6602,4269,4,NO_ACTION,,
mortality_type,0,10679,192,2,NO_ACTION,,
mri_exam_type_first,0,10460,411,116,NO_ACTION,,
mri_impression_first,0,10416,455,455,NO_ACTION,,
mri_impression_last,0,10414,457,457,NO_ACTION,,
mri_indication_first,0,10467,404,373,NO_ACTION,,
mri_key_findings_last,0,10409,462,462,NO_ACTION,,
mri_recommendation_last,0,10710,161,159,NO_ACTION,,
mri_thyroid_assessment_worst,0,10444,427,5,NO_ACTION,,
n_surgeries_source,0,0,10871,1,NO_ACTION,,
nlp_airway_key_finding,0,9749,1122,748,NO_ACTION,,
nlp_dynrisk_key_finding,0,10846,25,14,NO_ACTION,,
nlp_frozensec_key_finding,0,10687,184,126,NO_ACTION,,
nlp_funcoutcome_key_finding,0,9337,1534,745,NO_ACTION,,
nlp_imaging_key_finding,0,9144,1727,1617,NO_ACTION,,
nlp_labs_key_finding,0,10087,784,552,NO_ACTION,,
nlp_ln_levels_mentioned,0,10048,823,669,NO_ACTION,,
nlp_parathyroid_key_finding,0,10761,110,51,NO_ACTION,,
nlp_path_histology_mentioned,0,8877,1994,995,NO_ACTION,,
nlp_path_multifocal_concordance_v2,0,8552,2319,4,NO_ACTION,,
nlp_physexam_key_finding,0,10366,505,422,NO_ACTION,,
nlp_pmhx_key_finding,0,10581,290,172,NO_ACTION,,
nlp_pshx_key_finding,0,9007,1864,1282,NO_ACTION,,
nlp_ptdecision_key_finding,0,10505,366,105,NO_ACTION,,
nlp_radtx_key_finding,0,10661,210,193,NO_ACTION,,
nlp_raidetail_key_finding,0,10251,620,153,NO_ACTION,,
nlp_rec_confidence_tier,0,10738,133,1,NO_ACTION,,
nlp_rec_type_worst,0,10738,133,4,NO_ACTION,,
nlp_survfu_key_finding,0,7960,2911,1065,NO_ACTION,,
nlp_symptoms_key_finding,0,10755,116,110,NO_ACTION,,
nlp_synoptic_key_finding,0,10863,8,6,NO_ACTION,,
nlp_tirads_max_category,0,9157,1714,344,NO_ACTION,,
nlp_usnodule_key_finding,0,10853,18,18,NO_ACTION,,
nlp_vasc_confidence_tier,0,10218,653,1,NO_ACTION,,
nsqip_admission_date,0,9610,1261,973,NO_ACTION,,
nsqip_asa_class,0,9461,1410,4,NO_ACTION,,
nsqip_bleeding_disorder,0,9610,1261,2,NO_ACTION,,
nsqip_calcium_checked,0,9926,945,2,NO_ACTION,,
nsqip_calcium_vitd_category,0,9926,945,4,NO_ACTION,,
nsqip_calcium_vitd_last_check,0,10614,257,5,NO_ACTION,,
nsqip_calcium_vitd_replacement,0,9926,945,4,NO_ACTION,,
nsqip_central_neck_dissection,0,9925,946,3,NO_ACTION,,
nsqip_copd,0,9610,1261,2,NO_ACTION,,
nsqip_cpt_description,0,9610,1261,6,NO_ACTION,,
nsqip_death_30d,0,9626,1245,2,NO_ACTION,,
nsqip_diabetes,0,9461,1410,3,NO_ACTION,,
nsqip_discharge_date,0,9610,1261,958,NO_ACTION,,
nsqip_discharge_destination,0,9623,1248,6,NO_ACTION,,
nsqip_disseminated_cancer,0,9610,1261,2,NO_ACTION,,
nsqip_drain_usage,0,9921,950,2,NO_ACTION,,
nsqip_final_pathology,0,10614,257,46,NO_ACTION,,
nsqip_first_readmission_date,0,10842,29,29,NO_ACTION,,
nsqip_functional_status,0,9461,1410,3,NO_ACTION,,
nsqip_heart_failure,0,9610,1261,2,NO_ACTION,,
nsqip_hypertension,0,9461,1410,2,NO_ACTION,,
nsqip_hypocalcemia,0,9928,943,3,NO_ACTION,,
nsqip_hypocalcemia_event,0,10182,689,2,NO_ACTION,,
nsqip_hypocalcemia_event_type,0,10838,33,5,NO_ACTION,,
nsqip_hypocalcemia_last_check,0,10614,257,3,NO_ACTION,,
nsqip_hypocalcemia_postdischarge,0,9928,943,3,NO_ACTION,,
nsqip_hypocalcemia_predischarge,0,9926,945,3,NO_ACTION,,
nsqip_inpatient_outpatient,0,9610,1261,2,NO_ACTION,,
nsqip_iv_calcium,0,10614,257,3,NO_ACTION,,
nsqip_lateral_neck_dissection,0,10614,257,2,NO_ACTION,,
nsqip_m_classification,0,10550,321,3,NO_ACTION,,
nsqip_match_method,0,9610,1261,4,NO_ACTION,,
nsqip_molecular_result,0,10819,52,4,NO_ACTION,,
nsqip_molecular_testing,0,10624,247,2,NO_ACTION,,
nsqip_multifocal,0,10502,369,3,NO_ACTION,,
nsqip_n_classification,0,10501,370,7,NO_ACTION,,
nsqip_neck_hematoma,0,9925,946,7,NO_ACTION,,
nsqip_neoplasm,0,10180,691,2,NO_ACTION,,
nsqip_neoplasm_type,0,10429,442,9,NO_ACTION,,
nsqip_operation_date,0,9610,1261,918,NO_ACTION,,
nsqip_operative_approach,0,10377,494,1,NO_ACTION,,
nsqip_preop_biopsy_result,0,10007,864,10,NO_ACTION,,
nsqip_primary_indication,0,9927,944,12,NO_ACTION,,
nsqip_prior_neck_surgery,0,9927,944,6,NO_ACTION,,
nsqip_pth_checked,0,9928,943,2,NO_ACTION,,
nsqip_rln_injury,0,9925,946,6,NO_ACTION,,
nsqip_rln_monitoring,0,9927,944,2,NO_ACTION,,
nsqip_sex,0,9461,1410,2,NO_ACTION,,
nsqip_smoker,0,9461,1410,2,NO_ACTION,,
nsqip_source,0,9461,1410,1,NO_ACTION,,
nsqip_surgery_finish_time,0,9610,1261,1261,NO_ACTION,,
nsqip_surgery_start_time,0,9610,1261,1260,NO_ACTION,,
nsqip_t_classification,0,10502,369,11,NO_ACTION,,
nsqip_thyroidectomy_source_script,0,0,10871,1,NO_ACTION,,
nsqip_tobacco_use,0,9610,1261,2,NO_ACTION,,
nsqip_vessel_sealant,0,10181,690,2,NO_ACTION,,
nucmed_findings_last,0,9985,886,835,NO_ACTION,,
nucmed_first_scan_with_labs,0,10424,447,368,NO_ACTION,,
nucmed_impression_last,0,10036,835,718,NO_ACTION,,
nucmed_indication_first,0,9751,1120,892,NO_ACTION,,
nucmed_indication_last,0,9751,1120,897,NO_ACTION,,
nucmed_lab_source,0,10424,447,1,NO_ACTION,,
nucmed_last_scan_with_labs,0,10424,447,366,NO_ACTION,,
nucmed_overall_assessment,0,9723,1148,4,NO_ACTION,,
nucmed_scan_types,0,9751,1120,48,NO_ACTION,,
op_findings_summary,0,10284,587,32,NO_ACTION,,
op_nlp_extraction_method,0,6843,4028,1,NO_ACTION,,
op_nlp_nerve_monitoring_type,0,7378,3493,5,NO_ACTION,,
op_nlp_note_types,0,6843,4028,1,NO_ACTION,,
ops_anticoagulation_meds,0,10863,8,1,NO_ACTION,,
ops_cervical_ln_us_performed,0,10750,121,2,NO_ACTION,,
ops_difficult_airway,0,10729,142,6,NO_ACTION,,
ops_dominant_nodule_bethesda,0,10773,98,13,NO_ACTION,,
ops_dominant_nodule_location,0,10870,1,1,NO_ACTION,,
ops_dominant_nodule_size_us,0,10866,5,5,NO_ACTION,,
ops_ebl_ml,0,10751,120,10,NO_ACTION,,
ops_family_hx_thyroid_ca,0,10729,142,21,NO_ACTION,,
ops_head_neck_us_findings,0,10869,2,2,NO_ACTION,,
ops_intraop_appearance,0,10531,340,328,NO_ACTION,,
ops_intraop_nodule_count,0,10221,650,25,NO_ACTION,,
ops_io_tumor_appearance,0,8846,2025,65,NO_ACTION,,
ops_ll_para_visualized,0,9405,1466,3,NO_ACTION,,
ops_lu_para_visualized,0,9409,1462,3,NO_ACTION,,
ops_max_diameter_cm,0,9003,1868,153,NO_ACTION,,
ops_nerve_stim_final,0,10757,114,4,NO_ACTION,,
ops_nerve_stim_left,0,10777,94,83,NO_ACTION,,
ops_nerve_stim_right,0,10793,78,69,NO_ACTION,,
ops_other_ag,0,10868,3,2,NO_ACTION,,
ops_palpable_lesion,0,10866,5,2,NO_ACTION,,
ops_para_ag_performed,0,8789,2082,25,NO_ACTION,,
ops_parathyroid_ag_notes,0,10416,455,42,NO_ACTION,,
ops_parathyroidectomy,0,10841,30,26,NO_ACTION,,
ops_periop_complications,0,9474,1397,54,NO_ACTION,,
ops_preop_diagnosis,0,8788,2083,321,NO_ACTION,,
ops_preop_imaging_performed,0,10728,143,28,NO_ACTION,,
ops_preop_laryngoscopy,0,10752,119,6,NO_ACTION,,
ops_preop_nodules_count_size,0,10824,47,20,NO_ACTION,,
ops_preop_symptoms,0,10712,159,37,NO_ACTION,,
ops_prior_neck_irradiation,0,10724,147,19,NO_ACTION,,
ops_prior_neck_operation,0,10415,456,128,NO_ACTION,,
ops_rl_ag,0,10613,258,2,NO_ACTION,,
ops_ru_para_visualized,0,9451,1420,3,NO_ACTION,,
ops_supranumerary_para,0,10858,13,13,NO_ACTION,,
ops_surg_date,0,2139,8732,3920,NO_ACTION,,
ops_surgeon,0,2280,8591,142,NO_ACTION,,
ops_thyroid_scintigraphy,0,10870,1,1,NO_ACTION,,
ops_tumor_side,0,9039,1832,38,NO_ACTION,,
para_abnormality_type,0,8919,1952,3,NO_ACTION,,
para_incidental_status_refined,0,7211,3660,3,NO_ACTION,,
para_removal_intent,0,7211,3660,6,NO_ACTION,,
para_source_script,0,7211,3660,1,NO_ACTION,,
para_source_workbook,0,7211,3660,1,NO_ACTION,,
path_ene_raw,0,9644,1227,60,NO_ACTION,,
path_ete_raw,0,6796,4075,31,NO_ACTION,,
path_histology_raw,0,6734,4137,59,NO_ACTION,,
path_histology_variant_raw,0,7554,3317,167,NO_ACTION,,
path_laterality,0,533,10338,3,NO_ACTION,,
path_lvi_raw,0,7505,3366,16,NO_ACTION,,
path_m_stage_raw,0,6866,4005,8,NO_ACTION,,
path_margin_raw,0,6987,3884,12,NO_ACTION,,
path_n_stage_raw,0,6856,4015,17,NO_ACTION,,
path_pni_raw,0,9433,1438,6,NO_ACTION,,
path_t_stage_raw,0,6862,4009,20,NO_ACTION,,
path_vascular_invasion_raw,0,7189,3682,19,NO_ACTION,,
perineural_invasion,0,9433,1438,6,NO_ACTION,,
pet_distant_met_sites,0,10741,130,30,NO_ACTION,,
pet_first_date,0,10581,290,266,NO_ACTION,,
pet_impression_last,0,10585,286,286,NO_ACTION,,
pet_indication_first,0,10580,291,288,NO_ACTION,,
pet_last_date,0,10582,289,269,NO_ACTION,,
pet_other_exam_type,0,10799,72,2,NO_ACTION,,
pet_other_extraction_method,0,10799,72,1,NO_ACTION,,
pet_other_indication_first,0,10799,72,70,NO_ACTION,,
pet_overall_worst,0,10580,291,7,NO_ACTION,,
pet_radiotracer_primary,0,10587,284,5,NO_ACTION,,
pmhx_llm_extraction_method,0,10581,290,1,NO_ACTION,,
pmhx_llm_note_types,0,10581,290,11,NO_ACTION,,
pmhx_nlp_comorbidity_list,0,6976,3895,762,NO_ACTION,,
pmhx_nlp_extraction_method,0,6976,3895,1,NO_ACTION,,
pmhx_nlp_note_types,0,6976,3895,51,NO_ACTION,,
pmhx_nlp_smoking_status,0,10851,20,12,NO_ACTION,,
pni_refined_v6,0,9384,1487,3,NO_ACTION,,
postop_calcium_source_reliability,0,10312,559,7,NO_ACTION,,
postop_pth_source_reliability,0,10198,673,6,NO_ACTION,,
preop_tirads_category,0,7397,3474,5,NO_ACTION,,
prm_ete_imaging_path_concordance,0,6841,4030,1,NO_ACTION,,
prm_ete_rule_applied,0,7323,3548,2,NO_ACTION,,
prm_fna_source_tables,0,5622,5249,4,NO_ACTION,,
prm_imaging_data_completeness,0,6841,4030,1,NO_ACTION,,
prm_margin_confidence,0,6914,3957,3,NO_ACTION,,
prm_margin_source,0,6914,3957,1,NO_ACTION,,
prm_margin_with_gross_ete,0,6914,3957,2,NO_ACTION,,
prm_molecular_risk_category,0,847,10024,3,NO_ACTION,,
prm_recurrence_detection_category,0,0,10871,4,NO_ACTION,,
prm_rln_worst_grade,0,0,10871,4,NO_ACTION,,
prm_size_concordance,0,6841,4030,1,NO_ACTION,,
proc_nlp_extraction_method,0,6160,4711,1,NO_ACTION,,
proc_nlp_note_types,0,6160,4711,62,NO_ACTION,,
provenance_note,0,0,10871,1,NO_ACTION,,
pshx_llm_extraction_method,0,9007,1864,1,NO_ACTION,,
pshx_llm_note_types,0,9007,1864,18,NO_ACTION,,
r_class_true,0,6915,3956,3,NO_ACTION,,
race,0,9,10862,8,NO_ACTION,,
radtx_llm_extraction_method,0,10661,210,1,NO_ACTION,,
rai_assertion_statuses,0,10836,35,1,NO_ACTION,,
rai_date_source,0,10290,581,2,NO_ACTION,,
rai_dose_confidence_worst,0,10622,249,7,NO_ACTION,,
rai_dose_linkage,0,10595,276,3,NO_ACTION,,
rai_dose_source,0,10595,276,8,NO_ACTION,,
rai_intent_list,0,10009,862,1,NO_ACTION,,
rai_intent_v9,0,10595,276,5,NO_ACTION,,
rai_validation_tier,0,10009,862,3,NO_ACTION,,
ras_primary_subtype_v11,0,10555,316,3,NO_ACTION,,
ras_protein_change_v11,0,10764,107,9,NO_ACTION,,
ras_resolution_source_v13,0,10837,34,3,NO_ACTION,,
ras_resolved_gene_v13,0,10837,34,3,NO_ACTION,,
ras_resolved_variant_v13,0,10854,17,3,NO_ACTION,,
ras_subtype,0,10697,174,3,NO_ACTION,,
ras_subtype_raw,0,10697,174,3,NO_ACTION,,
rec_detection_method,0,10622,249,2,NO_ACTION,,
rec_source_table,0,8925,1946,2,NO_ACTION,,
recurrence_data_confidence,0,0,10871,3,NO_ACTION,,
recurrence_date_source,0,10689,182,2,NO_ACTION,,
recurrence_definition,0,0,10871,7,NO_ACTION,,
recurrence_evidence_source,0,10044,827,4,NO_ACTION,,
recurrence_evidence_type,0,10682,189,3,NO_ACTION,,
recurrence_histology_v2,0,10753,118,26,NO_ACTION,,
recurrence_laterality,0,10814,57,3,NO_ACTION,,
recurrence_pathology_source_table,0,10682,189,2,NO_ACTION,,
recurrence_pathology_specimen_id,0,10682,189,122,NO_ACTION,,
recurrence_site,0,9533,1338,8,NO_ACTION,,
recurrence_site_raw,0,10794,77,69,NO_ACTION,,
recurrence_site_source,0,10794,77,1,NO_ACTION,,
recurrence_site_text,0,9598,1273,7,NO_ACTION,,
recurrence_site_v2,0,10771,100,80,NO_ACTION,,
recurrence_source,0,8925,1946,2,NO_ACTION,,
recurrence_type,0,0,10871,6,NO_ACTION,,
recurrence_type_primary,0,8925,1946,2,NO_ACTION,,
research_id,0,0,10871,10871,NO_ACTION,,
resolved_layer_version,0,0,10871,1,NO_ACTION,,
ret_evidence_source,0,10801,70,3,NO_ACTION,,
ret_note_alteration_types,0,10833,38,11,NO_ACTION,,
ret_note_variants_reported,0,10850,21,19,NO_ACTION,,
rln_classification,0,10779,92,4,NO_ACTION,,
rln_injury_evidence,0,10779,92,3,NO_ACTION,,
rln_injury_type,0,10779,92,4,NO_ACTION,,
rln_laterality,0,10859,12,3,NO_ACTION,,
rln_status,0,0,10871,4,NO_ACTION,,
rln_temporality,0,10779,92,2,NO_ACTION,,
rollup_script_version,0,2449,8422,1,NO_ACTION,,
rollup_source_table,0,2449,8422,1,NO_ACTION,,
seroma_status,0,0,10871,4,NO_ACTION,,
sex,0,0,10871,2,NO_ACTION,,
source_script,0,0,10871,1,NO_ACTION,,
source_table,0,0,10871,1,NO_ACTION,,
stage_discordance_note,0,10863,8,1,NO_ACTION,,
stage_migration_7_to_8,0,9336,1535,10,NO_ACTION,,
surg_procedure_type,0,2138,8733,4,NO_ACTION,,
surv_recurrence_risk_band,0,7107,3764,3,NO_ACTION,,
sx_llm_extraction_method,0,10755,116,1,NO_ACTION,,
syn_architecture,0,9469,1402,85,NO_ACTION,,
syn_capsular_invasion_clean,0,9745,1126,4,NO_ACTION,,
syn_frozen_section_result,0,6809,4062,3861,NO_ACTION,,
syn_isthmus_size_cm,0,6890,3981,3500,NO_ACTION,,
syn_ki67_index,0,10853,18,13,NO_ACTION,,
syn_left_lobe_size_cm,0,3667,7204,6715,NO_ACTION,,
syn_lymphatic_invasion_clean,0,7439,3432,5,NO_ACTION,,
syn_margin_distance_mm_raw_str,9517,2,1352,52,PRESERVE_RAW,,
syn_margin_status_synoptic,0,6914,3957,12,NO_ACTION,,
syn_mitotic_rate_qualifier,0,10464,407,4,NO_ACTION,,
syn_necrosis_clean,0,10145,726,3,NO_ACTION,,
syn_right_lobe_size_cm,0,3813,7058,6599,NO_ACTION,,
syn_tumor2_histologic_type,0,9525,1346,32,NO_ACTION,,
syn_tumor2_size_cm,0,9567,1304,87,NO_ACTION,,
tert_platforms_v9,0,10795,76,3,NO_ACTION,,
tert_status_v7,0,847,10024,2,NO_ACTION,,
tert_variant_v9,0,10795,76,3,NO_ACTION,,
tg_limitation_note,0,2567,8304,3,NO_ACTION,,
tg_trajectory_class,0,8150,2721,5,NO_ACTION,,
tirads_best_category_v12,0,7397,3474,5,NO_ACTION,,
tirads_source_v12,0,7397,3474,2,NO_ACTION,,
tirads_worst_category_v12,0,7397,3474,5,NO_ACTION,,
