Histology rule,Platform,Bethesda,Size band,TP,FP,FN,TN,n_total,n_positive_call,n_malignant,n_benign,Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),Afirma,B4,lt2cm,8,3,3,2,16,11,11,5,72.7% [43.4–90.3],40.0% [11.8–76.9],72.7% [43.4–90.3],40.0% [11.8–76.9]
Strict (NIFTP=benign),Afirma,B4,unknown_size,13,10,4,4,31,23,17,14,76.5% [52.7–90.4],28.6% [11.7–54.6],56.5% [36.8–74.4],50.0% [21.5–78.5]
Strict (NIFTP=benign),ThyroSeq,B3,2to4cm,6,1,6,9,22,7,12,10,50.0% [25.4–74.6],90.0% [59.6–98.2],85.7% [48.7–97.4],60.0% [35.7–80.2]
Strict (NIFTP=benign),ThyroSeq,B3,all_sizes,27,9,33,54,123,36,60,63,45.0% [33.1–57.5],85.7% [75.0–92.3],75.0% [58.9–86.2],62.1% [51.6–71.5]
Strict (NIFTP=benign),ThyroSeq,B3,lt2cm,13,6,21,33,73,19,34,39,38.2% [23.9–55.0],84.6% [70.3–92.8],68.4% [46.0–84.6],61.1% [47.8–73.0]
Strict (NIFTP=benign),ThyroSeq,B3,unknown_size,8,2,6,12,28,10,14,14,57.1% [32.6–78.6],85.7% [60.1–96.0],80.0% [49.0–94.3],66.7% [43.7–83.7]
Strict (NIFTP=benign),ThyroSeq,B3+B4,2to4cm,8,1,6,13,28,9,14,14,57.1% [32.6–78.6],92.9% [68.5–98.7],88.9% [56.5–98.0],68.4% [46.0–84.6]
Strict (NIFTP=benign),ThyroSeq,B3+B4,all_sizes,42,15,45,81,183,57,87,96,48.3% [38.1–58.6],84.4% [75.8–90.3],73.7% [61.0–83.4],64.3% [55.6–72.1]
Strict (NIFTP=benign),ThyroSeq,B3+B4,lt2cm,21,10,30,52,113,31,51,62,41.2% [28.8–54.8],83.9% [72.8–91.0],67.7% [50.1–81.4],63.4% [52.6–73.0]
Strict (NIFTP=benign),ThyroSeq,B3+B4,unknown_size,13,4,9,16,42,17,22,20,59.1% [38.7–76.7],80.0% [58.4–91.9],76.5% [52.7–90.4],64.0% [44.5–79.8]
Strict (NIFTP=benign),ThyroSeq,B4,2to4cm,2,0,0,4,6,2,2,4,100.0% [34.2–100.0],100.0% [51.0–100.0],100.0% [34.2–100.0],100.0% [51.0–100.0]
Strict (NIFTP=benign),ThyroSeq,B4,all_sizes,15,6,12,27,60,21,27,33,55.6% [37.3–72.4],81.8% [65.6–91.4],71.4% [50.0–86.2],69.2% [53.6–81.4]
Strict (NIFTP=benign),ThyroSeq,B4,lt2cm,8,4,9,19,40,12,17,23,47.1% [26.2–69.0],82.6% [62.9–93.0],66.7% [39.1–86.2],67.9% [49.3–82.1]
Strict (NIFTP=benign),ThyroSeq,B4,unknown_size,5,2,3,4,14,7,8,6,62.5% [30.6–86.3],66.7% [30.0–90.3],71.4% [35.9–91.8],57.1% [25.0–84.2]
Inclusive (NIFTP=malignant),Afirma,B3,2to4cm,1,1,1,0,3,2,2,1,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,all_sizes,11,17,11,5,44,28,22,22,50.0% [30.7–69.3],22.7% [10.1–43.4],39.3% [23.6–57.6],31.2% [14.2–55.6]
Inclusive (NIFTP=malignant),Afirma,B3,lt2cm,4,3,6,4,17,7,10,7,40.0% [16.8–68.7],57.1% [25.0–84.2],57.1% [25.0–84.2],40.0% [16.8–68.7]
Inclusive (NIFTP=malignant),Afirma,B3,unknown_size,6,13,4,1,24,19,10,14,60.0% [31.3–83.2],7.1% [1.3–31.5],31.6% [15.4–54.0],20.0% [3.6–62.4]
Inclusive (NIFTP=malignant),Afirma,B3+B4,2to4cm,2,1,2,0,5,3,4,1,50.0% [15.0–85.0],0.0% [0.0–79.3],66.7% [20.8–93.9],0.0% [0.0–65.8]
Inclusive (NIFTP=malignant),Afirma,B3+B4,all_sizes,33,30,19,11,93,63,52,41,63.5% [49.9–75.2],26.8% [15.7–41.9],52.4% [40.3–64.2],36.7% [21.9–54.5]
Inclusive (NIFTP=malignant),Afirma,B3+B4,lt2cm,12,6,9,6,33,18,21,12,57.1% [36.5–75.5],50.0% [25.4–74.6],66.7% [43.7–83.7],40.0% [19.8–64.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,unknown_size,19,23,8,5,55,42,27,28,70.4% [51.5–84.1],17.9% [7.9–35.6],45.2% [31.2–60.1],38.5% [17.7–64.5]
Inclusive (NIFTP=malignant),Afirma,B4,2to4cm,1,0,1,0,2,1,2,0,50.0% [9.5–90.5],—,100.0% [20.7–100.0],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B4,all_sizes,22,13,8,6,49,35,30,19,73.3% [55.6–85.8],31.6% [15.4–54.0],62.9% [46.3–76.8],42.9% [21.4–67.4]
Inclusive (NIFTP=malignant),Afirma,B4,lt2cm,8,3,3,2,16,11,11,5,72.7% [43.4–90.3],40.0% [11.8–76.9],72.7% [43.4–90.3],40.0% [11.8–76.9]
Inclusive (NIFTP=malignant),Afirma,B4,unknown_size,13,10,4,4,31,23,17,14,76.5% [52.7–90.4],28.6% [11.7–54.6],56.5% [36.8–74.4],50.0% [21.5–78.5]
Inclusive (NIFTP=malignant),ThyroSeq,B3,2to4cm,6,1,6,9,22,7,12,10,50.0% [25.4–74.6],90.0% [59.6–98.2],85.7% [48.7–97.4],60.0% [35.7–80.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3,all_sizes,27,9,38,49,123,36,65,58,41.5% [30.4–53.7],84.5% [73.1–91.6],75.0% [58.9–86.2],56.3% [45.9–66.3]
Inclusive (NIFTP=malignant),ThyroSeq,B3,lt2cm,13,6,25,29,73,19,38,35,34.2% [21.2–50.1],82.9% [67.3–91.9],68.4% [46.0–84.6],53.7% [40.6–66.3]
Inclusive (NIFTP=malignant),ThyroSeq,B3,unknown_size,8,2,7,11,28,10,15,13,53.3% [30.1–75.2],84.6% [57.8–95.7],80.0% [49.0–94.3],61.1% [38.6–79.7]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,2to4cm,8,1,6,13,28,9,14,14,57.1% [32.6–78.6],92.9% [68.5–98.7],88.9% [56.5–98.0],68.4% [46.0–84.6]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,all_sizes,42,15,51,75,183,57,93,90,45.2% [35.4–55.3],83.3% [74.3–89.6],73.7% [61.0–83.4],59.5% [50.8–67.7]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,lt2cm,21,10,35,47,113,31,56,57,37.5% [26.0–50.6],82.5% [70.6–90.2],67.7% [50.1–81.4],57.3% [46.5–67.5]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,unknown_size,13,4,10,15,42,17,23,19,56.5% [36.8–74.4],78.9% [56.7–91.5],76.5% [52.7–90.4],60.0% [40.7–76.6]
Inclusive (NIFTP=malignant),ThyroSeq,B4,2to4cm,2,0,0,4,6,2,2,4,100.0% [34.2–100.0],100.0% [51.0–100.0],100.0% [34.2–100.0],100.0% [51.0–100.0]
Inclusive (NIFTP=malignant),ThyroSeq,B4,all_sizes,15,6,13,26,60,21,28,32,53.6% [35.8–70.5],81.2% [64.7–91.1],71.4% [50.0–86.2],66.7% [51.0–79.4]
Inclusive (NIFTP=malignant),ThyroSeq,B4,lt2cm,8,4,10,18,40,12,18,22,44.4% [24.6–66.3],81.8% [61.5–92.7],66.7% [39.1–86.2],64.3% [45.8–79.3]
Inclusive (NIFTP=malignant),ThyroSeq,B4,unknown_size,5,2,3,4,14,7,8,6,62.5% [30.6–86.3],66.7% [30.0–90.3],71.4% [35.9–91.8],57.1% [25.0–84.2]
