file_path	coupling_pattern	function_or_area	disposition	publication_anchor_overlap	mentions_any_pub_dataset_table	ddl_or_bq_load_heuristic	port_backlog_tier	bq_tables_substring_mentions
qc_framework_v1/scripts/apply_mig223_semantic_publication_layer.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_fna_events_v1;canonical_molecular_genetics_v2;canonical_path_malignant_events_dedup_VIEW_v1;canonical_patient_master;canonical_recurrence_resolved_v1;canonical_table_signoff_registry_v1;longitudinal_lab_VIEW_v1;manuscript_cohort_v1;release_manifest_v1;signoff_migration;us_nodules_tirads;vw_cohort_membership_safe_VIEW_v1;vw_fna_safe_VIEW_v1;vw_labs_long_safe_VIEW_v1;vw_molecular_safe_VIEW_v1;vw_path_malignant_tumor_safe_VIEW_v1;vw_patient_master_safe_VIEW_v1;vw_recurrence_safe_VIEW_v1;vw_us_nodule_safe_VIEW_v1
qc_framework_v1/scripts/apply_mig248_column_rename_drift_repair.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_patient_master;vw_publication_qc_status_VIEW_v1
qc_framework_v1/scripts/apply_mig_103_medications_decisions.py	connect_md	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_medications_events_v1;canonical_medications_patient_rollup_v1;canonical_pmh_events_v1;canonical_table_signoff_registry_v1;clinical_notes_long;signoff_migration
qc_framework_v1/scripts/apply_mig_98a_vocal_cord_decisions.py	connect_md	qc_script	ACTIVE	no	yes	no	P2	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_labs_calcium_v1;canonical_operative_events_v1;canonical_survival_followup_v1;complication_phenotype_v1;extracted_complications_refined_v5;extracted_rln_injury_refined_v2;note_entities_complications;note_entities_llm_survival_followup
qc_framework_v1/scripts/apply_mig_98b_chyle_leak_decisions.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_pmh_events_v1
qc_framework_v1/scripts/apply_mig_98c_voice_nerve_decisions.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_pmh_events_v1
qc_framework_v1/scripts/apply_mig_98d_seroma_decisions.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_operative_events_v1;canonical_pmh_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5
qc_framework_v1/scripts/apply_mig_98e_hematoma_decisions.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_operative_events_v1;canonical_pmh_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5
qc_framework_v1/scripts/apply_mig_98f_hypoparathyroidism_decisions.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_operative_events_v1;canonical_pmh_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5
qc_framework_v1/scripts/apply_mig_98gh_finalize.py	connect_md	qc_script	ACTIVE	no	yes	yes	P1	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_labs_calcium_v1;complication_phenotype_v1
qc_framework_v1/scripts/build_airway_invasion_positive_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_airway_invasion_events_v1
qc_framework_v1/scripts/build_airway_pT4a_candidates_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_airway_invasion_events_v1
qc_framework_v1/scripts/build_cf_mig219_mig220_reconciliation.py	connect_locked	qc_script	ACTIVE	no	yes	no	P2	canonical_us_nodule_v2
qc_framework_v1/scripts/build_chyle_leak_real_candidates.py	MotherDuckClient	qc_script	ACTIVE	no	yes	no	P4	canonical_complications_events_v1;canonical_complications_patient_rollup_v1;canonical_medications_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5
qc_framework_v1/scripts/build_chyle_leak_review.py	connect_md	qc_script	ACTIVE	yes	yes	no	P2	canonical_complications_events_v1;canonical_patient_master;complication_phenotype_v1;extracted_complications_refined_v5;note_entities_complications
qc_framework_v1/scripts/build_esophageal_invasion_full_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_esophageal_invasion_events_v1
qc_framework_v1/scripts/build_esophageal_invasion_signoff.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_esophageal_invasion_events_v1
qc_framework_v1/scripts/build_esophageal_invasion_signoff_v2.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_esophageal_invasion_events_v1
qc_framework_v1/scripts/build_fna_date_raw_canary.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_fna_events_v1
qc_framework_v1/scripts/build_fna_null_date_review_csv.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_fna_events_v1
qc_framework_v1/scripts/build_fna_site_unclear_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_fna_events_v1
qc_framework_v1/scripts/build_invasion_events_orphan_review.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_invasion_events_v1;canonical_path_benign_events_v1;canonical_path_malignant_events_v1
qc_framework_v1/scripts/build_invasion_events_verification.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_airway_invasion_events_v1;canonical_invasion_events_v1;canonical_operative_events_v1;canonical_path_malignant_events_v1;ct_imaging;mri_imaging;note_entities_llm_airway_invasion;note_entities_llm_vascular_invasion;path_synoptics
qc_framework_v1/scripts/build_laterality_review_csv.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_fna_events_v1
qc_framework_v1/scripts/build_medications_review.py	connect_md	qc_script	ACTIVE	no	yes	no	P2	canonical_medications_events_v1;clinical_notes_long
qc_framework_v1/scripts/build_mig168_pm_vocab_audit.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_column_verification_registry_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig169_pm_dtype_units_audit.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_column_verification_registry_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig170_cross_canonical_dtype_drift_audit.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_patient_master;canonical_table_signoff_registry_v1;signoff_migration
qc_framework_v1/scripts/build_mig177c_lvi_vi_derivative_reclean_scope.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_invasion_events_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig180_pm_nlp_cluster_audit.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_frozen_section_events_v1;canonical_pathology_clinical_events_v1;canonical_patient_master;canonical_recurrence_resolved_v1;canonical_recurrence_v1;canonical_survival_followup_v1;canonical_table_signoff_registry_v1;canonical_us_lymph_node_v2;canonical_vascular_invasion_events_v1;note_entities_complications;note_entities_genetics;note_entities_llm_airway_invasion;note_entities_llm_airway_invasion_v2;note_entities_llm_cervical_ln_detail;note_entities_llm_dynamic_risk_response;note_entities_llm_esophageal_invasion;note_entities_llm_frozen_section_detail;note_entities_llm_functional_outcomes;note_entities_llm_imaging;note_entities_llm_labs;note_entities_llm_parathyroid_detail;note_entities_llm_parathyroid_detail_v1;note_entities_llm_past_medical_hx;note_entities_llm_past_surgical_hx;note_entities_llm_pathology;note_entities_llm_patient_decision_adherence;note_entities_llm_physical_exam;note_entities_llm_presenting_symptoms;note_entities_llm_rad_treatment;note_entities_llm_recurrence;note_entities_llm_survival_followup;note_entities_llm_tirads_granular;note_entities_llm_vascular_invasion;note_entities_llm_vascular_invasion_v2;note_entities_medications;note_entities_operative_detail;note_entities_problem_list;note_entities_procedures;note_entities_staging;signoff_migration;tg_postop_surveillance_windows_v1;thyroglobulin_lab_canonical_v1
qc_framework_v1/scripts/build_mig182_cf87_ajcc_investigation.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_column_verification_registry_v1;canonical_path_malignant_events_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig184_v2_r1_ajcc_ratified.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_invasion_events_v1;canonical_path_malignant_events_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig185_path_malignant_duplicate_scoping.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_column_verification_registry_v1;canonical_invasion_events_v1;canonical_path_malignant_events_v1;canonical_path_malignant_patient_rollup_v1;canonical_tumor_characteristics_v1;canonical_us_lymph_node_patient_rollup_v2
qc_framework_v1/scripts/build_mig186_niftp_uncertain_exclusion_scoping.py	connect_locked	qc_script	ACTIVE	yes	yes	yes	P0	canonical_invasion_events_v1;canonical_path_indeterminate_events_v1;canonical_path_malignant_events_v1;canonical_path_malignant_patient_rollup_v1;canonical_patient_master;canonical_tumor_characteristics_v1;canonical_us_lymph_node_patient_rollup_v2;tumor_episode_master_v2
qc_framework_v1/scripts/build_mig193_r1bde_logan_review_csv_unblock.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_column_verification_registry_v1;canonical_invasion_events_v1;canonical_path_malignant_events_v1;canonical_patient_master
qc_framework_v1/scripts/build_mig204_populate_manuscript_csvs.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_column_verification_registry_v1
qc_framework_v1/scripts/build_mig234_lane_m_table1_refresh.py	duckdb.connect	qc_script	DEAD	no	no	no	-	
qc_framework_v1/scripts/build_mig252_comp_rollup_dryrun.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_complications_events_v1;canonical_patient_master;cohort_m038_massive_goiter_v1;vw_publication_qc_status_VIEW_v1
qc_framework_v1/scripts/build_mig253_surg_proc_type_dryrun.py	connect_locked	qc_script	ACTIVE	yes	yes	no	P2	canonical_operative_events_v1;canonical_operative_procedure_codes_v1;canonical_patient_master;cohort_m038_massive_goiter_v1;note_entities_operative_detail;path_synoptics;vw_publication_qc_status_VIEW_v1
qc_framework_v1/scripts/build_path_malignant_surgery_date_review.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_path_malignant_events_v1;path_synoptics
qc_framework_v1/scripts/build_pathology_replacement_review_csv.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_fna_events_v1;clinical_notes_long;note_entities_llm_pathology
qc_framework_v1/scripts/build_rln_injury_real_candidates.py	MotherDuckClient	qc_script	ACTIVE	no	yes	no	P4	canonical_complications_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5;extracted_rln_injury_refined_v2
qc_framework_v1/scripts/build_seroma_review.py	MotherDuckClient	qc_script	ACTIVE	no	yes	no	P4	canonical_complications_events_v1;canonical_operative_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_complications_refined_v5
qc_framework_v1/scripts/build_t4b_implication_signoff.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_t4b_invasion_events_v1
qc_framework_v1/scripts/build_t4b_invasion_positive_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_t4b_invasion_events_v1
qc_framework_v1/scripts/build_vascular_invasion_positive_review.py	duckdb.connect	qc_script	ACTIVE	no	yes	no	P4	canonical_vascular_invasion_events_v1
qc_framework_v1/scripts/build_vocal_cord_paralysis_review.py	connect_md	qc_script	ACTIVE	no	yes	no	P2	canonical_complications_events_v1;canonical_invasion_events_v1;complication_phenotype_v1;note_entities_complications
qc_framework_v1/scripts/build_voice_nerve_unified_review.py	MotherDuckClient	qc_script	ACTIVE	no	yes	no	P4	canonical_complications_events_v1;canonical_operative_events_v1;clinical_notes_long;complication_phenotype_v1;extracted_rln_injury_refined_v2
qc_framework_v1/scripts/normalize_dates_v1_0_pass1.py	duckdb.connect	qc_script	DEAD	no	no	no	-	
qc_framework_v1/scripts/run_template04_fix.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_complications_events_v1;canonical_path_indeterminate_events_v1;canonical_path_malignant_events_v1;canonical_patient_master
qc_framework_v1/scripts/stage_fna_source_long_via_local_duckdb.py	duckdb.connect	qc_script	ACTIVE	no	yes	yes	P3	canonical_fna_events_v1
qc_framework_v1/scripts/stage_rescore_file.py	duckdb.connect	qc_script	ACTIVE	no	yes	yes	P3	canonical_fna_events_v1
qc_framework_v1/scripts/verify_mig252_comp_rollup_apply.py	duckdb.connect	qc_script	ACTIVE	yes	yes	no	P4	canonical_column_verification_registry_v1;canonical_patient_master;canonical_table_signoff_registry_v1;cohort_m038_massive_goiter_v1;signoff_migration
scripts/101_multi_episode_linkage_hardening.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	operative_episode_detail_v2;tumor_episode_master_v2
scripts/104_operative_truth_state_hardening.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	manuscript_cohort_v1;operative_episode_detail_v2
scripts/108_synoptic_tumor_long_v1.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	path_synoptics;synoptic_tumor_long_v1
scripts/111_llm_extraction_validation.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	clinical_notes_long;molecular_test_episode_v2;note_entities_complications;note_entities_genetics;note_entities_medications;note_entities_operative_detail;note_entities_problem_list;note_entities_procedures;note_entities_staging;operative_episode_detail_v2;path_synoptics;rai_treatment_episode_v2;tumor_episode_master_v2
scripts/112_v2_domain_promotion_gate.py	MotherDuckClient	scripts	ACTIVE	no	yes	yes	P3	note_entities_complications;note_entities_genetics;note_entities_llm_recurrence;note_entities_medications;note_entities_operative_detail;note_entities_problem_list;note_entities_procedures;note_entities_staging
scripts/113_tg_lab_ingestion.py	connect_locked	scripts	ACTIVE	yes	yes	yes	P0	canonical_labs_thyroglobulin_v1;canonical_patient_master;longitudinal_lab_canonical_v1;thyroglobulin_lab_canonical_v1
scripts/114_qa_schema_setup.py	duckdb.connect	scripts	DEAD	no	no	no	-	
scripts/114_rai_dose_recovery_nuclear_med.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	manuscript_cohort_v1;nuclear_med;rai_treatment_episode_v2
scripts/115_path_outcome_classification.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	path_outcome_classification_v1;path_synoptics
scripts/115_release_snapshot.py	duckdb.connect	scripts	ACTIVE	no	yes	yes	P3	longitudinal_lab_canonical_v1;thyroglobulin_lab_canonical_v1
scripts/116_md_stage_loader.py	duckdb.connect	scripts	ACTIVE	no	no	yes	P5	
scripts/116_propagate_fna_path_outcome.py	duckdb.connect	scripts	ACTIVE	yes	yes	no	P4	manuscript_cohort_v1;survival_cohort_enriched
scripts/117_md_contract_views.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	longitudinal_lab_canonical_v1;molecular_results;molecular_test_episode_v2;operative_episode_detail_v2;rai_treatment_episode_v2;thyroglobulin_lab_canonical_v1;tumor_episode_master_v2
scripts/118_parquet_release_bundle.py	duckdb.connect	scripts	ACTIVE	yes	yes	no	P4	longitudinal_lab_canonical_v1;molecular_test_episode_v2;operative_episode_detail_v2;rai_treatment_episode_v2;tumor_episode_master_v2
scripts/119_md_formalization_validate.py	duckdb.connect	scripts	ACTIVE	yes	yes	no	P4	canonical_patient_master;molecular_results;molecular_test_episode_v2;molecular_testing;specimen_genomic_assay_v1;specimen_master_v1;specimen_source_xref_v1;specimen_tumor_focus_v1;synoptic_tumor_long_v1
scripts/120_review_queue_triage.py	duckdb.connect	scripts	ACTIVE	no	no	no	P5	
scripts/126_final_master_release.py	connect_md	scripts	ACTIVE	yes	yes	no	P2	longitudinal_lab_canonical_v1;synoptic_tumor_long_v1
scripts/128_multimodal_contract_mm_v1.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	ct_imaging;fna_episode_master_v2;imaging_nodule_master_v1;molecular_test_episode_v2;operative_episode_detail_v2;patient_cross_domain_timeline_v2;tumor_episode_master_v2
scripts/129_imaging_fna_linkage_mm_v1.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	ct_imaging;fna_episode_master_v2;fna_history;imaging_fna_linkage_v3;imaging_nodule_long_v2;imaging_nodule_master_v1;tumor_episode_master_v2
scripts/130_md_env_bootstrap.py	duckdb.connect	scripts	DEAD	no	no	no	-	
scripts/131_molecular_results_layer.py	duckdb.connect	scripts	ACTIVE	no	yes	no	P4	molecular_results;molecular_testing;molecular_variant_long;thyroseq_molecular_enrichment
scripts/135_md_molecular_observability.py	connect_md	scripts	ACTIVE	no	yes	no	P2	molecular_results
scripts/136_md_read_scaling_snapshot_refresh.py	MotherDuckClient	scripts	DEAD	no	no	no	-	
scripts/141_fhir_specimen_json_export.py	duckdb.connect	scripts	DEAD	no	no	no	-	
scripts/143_md_specimen_fhir_qa_diagnostics_deploy.py	duckdb.connect	scripts	DEAD	no	no	no	-	
scripts/144_md_repo_current_state_summary.py	MotherDuckClient	scripts	ACTIVE	no	yes	no	P4	fna_episode_master_v2;imaging_nodule_master_v1;longitudinal_lab_canonical_v1;specimen_genomic_assay_v1;specimen_master_v1;specimen_tumor_focus_v1
scripts/147_motherduck_readonly_audit_reports.py	MotherDuckClient	scripts	DEAD	no	no	no	-	
scripts/148_thyroid2026_release_gate.py	MotherDuckClient	scripts	ACTIVE	no	yes	no	P4	longitudinal_lab_canonical_v1;thyroglobulin_lab_canonical_v1
scripts/149_md_canonical_nodule_linkage_study.py	duckdb.connect	scripts	ACTIVE	yes	yes	yes	P3	fna_cytology;fna_episode_master_v2;fna_history;imaging_fna_linkage_v3;imaging_nodule_master_v1;molecular_test_episode_v2;molecular_testing;operative_episode_detail_v2;path_synoptics;thyroid_weights;tumor_episode_master_v2;tumor_pathology;ultrasound_reports;us_nodules_tirads
scripts/150_ingest_dicom_headers.py	duckdb.connect	scripts	ACTIVE	no	yes	yes	P3	imaging_nodule_master_v1
