race_strat,bethesda_bucket,tr_category,n,n_malignant
Other,missing,TR1,1,0.0
Other,missing,TR2,2,0.0
Other,missing,TR3,7,1.0
Other,missing,TR4,5,4.0
Other,missing,TR5,16,8.0
Unknown,III_AUS,TR1,1,1.0
Unknown,III_AUS,TR2,1,1.0
Unknown,III_AUS,TR3,2,0.0
Unknown,III_AUS,TR4,3,2.0
Unknown,III_AUS,TR5,1,1.0
Unknown,II_benign,TR1,2,0.0
Unknown,II_benign,TR2,1,0.0
Unknown,II_benign,TR3,21,1.0
Unknown,II_benign,TR4,3,0.0
Unknown,II_benign,TR5,11,1.0
Unknown,IV_FN,TR1,1,1.0
Unknown,IV_FN,TR2,1,0.0
Unknown,IV_FN,TR3,3,3.0
Unknown,IV_FN,TR4,3,1.0
Unknown,IV_FN,TR5,3,1.0
Unknown,I_nondiagnostic,TR1,1,1.0
Unknown,I_nondiagnostic,TR4,2,1.0
Unknown,VI_malig,TR2,3,3.0
Unknown,VI_malig,TR3,5,1.0
Unknown,VI_malig,TR4,2,1.0
Unknown,VI_malig,TR5,31,30.0
Unknown,V_susp_malig,TR2,2,2.0
Unknown,V_susp_malig,TR5,2,2.0
Unknown,missing,TR1,8,3.0
Unknown,missing,TR2,10,3.0
Unknown,missing,TR3,9,5.0
Unknown,missing,TR4,10,5.0
Unknown,missing,TR5,25,11.0
White,III_AUS,TR1,15,5.0
White,III_AUS,TR2,12,4.0
White,III_AUS,TR3,45,20.0
White,III_AUS,TR4,42,24.0
White,III_AUS,TR5,88,57.0
White,II_benign,TR1,23,5.0
White,II_benign,TR2,31,6.0
White,II_benign,TR3,56,11.0
White,II_benign,TR4,40,8.0
White,II_benign,TR5,102,28.0
White,IV_FN,TR1,10,3.0
White,IV_FN,TR2,8,6.0
White,IV_FN,TR3,32,10.0
White,IV_FN,TR4,24,17.0
White,IV_FN,TR5,67,36.0
White,I_nondiagnostic,TR1,5,1.0
White,I_nondiagnostic,TR2,1,1.0
White,I_nondiagnostic,TR3,12,3.0
White,I_nondiagnostic,TR4,10,3.0
White,I_nondiagnostic,TR5,24,8.0
White,VI_malig,TR1,14,8.0
White,VI_malig,TR2,13,8.0
White,VI_malig,TR3,31,23.0
White,VI_malig,TR4,39,32.0
White,VI_malig,TR5,208,192.0
White,V_susp_malig,TR1,3,3.0
White,V_susp_malig,TR2,2,2.0
White,V_susp_malig,TR3,12,11.0
White,V_susp_malig,TR4,9,8.0
White,V_susp_malig,TR5,45,41.0
White,missing,TR1,50,17.0
White,missing,TR2,33,17.0
White,missing,TR3,84,30.0
White,missing,TR4,51,24.0
White,missing,TR5,141,102.0
