Histology rule,Platform,Bethesda,Size band,TP (test-pos AND malignant),FP (test-pos AND benign),FN (test-neg AND malignant),TN (test-neg AND benign),n_2x2,Intermediate-call n (% malig),Not-classifiable-call n (% malig),Sensitivity (95% CI),Specificity (95% CI),PPV (95% CI),NPV (95% CI)
Strict (NIFTP=benign),ThyroSeq,B3+B4,unknown_size,21,14,8,15,58,4 (50.0% malig),5 (60.0% malig),72.4% [54.3–85.3],51.7% [34.4–68.6],60.0% [43.6–74.4],65.2% [44.9–81.2]
Strict (NIFTP=benign),ThyroSeq,B4,2to4cm,2,3,1,5,11,0,0,66.7% [20.8–93.9],62.5% [30.6–86.3],40.0% [11.8–76.9],83.3% [43.6–97.0]
Strict (NIFTP=benign),ThyroSeq,B4,all_sizes,29,17,7,28,81,7 (71.4% malig),7 (57.1% malig),80.6% [65.0–90.2],62.2% [47.6–74.9],63.0% [48.6–75.5],80.0% [64.1–90.0]
Strict (NIFTP=benign),ThyroSeq,B4,lt2cm,17,9,4,20,50,6 (83.3% malig),4 (50.0% malig),81.0% [60.0–92.3],69.0% [50.8–82.7],65.4% [46.2–80.6],83.3% [64.1–93.3]
Strict (NIFTP=benign),ThyroSeq,B4,unknown_size,10,5,2,3,20,1 (0.0% malig),3 (66.7% malig),83.3% [55.2–95.3],37.5% [13.7–69.4],66.7% [41.7–84.8],60.0% [23.1–88.2]
Inclusive (NIFTP=malignant),Afirma,B3,2to4cm,1,1,1,0,3,0,0,50.0% [9.5–90.5],0.0% [0.0–79.3],50.0% [9.5–90.5],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3,all_sizes,21,16,2,5,44,0,2 (50.0% malig),91.3% [73.2–97.6],23.8% [10.6–45.1],56.8% [40.9–71.3],71.4% [35.9–91.8]
Inclusive (NIFTP=malignant),Afirma,B3,lt2cm,10,5,0,2,17,0,1 (100.0% malig),100.0% [72.2–100.0],28.6% [8.2–64.1],66.7% [41.7–84.8],100.0% [34.2–100.0]
Inclusive (NIFTP=malignant),Afirma,B3,unknown_size,10,10,1,3,24,0,1 (0.0% malig),90.9% [62.3–98.4],23.1% [8.2–50.3],50.0% [29.9–70.1],75.0% [30.1–95.4]
Inclusive (NIFTP=malignant),Afirma,B3+B4,2to4cm,3,1,1,0,5,0,0,75.0% [30.1–95.4],0.0% [0.0–79.3],75.0% [30.1–95.4],0.0% [0.0–79.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,all_sizes,48,30,5,8,91,0,6 (33.3% malig),90.6% [79.7–95.9],21.1% [11.1–36.3],61.5% [50.4–71.6],61.5% [35.5–82.3]
Inclusive (NIFTP=malignant),Afirma,B3+B4,lt2cm,20,8,1,3,32,0,2 (50.0% malig),95.2% [77.3–99.2],27.3% [9.7–56.6],71.4% [52.9–84.7],75.0% [30.1–95.4]
Inclusive (NIFTP=malignant),Afirma,B3+B4,unknown_size,25,21,3,5,54,0,4 (25.0% malig),89.3% [72.8–96.3],19.2% [8.5–37.9],54.3% [40.2–67.8],62.5% [30.6–86.3]
Inclusive (NIFTP=malignant),Afirma,B4,2to4cm,2,0,0,0,2,0,0,100.0% [34.2–100.0],—,100.0% [34.2–100.0],—
Inclusive (NIFTP=malignant),Afirma,B4,all_sizes,27,14,3,3,47,0,4 (25.0% malig),90.0% [74.4–96.5],17.6% [6.2–41.0],65.9% [50.5–78.4],50.0% [18.8–81.2]
Inclusive (NIFTP=malignant),Afirma,B4,lt2cm,10,3,1,1,15,0,1 (0.0% malig),90.9% [62.3–98.4],25.0% [4.6–69.9],76.9% [49.7–91.8],50.0% [9.5–90.5]
Inclusive (NIFTP=malignant),Afirma,B4,unknown_size,15,11,2,2,30,0,3 (33.3% malig),88.2% [65.7–96.7],15.4% [4.3–42.2],57.7% [38.9–74.5],50.0% [15.0–85.0]
Inclusive (NIFTP=malignant),ThyroSeq,B3,2to4cm,11,1,1,7,20,6 (66.7% malig),1 (100.0% malig),91.7% [64.6–98.5],87.5% [52.9–97.8],91.7% [64.6–98.5],87.5% [52.9–97.8]
Inclusive (NIFTP=malignant),ThyroSeq,B3,all_sizes,53,20,28,44,145,19 (47.4% malig),10 (50.0% malig),65.4% [54.6–74.9],68.8% [56.6–78.8],72.6% [61.4–81.5],61.1% [49.6–71.5]
Inclusive (NIFTP=malignant),ThyroSeq,B3,lt2cm,29,12,21,25,87,10 (30.0% malig),7 (42.9% malig),58.0% [44.2–70.6],67.6% [51.5–80.4],70.7% [55.5–82.4],54.3% [40.2–67.8]
Inclusive (NIFTP=malignant),ThyroSeq,B3,unknown_size,13,7,6,12,38,3 (66.7% malig),2 (50.0% malig),68.4% [46.0–84.6],63.2% [41.0–80.9],65.0% [43.3–81.9],66.7% [43.7–83.7]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,2to4cm,13,4,2,12,31,6 (66.7% malig),1 (100.0% malig),86.7% [62.1–96.3],75.0% [50.5–89.8],76.5% [52.7–90.4],85.7% [60.1–96.0]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,all_sizes,84,35,36,71,226,26 (57.7% malig),17 (58.8% malig),70.0% [61.3–77.5],67.0% [57.6–75.2],70.6% [61.9–78.0],66.4% [57.0–74.6]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,lt2cm,47,20,26,44,137,16 (56.2% malig),11 (54.5% malig),64.4% [52.9–74.4],68.8% [56.6–78.8],70.1% [58.3–79.8],62.9% [51.1–73.2]
Inclusive (NIFTP=malignant),ThyroSeq,B3+B4,unknown_size,24,11,8,15,58,4 (50.0% malig),5 (60.0% malig),75.0% [57.9–86.7],57.7% [38.9–74.5],68.6% [52.0–81.4],65.2% [44.9–81.2]
Inclusive (NIFTP=malignant),ThyroSeq,B4,2to4cm,2,3,1,5,11,0,0,66.7% [20.8–93.9],62.5% [30.6–86.3],40.0% [11.8–76.9],83.3% [43.6–97.0]
Inclusive (NIFTP=malignant),ThyroSeq,B4,all_sizes,31,15,8,27,81,7 (85.7% malig),7 (71.4% malig),79.5% [64.5–89.2],64.3% [49.2–77.0],67.4% [53.0–79.1],77.1% [61.0–87.9]
Inclusive (NIFTP=malignant),ThyroSeq,B4,lt2cm,18,8,5,19,50,6 (100.0% malig),4 (75.0% malig),78.3% [58.1–90.3],70.4% [51.5–84.1],69.2% [50.0–83.5],79.2% [59.5–90.8]
Inclusive (NIFTP=malignant),ThyroSeq,B4,unknown_size,11,4,2,3,20,1 (0.0% malig),3 (66.7% malig),84.6% [57.8–95.7],42.9% [15.8–75.0],73.3% [48.0–89.1],60.0% [23.1–88.2]
