domain,detail,reason
imaging_fna_link,13658429fc16144f2fa803677052d46b,no_primary_linkage_row
imaging_fna_link,e84d1333e75617a94d5fc998bbb25d0c,no_primary_linkage_row
imaging_fna_link,4aa76c08511fb286a1d7a8a1839e2fa4,no_primary_linkage_row
imaging_fna_link,39a401d7dcb80ee14b3f45c2aab6c9ca,no_primary_linkage_row
imaging_fna_link,06741da57dace9be9b28e594b66ef4c1,no_primary_linkage_row
imaging_fna_link,505798e9bb2d760cfe583062e0041c20,no_primary_linkage_row
imaging_fna_link,53444221c5000ba524faa3d5d71bf70e,no_primary_linkage_row
imaging_fna_link,b26b45163fab48d61ff417bb655bc289,no_primary_linkage_row
imaging_fna_link,933c87bb309bdef7180cd8727dbe449a,no_primary_linkage_row
imaging_fna_link,c2c414a7845941b6f02ac74536222bd5,no_primary_linkage_row
imaging_fna_link,42ec64125b07d8f900a264fa6bfde197,no_primary_linkage_row
imaging_fna_link,a3a72168aa1974703d5e817d49766207,no_primary_linkage_row
imaging_fna_link,9bf097a6b2264e129e0bf0666c10aa56,no_primary_linkage_row
imaging_fna_link,092787cb55c6bad9502b96977373af82,no_primary_linkage_row
imaging_fna_link,19d0db616a17c5d808f46c1f089d3364,no_primary_linkage_row
imaging_fna_link,0b28c8b5a82a40c76cc1484755615a04,no_primary_linkage_row
imaging_fna_link,4cb860c85b32b42af875f62321b16579,no_primary_linkage_row
imaging_fna_link,4a3df266ebcb2056e4ba9f11672fb535,no_primary_linkage_row
imaging_fna_link,621168233a272387e9ca03382942cba6,no_primary_linkage_row
imaging_fna_link,20408a6aebd78d8e6fb5c784c0761bd2,no_primary_linkage_row
imaging_fna_link,937a431f13835d4b1544c3d921faa6a5,no_primary_linkage_row
imaging_fna_link,5f2d7a66c967abf62ea99c6b8c8c291c,no_primary_linkage_row
imaging_fna_link,d0974f86a3e2e4c60adac6ebccce8878,no_primary_linkage_row
imaging_fna_link,a9c0f654f8edc891f5fa4275fbe408fb,no_primary_linkage_row
imaging_fna_link,2c32ba087980634db25f7eeb721759c5,no_primary_linkage_row
imaging_fna_link,9356aed582d4ba345502f3f9569557d7,no_primary_linkage_row
imaging_fna_link,aea7d3c2fd0e831fc28f808ddbc89c9a,no_primary_linkage_row
imaging_fna_link,0902aa27a96298fa8376bc2ecbc5835b,no_primary_linkage_row
imaging_fna_link,df7f909b2a97be9dc52c41f6efbc558f,no_primary_linkage_row
imaging_fna_link,4d238466f588a66c7da0485c04a8a4c1,no_primary_linkage_row
imaging_fna_link,34bc011260ba349dba8f67242cd8812f,no_primary_linkage_row
imaging_fna_link,497d007ef63e8ca97487cd452bb2af50,no_primary_linkage_row
imaging_fna_link,e21b3f62057ea953008959cce996bb69,no_primary_linkage_row
imaging_fna_link,f401cf41f8ca9b9a881e8f1d1b2295e8,no_primary_linkage_row
imaging_fna_link,d75166bfdaa9d454e89ced25f7b83c5f,no_primary_linkage_row
imaging_fna_link,0d69611cf2f2fbadcd965a35f3ed3980,no_primary_linkage_row
imaging_fna_link,3bdbe0518e769d7326a7c96e5132f778,no_primary_linkage_row
imaging_fna_link,ef6d7186c84ed0090840be14aa4c158a,no_primary_linkage_row
imaging_fna_link,39a4818977afee6bd53e59640bc59753,no_primary_linkage_row
imaging_fna_link,79e568498f206ecf1f9c415c76c75f26,no_primary_linkage_row
imaging_fna_link,1cf0a656a43174913977836c60e6458b,no_primary_linkage_row
imaging_fna_link,209b3a52adbc343191d44111b274fba5,no_primary_linkage_row
imaging_fna_link,c9a64cb6b3e4aa23fb8cdaad428999d8,no_primary_linkage_row
imaging_fna_link,7a7ac4ecdb7ccdd2a02a2db1ea7d499a,no_primary_linkage_row
imaging_fna_link,b89ff562630438d0c42b23a72142667c,no_primary_linkage_row
imaging_fna_link,08560908bca406ccc01c1502c97bfbad,no_primary_linkage_row
imaging_fna_link,dc80f64deb46d8ab2ff68bf81e9f18ed,no_primary_linkage_row
imaging_fna_link,04efccb38f46e0eb3e0316602e7f07be,no_primary_linkage_row
imaging_fna_link,92e30cb9dfe832456190629a5fb4f230,no_primary_linkage_row
imaging_fna_link,c65a20d2bf45f808b82df148463c5830,no_primary_linkage_row
imaging_fna_link,a3cde14461cf209b492503564dcdf368,no_primary_linkage_row
imaging_fna_link,807a9f19b21cbccf612b11843bc50c10,no_primary_linkage_row
imaging_fna_link,64a3e0ace6f7172af4331deed087303f,no_primary_linkage_row
imaging_fna_link,8f73a3b8e13902506a051ef87aaee10d,no_primary_linkage_row
imaging_fna_link,d3ec522f049ce7eb7ada18a97a48c5b8,no_primary_linkage_row
imaging_fna_link,ba9f61ab11da9b0495239975934a2820,no_primary_linkage_row
imaging_fna_link,05925367f3cdb65c6f9129ca5831b2a7,no_primary_linkage_row
imaging_fna_link,d34645204fc0adca55e45a8971ed5a63,no_primary_linkage_row
imaging_fna_link,8e075b90baed5a4442d0c22cc8811b64,no_primary_linkage_row
imaging_fna_link,b3454f9316b09d3c5e9dd2be8a532410,no_primary_linkage_row
imaging_fna_link,a6ae7202bb1ee2817b742772627caa22,no_primary_linkage_row
imaging_fna_link,3b629fda6d6559e2424cc1be56ff0e16,no_primary_linkage_row
imaging_fna_link,38359b2d8a476509d494a664b7a106f2,no_primary_linkage_row
imaging_fna_link,266a08f9900331c98551beaa769acb54,no_primary_linkage_row
imaging_fna_link,5ba0035f789ff22af4f9a4cbf45843dc,no_primary_linkage_row
imaging_fna_link,fb6d0a2d7e9609bc5550b045dc97595b,no_primary_linkage_row
imaging_fna_link,f1e58b3997974d21ac54d94d5a0abb67,no_primary_linkage_row
imaging_fna_link,b669fe2cc1a50b6759b5172d4ad378d1,no_primary_linkage_row
imaging_fna_link,e9abd4910b569f40579ecb63f541354b,no_primary_linkage_row
imaging_fna_link,535fdb6bffa2dc407489ca23fe9af229,no_primary_linkage_row
imaging_fna_link,4906beaec9e758227b6a900924247263,no_primary_linkage_row
imaging_fna_link,f53701a1ccd472f00066e64e05ad481c,no_primary_linkage_row
imaging_fna_link,317c9faaf70e5a0fd93b0068730a6484,no_primary_linkage_row
imaging_fna_link,1f707c59ead461ccf715381e092f9fe9,no_primary_linkage_row
imaging_fna_link,f829356a61fc72ba22a3abc9b6a90239,no_primary_linkage_row
imaging_fna_link,1281c026f23350080099c7d8507e33fc,no_primary_linkage_row
imaging_fna_link,b8343aaccdd72caa7469657d26dc55fd,no_primary_linkage_row
imaging_fna_link,7915809b4858709914e59e7cc07b890b,no_primary_linkage_row
imaging_fna_link,2f4190ef34c900010a87f21a83921522,no_primary_linkage_row
imaging_fna_link,d28249be03700677f128ca7d01aadb8f,no_primary_linkage_row
imaging_fna_link,8d125002e144883955254165e15b28bd,no_primary_linkage_row
imaging_fna_link,6622b4e8ade0b48534e3b7fafb3055fa,no_primary_linkage_row
imaging_fna_link,3adfe41e287907efcef04f18419d3a73,no_primary_linkage_row
imaging_fna_link,3645b3fe11410e73caab18222b28f1fa,no_primary_linkage_row
imaging_fna_link,cfa6c28ecb9716129430196a2a4f4e3c,no_primary_linkage_row
imaging_fna_link,831e2799064b243fe63089ba5ec4923d,no_primary_linkage_row
imaging_fna_link,2c6ac4984a8eaf02667c65e79fb7088b,no_primary_linkage_row
imaging_fna_link,d10c65a81930f275a6a0ee394a7d5020,no_primary_linkage_row
imaging_fna_link,ed9e1a7fb98ee51013434d9bb5c0ef3f,no_primary_linkage_row
imaging_fna_link,4800d5f73b4e3f4b07efafd14eac6528,no_primary_linkage_row
imaging_fna_link,d164da6b5879bebee80b0da78e1302da,no_primary_linkage_row
imaging_fna_link,86eb82e5eab10f6bfff9262547606c2c,no_primary_linkage_row
imaging_fna_link,b9e2f490ffdc8d7839d9e008e87e8b9c,no_primary_linkage_row
imaging_fna_link,443fed071495f3fdf58ecb4ad91d34f1,no_primary_linkage_row
imaging_fna_link,0d6b371d299b6cba4137a18cc6dcc1c6,no_primary_linkage_row
imaging_fna_link,fd30288e7497484eafbb0ee8933d7c19,no_primary_linkage_row
imaging_fna_link,9de7870b566374bd0e11f9a962ee95f6,no_primary_linkage_row
imaging_fna_link,24a502caef7e22591be2ceb2d8b5865b,no_primary_linkage_row
imaging_fna_link,5a1082a63fda8a91f261d96de1bacca4,no_primary_linkage_row
imaging_fna_link,30ca9dcbe9177f7fb94f7aea23f9aa52,no_primary_linkage_row
imaging_fna_link,27a8a5a4ce5767967ff7efa4259ed35b,no_primary_linkage_row
imaging_fna_link,62049aeb84464fce16a87d8284117063,no_primary_linkage_row
imaging_fna_link,4b04db53108a1fcc265db4c069126f03,no_primary_linkage_row
imaging_fna_link,ca76d11e052f78625053a954dff5816e,no_primary_linkage_row
imaging_fna_link,fc6c7dfd2a9cb3d23fdbd53c9c0806bc,no_primary_linkage_row
imaging_fna_link,987ff755fd6afb0bc9ef078db1adb55d,no_primary_linkage_row
imaging_fna_link,bfe9ab20dfef40e2b9070c56b7dbbb47,no_primary_linkage_row
imaging_fna_link,b43680131e14e4eae554227380567a88,no_primary_linkage_row
imaging_fna_link,1f22f3aa63681eefdd0e20c0f0466869,no_primary_linkage_row
imaging_fna_link,61a765aba182a193bc717242ff9462c4,no_primary_linkage_row
imaging_fna_link,31681f9f3e29b1142f724b34ba467365,no_primary_linkage_row
imaging_fna_link,02d2dcde5a11ee34e9ac39095b9bf584,no_primary_linkage_row
imaging_fna_link,e7b2e28f08580a129032ffb3ea513053,no_primary_linkage_row
imaging_fna_link,b1cf63a646ef838686ead82e17ec7619,no_primary_linkage_row
imaging_fna_link,2c025e8554240c817e87e85965e37c2c,no_primary_linkage_row
imaging_fna_link,87ef12eb1901b94906ab33bb6e0b72da,no_primary_linkage_row
imaging_fna_link,05bce8ef9ad034ee0eee5f3f55cb5666,no_primary_linkage_row
imaging_fna_link,222a4fd4592a4989abdda84d598c3858,no_primary_linkage_row
imaging_fna_link,05d2b50ca120dcb9836527f66332be8e,no_primary_linkage_row
imaging_fna_link,a919d40690c42f685b50158e02a18f4b,no_primary_linkage_row
imaging_fna_link,64cdec737f55a1962ff1592c87e0c493,no_primary_linkage_row
imaging_fna_link,21c943455173da21b38b721abd35bdc7,no_primary_linkage_row
imaging_fna_link,f81a2d861a1a80444c6a3de184ee7eb7,no_primary_linkage_row
imaging_fna_link,eefa87a337c4edea18eeaed3693dbcc8,no_primary_linkage_row
